tracker_id,scope_type,category_title,domain,experience_bucket,semantic_family,source_candidate,source_indicator,common_year,country_coverage,integrity,user_note,requested_action,research_status,implementation_status,final_disposition,blocker_or_reason,source_url,validation_requirements,generation_priority_candidate,definition,unit,measurement_type,ranking_direction,raw_or_derived,tie_handling,source_type,source_hierarchy_tier,source_license,provenance_snapshot,comparison_year_policy,denominator_basis,currency_price_basis,geography_scope,entity_definition,uncertainty_handling,common_year_gate,coverage_gate,unit_comparability_gate,source_identity_gate,understandability_score,interest_score,uniqueness_score,player_quality_status,generation_priority_final,activation_gate,final_notes
family:who:lowest-high-blood-pressure-rate,new_source_family_candidate,Lowest high-blood-pressure rate,Health,People & Society,Health,WHO Global Health Observatory,source-family rule lowest-high-blood-pressure-rate; exact official indicator/series resolved and snapshotted by importer discovery,source-family common-year selector / static reference period; exact year recorded by validated import,minimum source-family coverage 130; eligible-universe completeness enforced by shared validation,strict_fail_closed_source_family_validation,Added in the v16.2.6 drastic source-family expansion pass; category count never overrides data/editorial quality.,validate_source_family_then_individual_editorial_review,source_family_path_implemented,implemented_fail_closed_source_family_importer,ready_for_source_family_validation,"Authoritative source-family importer exists. Candidate remains non-playable until exact source identity, common-year/eligible-universe coverage, unit/definition comparability, provenance/license, player-quality and board-feasibility gates pass.",https://www.who.int/data/gho,Validate exact official indicator/series; eligible-universe completeness; one common comparison year/reference period; comparable unit/denominator/base; provenance/license; tie-safe board feasibility; category-level Understand/Interest/Uniqueness review; no manual fills.,standard,Countries ranked by high-blood-pressure rate using the latest broadly comparable WHO Global Health Observatory data.,% of adults,percentage,low,source_observation_or_harmonized_estimate,joint ranks allowed; board must remain distinguishable under shared tie-safety gate,primary_or_administrative,tier_1_primary_or_official,WHO data terms / indicator metadata | https://www.who.int/about/policies/publishing/copyright,source URL/indicator/retrieval metadata + SHA-256 for supplied bulk files where practical,fixed/common year source-family common-year selector / static reference period; exact year recorded by validated import,must be identical across countries; explicit for rates/shares before activation,N/A unless monetary; monetary categories require one comparable currency/price basis and local-currency .CN/.KN paths are blocked,GeoStats canonical 195-country universe; source territories/entities normalized explicitly,current sovereign-country entity definition; historical successor handling required where applicable,fail closed when uncertainty intervals/definitions could reverse or obscure ranking,required for statistical cross-country rankings; static/historical datasets use one explicit reference rule,shared warehouse coverage/ranking-completeness threshold; no manual gap filling,"hard gate: unit, denominator, percent base, magnitude scale and currency/price basis must match",hard gate: source/dataset/indicator/methodology must match approved provenance and rejected paths cannot be blindly retried,85,80,90,eligible_for_activation_review,standard,warehouse import + integrity + player-quality + board-feasibility + release verifier,"Authoritative source-family importer exists. Candidate remains non-playable until exact source identity, common-year/eligible-universe coverage, unit/definition comparability, provenance/license, player-quality and board-feasibility gates pass."
family:who:lowest-high-blood-glucose-rate,new_source_family_candidate,Lowest high-blood-glucose rate,Health,People & Society,Health,WHO Global Health Observatory,source-family rule lowest-high-blood-glucose-rate; exact official indicator/series resolved and snapshotted by importer discovery,source-family common-year selector / static reference period; exact year recorded by validated import,minimum source-family coverage 130; eligible-universe completeness enforced by shared validation,strict_fail_closed_source_family_validation,Added in the v16.2.6 drastic source-family expansion pass; category count never overrides data/editorial quality.,validate_source_family_then_individual_editorial_review,source_family_path_implemented,implemented_fail_closed_source_family_importer,hold_for_individual_editorial_review,"Authoritative source-family importer exists. This row is not playable until exact source identity, common-year/eligible-universe coverage, comparability, player-quality, board-feasibility and release-verifier gates all pass.",https://www.who.int/data/gho,Validate exact official indicator/series; eligible-universe completeness; one common comparison year/reference period; comparable unit/denominator/base; provenance/license; tie-safe board feasibility; category-level Understand/Interest/Uniqueness review; no manual fills.,standard,Countries ranked by high-blood-glucose rate using the latest broadly comparable WHO Global Health Observatory data.,% of adults,percentage,low,source_observation_or_harmonized_estimate,joint ranks allowed; board must remain distinguishable under shared tie-safety gate,primary_or_administrative,tier_1_primary_or_official,WHO data terms / indicator metadata | https://www.who.int/about/policies/publishing/copyright,source URL/indicator/retrieval metadata + SHA-256 for supplied bulk files where practical,fixed/common year source-family common-year selector / static reference period; exact year recorded by validated import,must be identical across countries; explicit for rates/shares before activation,N/A unless monetary; monetary categories require one comparable currency/price basis and local-currency .CN/.KN paths are blocked,GeoStats canonical 195-country universe; source territories/entities normalized explicitly,current sovereign-country entity definition; historical successor handling required where applicable,fail closed when uncertainty intervals/definitions could reverse or obscure ranking,required for statistical cross-country rankings; static/historical datasets use one explicit reference rule,shared warehouse coverage/ranking-completeness threshold; no manual gap filling,"hard gate: unit, denominator, percent base, magnitude scale and currency/price basis must match",hard gate: source/dataset/indicator/methodology must match approved provenance and rejected paths cannot be blindly retried,85,80,90,resolved_not_playable_v16_2_6,standard,warehouse import + integrity + player-quality + board-feasibility + release verifier,"Authoritative source-family importer exists. Candidate remains non-playable until exact source identity, common-year/eligible-universe coverage, unit/definition comparability, provenance/license, player-quality and board-feasibility gates pass."
family:who:lowest-tobacco-use,new_source_family_candidate,Lowest tobacco-use rate,Health,People & Society,Health,WHO Global Health Observatory,source-family rule lowest-tobacco-use; exact official indicator/series resolved and snapshotted by importer discovery,source-family common-year selector / static reference period; exact year recorded by validated import,minimum source-family coverage 130; eligible-universe completeness enforced by shared validation,strict_fail_closed_source_family_validation,Added in the v16.2.6 drastic source-family expansion pass; category count never overrides data/editorial quality.,validate_source_family_then_individual_editorial_review,source_family_path_implemented,implemented_fail_closed_source_family_importer,ready_for_source_family_validation,"Authoritative source-family importer exists. Candidate remains non-playable until exact source identity, common-year/eligible-universe coverage, unit/definition comparability, provenance/license, player-quality and board-feasibility gates pass.",https://www.who.int/data/gho,Validate exact official indicator/series; eligible-universe completeness; one common comparison year/reference period; comparable unit/denominator/base; provenance/license; tie-safe board feasibility; category-level Understand/Interest/Uniqueness review; no manual fills.,standard,Countries ranked by tobacco-use rate using the latest broadly comparable WHO Global Health Observatory data.,% of people age 15+,percentage,low,source_observation_or_harmonized_estimate,joint ranks allowed; board must remain distinguishable under shared tie-safety gate,primary_or_administrative,tier_1_primary_or_official,WHO data terms / indicator metadata | https://www.who.int/about/policies/publishing/copyright,source URL/indicator/retrieval metadata + SHA-256 for supplied bulk files where practical,fixed/common year source-family common-year selector / static reference period; exact year recorded by validated import,must be identical across countries; explicit for rates/shares before activation,N/A unless monetary; monetary categories require one comparable currency/price basis and local-currency .CN/.KN paths are blocked,GeoStats canonical 195-country universe; source territories/entities normalized explicitly,current sovereign-country entity definition; historical successor handling required where applicable,fail closed when uncertainty intervals/definitions could reverse or obscure ranking,required for statistical cross-country rankings; static/historical datasets use one explicit reference rule,shared warehouse coverage/ranking-completeness threshold; no manual gap filling,"hard gate: unit, denominator, percent base, magnitude scale and currency/price basis must match",hard gate: source/dataset/indicator/methodology must match approved provenance and rejected paths cannot be blindly retried,85,80,90,eligible_for_activation_review,standard,warehouse import + integrity + player-quality + board-feasibility + release verifier,"Authoritative source-family importer exists. Candidate remains non-playable until exact source identity, common-year/eligible-universe coverage, unit/definition comparability, provenance/license, player-quality and board-feasibility gates pass."
family:who:lowest-cigarette-smoking,new_source_family_candidate,Lowest cigarette-smoking rate,Health,People & Society,Health,WHO Global Health Observatory,source-family rule lowest-cigarette-smoking; exact official indicator/series resolved and snapshotted by importer discovery,source-family common-year selector / static reference period; exact year recorded by validated import,minimum source-family coverage 110; eligible-universe completeness enforced by shared validation,strict_fail_closed_source_family_validation,Added in the v16.2.6 drastic source-family expansion pass; category count never overrides data/editorial quality.,validate_source_family_then_individual_editorial_review,source_family_path_implemented,implemented_fail_closed_source_family_importer,ready_for_source_family_validation,"Authoritative source-family importer exists. Candidate remains non-playable until exact source identity, common-year/eligible-universe coverage, unit/definition comparability, provenance/license, player-quality and board-feasibility gates pass.",https://www.who.int/data/gho,Validate exact official indicator/series; eligible-universe completeness; one common comparison year/reference period; comparable unit/denominator/base; provenance/license; tie-safe board feasibility; category-level Understand/Interest/Uniqueness review; no manual fills.,standard,Countries ranked by cigarette-smoking rate using the latest broadly comparable WHO Global Health Observatory data.,% of people age 15+,percentage,low,source_observation_or_harmonized_estimate,joint ranks allowed; board must remain distinguishable under shared tie-safety gate,primary_or_administrative,tier_1_primary_or_official,WHO data terms / indicator metadata | https://www.who.int/about/policies/publishing/copyright,source URL/indicator/retrieval metadata + SHA-256 for supplied bulk files where practical,fixed/common year source-family common-year selector / static reference period; exact year recorded by validated import,must be identical across countries; explicit for rates/shares before activation,N/A unless monetary; monetary categories require one comparable currency/price basis and local-currency .CN/.KN paths are blocked,GeoStats canonical 195-country universe; source territories/entities normalized explicitly,current sovereign-country entity definition; historical successor handling required where applicable,fail closed when uncertainty intervals/definitions could reverse or obscure ranking,required for statistical cross-country rankings; static/historical datasets use one explicit reference rule,shared warehouse coverage/ranking-completeness threshold; no manual gap filling,"hard gate: unit, denominator, percent base, magnitude scale and currency/price basis must match",hard gate: source/dataset/indicator/methodology must match approved provenance and rejected paths cannot be blindly retried,85,80,90,eligible_for_activation_review,standard,warehouse import + integrity + player-quality + board-feasibility + release verifier,"Authoritative source-family importer exists. Candidate remains non-playable until exact source identity, common-year/eligible-universe coverage, unit/definition comparability, provenance/license, player-quality and board-feasibility gates pass."
family:who:lowest-alcohol-consumption,new_source_family_candidate,Lowest alcohol consumption,Health,People & Society,Health,WHO Global Health Observatory,source-family rule lowest-alcohol-consumption; exact official indicator/series resolved and snapshotted by importer discovery,source-family common-year selector / static reference period; exact year recorded by validated import,minimum source-family coverage 140; eligible-universe completeness enforced by shared validation,strict_fail_closed_source_family_validation,Added in the v16.2.6 drastic source-family expansion pass; category count never overrides data/editorial quality.,validate_source_family_then_individual_editorial_review,source_family_path_implemented,implemented_fail_closed_source_family_importer,ready_for_source_family_validation,"Authoritative source-family importer exists. Candidate remains non-playable until exact source identity, common-year/eligible-universe coverage, unit/definition comparability, provenance/license, player-quality and board-feasibility gates pass.",https://www.who.int/data/gho,Validate exact official indicator/series; eligible-universe completeness; one common comparison year/reference period; comparable unit/denominator/base; provenance/license; tie-safe board feasibility; category-level Understand/Interest/Uniqueness review; no manual fills.,standard,Countries ranked by alcohol consumption using the latest broadly comparable WHO Global Health Observatory data.,litres per adult,per_capita,low,source_observation_or_harmonized_estimate,joint ranks allowed; board must remain distinguishable under shared tie-safety gate,primary_or_administrative,tier_1_primary_or_official,WHO data terms / indicator metadata | https://www.who.int/about/policies/publishing/copyright,source URL/indicator/retrieval metadata + SHA-256 for supplied bulk files where practical,fixed/common year source-family common-year selector / static reference period; exact year recorded by validated import,must be identical across countries; explicit for rates/shares before activation,N/A unless monetary; monetary categories require one comparable currency/price basis and local-currency .CN/.KN paths are blocked,GeoStats canonical 195-country universe; source territories/entities normalized explicitly,current sovereign-country entity definition; historical successor handling required where applicable,fail closed when uncertainty intervals/definitions could reverse or obscure ranking,required for statistical cross-country rankings; static/historical datasets use one explicit reference rule,shared warehouse coverage/ranking-completeness threshold; no manual gap filling,"hard gate: unit, denominator, percent base, magnitude scale and currency/price basis must match",hard gate: source/dataset/indicator/methodology must match approved provenance and rejected paths cannot be blindly retried,85,80,90,eligible_for_activation_review,standard,warehouse import + integrity + player-quality + board-feasibility + release verifier,"Authoritative source-family importer exists. Candidate remains non-playable until exact source identity, common-year/eligible-universe coverage, unit/definition comparability, provenance/license, player-quality and board-feasibility gates pass."
family:who:lowest-harmful-alcohol-use,new_source_family_candidate,Lowest alcohol-attributable death rate,Health,People & Society,Health,WHO Global Health Observatory,source-family rule lowest-harmful-alcohol-use; exact official indicator/series resolved and snapshotted by importer discovery,source-family common-year selector / static reference period; exact year recorded by validated import,minimum source-family coverage 110; eligible-universe completeness enforced by shared validation,strict_fail_closed_source_family_validation,Added in the v16.2.6 drastic source-family expansion pass; category count never overrides data/editorial quality.,validate_source_family_then_individual_editorial_review,source_family_path_implemented,implemented_fail_closed_source_family_importer,hold_for_individual_editorial_review,"Authoritative source-family importer exists. This row is not playable until exact source identity, common-year/eligible-universe coverage, comparability, player-quality, board-feasibility and release-verifier gates all pass.",https://www.who.int/data/gho,Validate exact official indicator/series; eligible-universe completeness; one common comparison year/reference period; comparable unit/denominator/base; provenance/license; tie-safe board feasibility; category-level Understand/Interest/Uniqueness review; no manual fills.,standard,Countries ranked by alcohol-attributable death rate using the latest broadly comparable WHO Global Health Observatory data.,"per 100,000 people",rate,low,source_observation_or_harmonized_estimate,joint ranks allowed; board must remain distinguishable under shared tie-safety gate,primary_or_administrative,tier_1_primary_or_official,WHO data terms / indicator metadata | https://www.who.int/about/policies/publishing/copyright,source URL/indicator/retrieval metadata + SHA-256 for supplied bulk files where practical,fixed/common year source-family common-year selector / static reference period; exact year recorded by validated import,must be identical across countries; explicit for rates/shares before activation,N/A unless monetary; monetary categories require one comparable currency/price basis and local-currency .CN/.KN paths are blocked,GeoStats canonical 195-country universe; source territories/entities normalized explicitly,current sovereign-country entity definition; historical successor handling required where applicable,fail closed when uncertainty intervals/definitions could reverse or obscure ranking,required for statistical cross-country rankings; static/historical datasets use one explicit reference rule,shared warehouse coverage/ranking-completeness threshold; no manual gap filling,"hard gate: unit, denominator, percent base, magnitude scale and currency/price basis must match",hard gate: source/dataset/indicator/methodology must match approved provenance and rejected paths cannot be blindly retried,85,80,90,resolved_not_playable_v16_2_6,standard,warehouse import + integrity + player-quality + board-feasibility + release verifier,"Authoritative source-family importer exists. Candidate remains non-playable until exact source identity, common-year/eligible-universe coverage, unit/definition comparability, provenance/license, player-quality and board-feasibility gates pass."
family:who:highest-physical-inactivity,new_source_family_candidate,Highest physical-inactivity rate,Health,People & Society,Health,WHO Global Health Observatory,source-family rule highest-physical-inactivity; exact official indicator/series resolved and snapshotted by importer discovery,source-family common-year selector / static reference period; exact year recorded by validated import,minimum source-family coverage 120; eligible-universe completeness enforced by shared validation,strict_fail_closed_source_family_validation,Added in the v16.2.6 drastic source-family expansion pass; category count never overrides data/editorial quality.,validate_source_family_then_individual_editorial_review,source_family_path_implemented,implemented_fail_closed_source_family_importer,ready_for_source_family_validation,"Authoritative source-family importer exists. Candidate remains non-playable until exact source identity, common-year/eligible-universe coverage, unit/definition comparability, provenance/license, player-quality and board-feasibility gates pass.",https://www.who.int/data/gho,Validate exact official indicator/series; eligible-universe completeness; one common comparison year/reference period; comparable unit/denominator/base; provenance/license; tie-safe board feasibility; category-level Understand/Interest/Uniqueness review; no manual fills.,standard,Countries ranked by physical-inactivity rate using the latest broadly comparable WHO Global Health Observatory data.,% of adults,percentage,high,source_observation_or_harmonized_estimate,joint ranks allowed; board must remain distinguishable under shared tie-safety gate,primary_or_administrative,tier_1_primary_or_official,WHO data terms / indicator metadata | https://www.who.int/about/policies/publishing/copyright,source URL/indicator/retrieval metadata + SHA-256 for supplied bulk files where practical,fixed/common year source-family common-year selector / static reference period; exact year recorded by validated import,must be identical across countries; explicit for rates/shares before activation,N/A unless monetary; monetary categories require one comparable currency/price basis and local-currency .CN/.KN paths are blocked,GeoStats canonical 195-country universe; source territories/entities normalized explicitly,current sovereign-country entity definition; historical successor handling required where applicable,fail closed when uncertainty intervals/definitions could reverse or obscure ranking,required for statistical cross-country rankings; static/historical datasets use one explicit reference rule,shared warehouse coverage/ranking-completeness threshold; no manual gap filling,"hard gate: unit, denominator, percent base, magnitude scale and currency/price basis must match",hard gate: source/dataset/indicator/methodology must match approved provenance and rejected paths cannot be blindly retried,85,80,90,eligible_for_activation_review,standard,warehouse import + integrity + player-quality + board-feasibility + release verifier,"Authoritative source-family importer exists. Candidate remains non-playable until exact source identity, common-year/eligible-universe coverage, unit/definition comparability, provenance/license, player-quality and board-feasibility gates pass."
family:who:highest-doctor-density,new_source_family_candidate,Highest doctor density,Health,People & Society,Healthcare,WHO Global Health Observatory,source-family rule highest-doctor-density; exact official indicator/series resolved and snapshotted by importer discovery,source-family common-year selector / static reference period; exact year recorded by validated import,minimum source-family coverage 110; eligible-universe completeness enforced by shared validation,strict_fail_closed_source_family_validation,Added in the v16.2.6 drastic source-family expansion pass; category count never overrides data/editorial quality.,validate_source_family_then_individual_editorial_review,source_family_path_implemented,implemented_fail_closed_source_family_importer,ready_for_source_family_validation,"Authoritative source-family importer exists. Candidate remains non-playable until exact source identity, common-year/eligible-universe coverage, unit/definition comparability, provenance/license, player-quality and board-feasibility gates pass.",https://www.who.int/data/gho,Validate exact official indicator/series; eligible-universe completeness; one common comparison year/reference period; comparable unit/denominator/base; provenance/license; tie-safe board feasibility; category-level Understand/Interest/Uniqueness review; no manual fills.,standard,Countries ranked by doctor density using the latest broadly comparable WHO Global Health Observatory data.,"per 10,000 people",rate,high,source_observation_or_harmonized_estimate,joint ranks allowed; board must remain distinguishable under shared tie-safety gate,primary_or_administrative,tier_1_primary_or_official,WHO data terms / indicator metadata | https://www.who.int/about/policies/publishing/copyright,source URL/indicator/retrieval metadata + SHA-256 for supplied bulk files where practical,fixed/common year source-family common-year selector / static reference period; exact year recorded by validated import,must be identical across countries; explicit for rates/shares before activation,N/A unless monetary; monetary categories require one comparable currency/price basis and local-currency .CN/.KN paths are blocked,GeoStats canonical 195-country universe; source territories/entities normalized explicitly,current sovereign-country entity definition; historical successor handling required where applicable,fail closed when uncertainty intervals/definitions could reverse or obscure ranking,required for statistical cross-country rankings; static/historical datasets use one explicit reference rule,shared warehouse coverage/ranking-completeness threshold; no manual gap filling,"hard gate: unit, denominator, percent base, magnitude scale and currency/price basis must match",hard gate: source/dataset/indicator/methodology must match approved provenance and rejected paths cannot be blindly retried,85,80,90,eligible_for_activation_review,standard,warehouse import + integrity + player-quality + board-feasibility + release verifier,"Authoritative source-family importer exists. Candidate remains non-playable until exact source identity, common-year/eligible-universe coverage, unit/definition comparability, provenance/license, player-quality and board-feasibility gates pass."
family:who:highest-nurse-density,new_source_family_candidate,Highest nurse and midwife density,Health,People & Society,Healthcare,WHO Global Health Observatory,source-family rule highest-nurse-density; exact official indicator/series resolved and snapshotted by importer discovery,source-family common-year selector / static reference period; exact year recorded by validated import,minimum source-family coverage 110; eligible-universe completeness enforced by shared validation,strict_fail_closed_source_family_validation,Added in the v16.2.6 drastic source-family expansion pass; category count never overrides data/editorial quality.,validate_source_family_then_individual_editorial_review,source_family_path_implemented,implemented_fail_closed_source_family_importer,ready_for_source_family_validation,"Authoritative source-family importer exists. Candidate remains non-playable until exact source identity, common-year/eligible-universe coverage, unit/definition comparability, provenance/license, player-quality and board-feasibility gates pass.",https://www.who.int/data/gho,Validate exact official indicator/series; eligible-universe completeness; one common comparison year/reference period; comparable unit/denominator/base; provenance/license; tie-safe board feasibility; category-level Understand/Interest/Uniqueness review; no manual fills.,standard,Countries ranked by nurse and midwife density using the latest broadly comparable WHO Global Health Observatory data.,"per 10,000 people",rate,high,source_observation_or_harmonized_estimate,joint ranks allowed; board must remain distinguishable under shared tie-safety gate,primary_or_administrative,tier_1_primary_or_official,WHO data terms / indicator metadata | https://www.who.int/about/policies/publishing/copyright,source URL/indicator/retrieval metadata + SHA-256 for supplied bulk files where practical,fixed/common year source-family common-year selector / static reference period; exact year recorded by validated import,must be identical across countries; explicit for rates/shares before activation,N/A unless monetary; monetary categories require one comparable currency/price basis and local-currency .CN/.KN paths are blocked,GeoStats canonical 195-country universe; source territories/entities normalized explicitly,current sovereign-country entity definition; historical successor handling required where applicable,fail closed when uncertainty intervals/definitions could reverse or obscure ranking,required for statistical cross-country rankings; static/historical datasets use one explicit reference rule,shared warehouse coverage/ranking-completeness threshold; no manual gap filling,"hard gate: unit, denominator, percent base, magnitude scale and currency/price basis must match",hard gate: source/dataset/indicator/methodology must match approved provenance and rejected paths cannot be blindly retried,85,80,90,eligible_for_activation_review,standard,warehouse import + integrity + player-quality + board-feasibility + release verifier,"Authoritative source-family importer exists. Candidate remains non-playable until exact source identity, common-year/eligible-universe coverage, unit/definition comparability, provenance/license, player-quality and board-feasibility gates pass."
family:who:highest-dentist-density,new_source_family_candidate,Highest dentist density,Health,People & Society,Healthcare,WHO Global Health Observatory,source-family rule highest-dentist-density; exact official indicator/series resolved and snapshotted by importer discovery,source-family common-year selector / static reference period; exact year recorded by validated import,minimum source-family coverage 90; eligible-universe completeness enforced by shared validation,strict_fail_closed_source_family_validation,Added in the v16.2.6 drastic source-family expansion pass; category count never overrides data/editorial quality.,validate_source_family_then_individual_editorial_review,source_family_path_implemented,implemented_fail_closed_source_family_importer,ready_for_source_family_validation,"Authoritative source-family importer exists. Candidate remains non-playable until exact source identity, common-year/eligible-universe coverage, unit/definition comparability, provenance/license, player-quality and board-feasibility gates pass.",https://www.who.int/data/gho,Validate exact official indicator/series; eligible-universe completeness; one common comparison year/reference period; comparable unit/denominator/base; provenance/license; tie-safe board feasibility; category-level Understand/Interest/Uniqueness review; no manual fills.,standard,Countries ranked by dentist density using the latest broadly comparable WHO Global Health Observatory data.,"per 10,000 people",rate,high,source_observation_or_harmonized_estimate,joint ranks allowed; board must remain distinguishable under shared tie-safety gate,primary_or_administrative,tier_1_primary_or_official,WHO data terms / indicator metadata | https://www.who.int/about/policies/publishing/copyright,source URL/indicator/retrieval metadata + SHA-256 for supplied bulk files where practical,fixed/common year source-family common-year selector / static reference period; exact year recorded by validated import,must be identical across countries; explicit for rates/shares before activation,N/A unless monetary; monetary categories require one comparable currency/price basis and local-currency .CN/.KN paths are blocked,GeoStats canonical 195-country universe; source territories/entities normalized explicitly,current sovereign-country entity definition; historical successor handling required where applicable,fail closed when uncertainty intervals/definitions could reverse or obscure ranking,required for statistical cross-country rankings; static/historical datasets use one explicit reference rule,shared warehouse coverage/ranking-completeness threshold; no manual gap filling,"hard gate: unit, denominator, percent base, magnitude scale and currency/price basis must match",hard gate: source/dataset/indicator/methodology must match approved provenance and rejected paths cannot be blindly retried,85,80,90,eligible_for_activation_review,standard,warehouse import + integrity + player-quality + board-feasibility + release verifier,"Authoritative source-family importer exists. Candidate remains non-playable until exact source identity, common-year/eligible-universe coverage, unit/definition comparability, provenance/license, player-quality and board-feasibility gates pass."
family:who:highest-pharmacist-density,new_source_family_candidate,Highest pharmacist density,Health,People & Society,Healthcare,WHO Global Health Observatory,source-family rule highest-pharmacist-density; exact official indicator/series resolved and snapshotted by importer discovery,source-family common-year selector / static reference period; exact year recorded by validated import,minimum source-family coverage 90; eligible-universe completeness enforced by shared validation,strict_fail_closed_source_family_validation,Added in the v16.2.6 drastic source-family expansion pass; category count never overrides data/editorial quality.,validate_source_family_then_individual_editorial_review,source_family_path_implemented,implemented_fail_closed_source_family_importer,ready_for_source_family_validation,"Authoritative source-family importer exists. Candidate remains non-playable until exact source identity, common-year/eligible-universe coverage, unit/definition comparability, provenance/license, player-quality and board-feasibility gates pass.",https://www.who.int/data/gho,Validate exact official indicator/series; eligible-universe completeness; one common comparison year/reference period; comparable unit/denominator/base; provenance/license; tie-safe board feasibility; category-level Understand/Interest/Uniqueness review; no manual fills.,standard,Countries ranked by pharmacist density using the latest broadly comparable WHO Global Health Observatory data.,"per 10,000 people",rate,high,source_observation_or_harmonized_estimate,joint ranks allowed; board must remain distinguishable under shared tie-safety gate,primary_or_administrative,tier_1_primary_or_official,WHO data terms / indicator metadata | https://www.who.int/about/policies/publishing/copyright,source URL/indicator/retrieval metadata + SHA-256 for supplied bulk files where practical,fixed/common year source-family common-year selector / static reference period; exact year recorded by validated import,must be identical across countries; explicit for rates/shares before activation,N/A unless monetary; monetary categories require one comparable currency/price basis and local-currency .CN/.KN paths are blocked,GeoStats canonical 195-country universe; source territories/entities normalized explicitly,current sovereign-country entity definition; historical successor handling required where applicable,fail closed when uncertainty intervals/definitions could reverse or obscure ranking,required for statistical cross-country rankings; static/historical datasets use one explicit reference rule,shared warehouse coverage/ranking-completeness threshold; no manual gap filling,"hard gate: unit, denominator, percent base, magnitude scale and currency/price basis must match",hard gate: source/dataset/indicator/methodology must match approved provenance and rejected paths cannot be blindly retried,85,80,90,eligible_for_activation_review,standard,warehouse import + integrity + player-quality + board-feasibility + release verifier,"Authoritative source-family importer exists. Candidate remains non-playable until exact source identity, common-year/eligible-universe coverage, unit/definition comparability, provenance/license, player-quality and board-feasibility gates pass."
family:who:highest-hospital-bed-density,new_source_family_candidate,Highest hospital-bed density,Health,People & Society,Healthcare,WHO Global Health Observatory,source-family rule highest-hospital-bed-density; exact official indicator/series resolved and snapshotted by importer discovery,source-family common-year selector / static reference period; exact year recorded by validated import,minimum source-family coverage 110; eligible-universe completeness enforced by shared validation,strict_fail_closed_source_family_validation,Added in the v16.2.6 drastic source-family expansion pass; category count never overrides data/editorial quality.,validate_source_family_then_individual_editorial_review,source_family_path_implemented,implemented_fail_closed_source_family_importer,ready_for_source_family_validation,"Authoritative source-family importer exists. Candidate remains non-playable until exact source identity, common-year/eligible-universe coverage, unit/definition comparability, provenance/license, player-quality and board-feasibility gates pass.",https://www.who.int/data/gho,Validate exact official indicator/series; eligible-universe completeness; one common comparison year/reference period; comparable unit/denominator/base; provenance/license; tie-safe board feasibility; category-level Understand/Interest/Uniqueness review; no manual fills.,standard,Countries ranked by hospital-bed density using the latest broadly comparable WHO Global Health Observatory data.,"per 10,000 people",rate,high,source_observation_or_harmonized_estimate,joint ranks allowed; board must remain distinguishable under shared tie-safety gate,primary_or_administrative,tier_1_primary_or_official,WHO data terms / indicator metadata | https://www.who.int/about/policies/publishing/copyright,source URL/indicator/retrieval metadata + SHA-256 for supplied bulk files where practical,fixed/common year source-family common-year selector / static reference period; exact year recorded by validated import,must be identical across countries; explicit for rates/shares before activation,N/A unless monetary; monetary categories require one comparable currency/price basis and local-currency .CN/.KN paths are blocked,GeoStats canonical 195-country universe; source territories/entities normalized explicitly,current sovereign-country entity definition; historical successor handling required where applicable,fail closed when uncertainty intervals/definitions could reverse or obscure ranking,required for statistical cross-country rankings; static/historical datasets use one explicit reference rule,shared warehouse coverage/ranking-completeness threshold; no manual gap filling,"hard gate: unit, denominator, percent base, magnitude scale and currency/price basis must match",hard gate: source/dataset/indicator/methodology must match approved provenance and rejected paths cannot be blindly retried,85,80,90,eligible_for_activation_review,standard,warehouse import + integrity + player-quality + board-feasibility + release verifier,"Authoritative source-family importer exists. Candidate remains non-playable until exact source identity, common-year/eligible-universe coverage, unit/definition comparability, provenance/license, player-quality and board-feasibility gates pass."
