source_organization,source_indicator_code,category_id,original_title,decision,player_title,reason,concept_group,recognizability_score,specificity_score
FAOSTAT,QCL:'F1806:5417,,"Highest Beef and Buffalo Meat, primary yield",excluded,,"Obscure, redundant, narrowly processed, or weaker than a retained measure.",,,
FAOSTAT,QCL:'02111:5111,,Largest Cattle stocks,approved,Largest cattle population,"Recognizable, clear measure, and no stronger duplicate.",faostat-item-02111-stocks,92.0,92.0
FAOSTAT,QCL:'21111.01:5417,,"Highest Meat of cattle with the bone, fresh or chilled yield",excluded,,"Obscure, redundant, narrowly processed, or weaker than a retained measure.",,,
FAOSTAT,QCL:'21121:5424,,"Highest Meat of chickens, fresh or chilled yield",excluded,,"Obscure, redundant, narrowly processed, or weaker than a retained measure.",,,
FAOSTAT,QCL:'F1808:5424,,"Highest Meat, Poultry yield",excluded,,"Obscure, redundant, narrowly processed, or weaker than a retained measure.",,,
FAOSTAT,QCL:'F1780:5417,,"Highest Milk, Total yield",excluded,,"Obscure, redundant, narrowly processed, or weaker than a retained measure.",,,
FAOSTAT,QCL:'02211:5510,,Largest Raw milk of cattle production,approved,Largest cow's milk production,"Recognizable, clear measure, and no stronger duplicate.",faostat-item-02211-production,92.0,92.0
FAOSTAT,QCL:'F1717:5312,,"Largest Cereals, primary harvested area",excluded,,Harvested-area variant removed in favor of production or yield.,,,
FAOSTAT,QCL:'F1717:5510,,"Largest Cereals, primary production",approved,Largest cereals production,"Recognizable, clear measure, and no stronger duplicate.",faostat-item-f1717-production,92.0,92.0
FAOSTAT,QCL:'F1717:5412,,"Highest Cereals, primary yield",excluded,,"Obscure, redundant, narrowly processed, or weaker than a retained measure.",,,
FAOSTAT,QCL:'02122:5111,,Largest Sheep stocks,approved,Largest sheep population,"Recognizable, clear measure, and no stronger duplicate.",faostat-item-02122-stocks,92.0,92.0
FAOSTAT,QCL:'01290.90:5412,,"Highest Other vegetables, fresh n.e.c. yield",excluded,,Obscure or technical commodity definition removed.,,,
FAOSTAT,QCL:'0112:5510,,Largest Maize (corn) production,approved,Largest corn production,"Recognizable, clear measure, and no stronger duplicate.",faostat-item-0112-production,92.0,92.0
World Bank,NE.CON.GOVT.CD,,Highest government consumption,excluded,,Absolute consumption mostly repeats economy size and is weak for gameplay.,,,
World Bank,NE.CON.PRVT.CD,,Highest household consumption,excluded,,Absolute consumption mostly repeats economy size and is weak for gameplay.,,,
FAOSTAT,QCL:'01234:5510,,Largest Tomatoes production,approved,Largest tomatoes production,"Recognizable, clear measure, and no stronger duplicate.",faostat-item-01234-production,92.0,92.0
FAOSTAT,QCL:'01234:5412,,Highest Tomatoes yield,approved,Highest tomatoes yield,"Recognizable, clear measure, and no stronger duplicate.",faostat-item-01234-yield,92.0,92.0
FAOSTAT,QCL:'01510:5312,,Largest Potatoes harvested area,excluded,,Harvested-area variant removed in favor of production or yield.,,,
FAOSTAT,QCL:'01510:5510,,Largest Potatoes production,approved,Largest potatoes production,"Recognizable, clear measure, and no stronger duplicate.",faostat-item-01510-production,92.0,92.0
FAOSTAT,QCL:'01212:5510,,Largest Cabbages production,approved,Largest cabbage production,"Recognizable, clear measure, and no stronger duplicate.",faostat-item-01212-production,92.0,92.0
FAOSTAT,QCL:'01253.02:5312,,"Largest Onions and shallots, dry (excluding dehydrated) harvested area",excluded,,Harvested-area variant removed in favor of production or yield.,,,
FAOSTAT,QCL:'01253.02:5510,,"Largest Onions and shallots, dry (excluding dehydrated) production",approved,Largest onions and shallots production,"Recognizable, clear measure, and no stronger duplicate.",faostat-item-01253-02-production,92.0,92.0
FAOSTAT,QCL:'01232:5510,,Largest Cucumbers and gherkins production,approved,Largest cucumbers and gherkins production,"Recognizable, clear measure, and no stronger duplicate.",faostat-item-01232-production,92.0,92.0
FAOSTAT,QCL:'01232:5312,,Largest Cucumbers and gherkins harvested area,excluded,,Harvested-area variant removed in favor of production or yield.,,,
FAOSTAT,QCL:'F1804:5412,,"Highest Citrus Fruit, Total yield",excluded,,"Obscure, redundant, narrowly processed, or weaker than a retained measure.",,,
FAOSTAT,QCL:'01251:5510,,Largest Carrots and turnips production,approved,Largest carrots and turnips production,"Recognizable, clear measure, and no stronger duplicate.",faostat-item-01251-production,92.0,92.0
FAOSTAT,QCL:'01231:5510,,"Largest Chillies and peppers, green (Capsicum spp. and Pimenta spp.) production",approved,Largest green chilies and peppers production,"Recognizable, clear measure, and no stronger duplicate.",faostat-item-01231-production,92.0,92.0
FAOSTAT,QCL:'F1729:5312,,"Largest Treenuts, Total harvested area",excluded,,Harvested-area variant removed in favor of production or yield.,,,
FAOSTAT,QCL:'01235:5510,,"Largest Pumpkins, squash and gourds production",approved,"Largest pumpkins, squash, and gourds production","Recognizable, clear measure, and no stronger duplicate.",faostat-item-01235-production,92.0,92.0
FAOSTAT,QCL:'01235:5312,,"Largest Pumpkins, squash and gourds harvested area",excluded,,Harvested-area variant removed in favor of production or yield.,,,
FAOSTAT,QCL:'01235:5412,,"Highest Pumpkins, squash and gourds yield",approved,"Highest pumpkins, squash, and gourds yield","Recognizable, clear measure, and no stronger duplicate.",faostat-item-01235-yield,92.0,92.0
FAOSTAT,QCL:'01221:5412,,Highest Watermelons yield,approved,Highest watermelons yield,"Recognizable, clear measure, and no stronger duplicate.",faostat-item-01221-yield,92.0,92.0
FAOSTAT,QCL:'F1729:5412,,"Highest Treenuts, Total yield",excluded,,"Obscure, redundant, narrowly processed, or weaker than a retained measure.",,,
FAOSTAT,QCL:'0114:5510,,Largest Sorghum production,approved,Largest sorghum production,"Recognizable, clear measure, and no stronger duplicate.",faostat-item-0114-production,92.0,92.0
FAOSTAT,QCL:'01312:5412,,Highest Bananas yield,approved,Highest bananas yield,"Recognizable, clear measure, and no stronger duplicate.",faostat-item-01312-yield,92.0,92.0
FAOSTAT,QCL:'01323:5412,,Highest Oranges yield,approved,Highest oranges yield,"Recognizable, clear measure, and no stronger duplicate.",faostat-item-01323-yield,92.0,92.0
FAOSTAT,QCL:'01709.90:5312,,Largest Other pulses n.e.c. harvested area,excluded,,Harvested-area variant removed in favor of production or yield.,,,
FAOSTAT,QCL:'0142:5412,,"Highest Groundnuts, excluding shelled yield",approved,Highest peanuts yield,"Recognizable, clear measure, and no stronger duplicate.",faostat-item-0142-yield,92.0,92.0
FAOSTAT,QCL:'01252:5510,,Largest Green garlic production,excluded,,"Obscure, redundant, narrowly processed, or weaker than a retained measure.",,,
FAOSTAT,QCL:'01214:5510,,Largest Lettuce and chicory production,approved,Largest lettuce and chicory production,"Recognizable, clear measure, and no stronger duplicate.",faostat-item-01214-production,92.0,92.0
FAOSTAT,QCL:'02292:5417,,Highest Raw milk of goats yield,excluded,,"Obscure, redundant, narrowly processed, or weaker than a retained measure.",,,
FAOSTAT,QCL:'01252:5312,,Largest Green garlic harvested area,excluded,,Harvested-area variant removed in favor of production or yield.,,,
FAOSTAT,QCL:'01705:5312,,"Largest Peas, dry harvested area",excluded,,Harvested-area variant removed in favor of production or yield.,,,
FAOSTAT,QCL:'01705:5412,,"Highest Peas, dry yield",approved,Highest dry peas yield,"Recognizable, clear measure, and no stronger duplicate.",faostat-item-01705-yield,92.0,92.0
FAOSTAT,QCL:'01213:5412,,Highest Cauliflowers and broccoli yield,approved,Highest cauliflower and broccoli yield,"Recognizable, clear measure, and no stronger duplicate.",faostat-item-01213-yield,92.0,92.0
FAOSTAT,QCL:'01341:5412,,Highest Apples yield,approved,Highest apples yield,"Recognizable, clear measure, and no stronger duplicate.",faostat-item-01341-yield,92.0,92.0
World Bank,NV.SRV.TOTL.ZS,,Highest services share of GDP,excluded,,Complementary near-duplicate of industry share of GDP.,,,
FAOSTAT,QCL:'F1738:5312,,Largest Fruit Primary harvested area,excluded,,Harvested-area variant removed in favor of production or yield.,,,
FAOSTAT,QCL:'F1738:5510,,Largest Fruit Primary production,approved,Largest fruit production,"Recognizable, clear measure, and no stronger duplicate.",faostat-item-f1738-production,92.0,92.0
FAOSTAT,QCL:'F1765:5510,,"Largest Meat, Total production",excluded,,"Obscure, redundant, narrowly processed, or weaker than a retained measure.",,,
FAOSTAT,QCL:'F1735:5510,,Largest Vegetables Primary production,approved,Largest vegetables production,"Recognizable, clear measure, and no stronger duplicate.",faostat-item-f1735-production,92.0,92.0
FAOSTAT,QCL:'F1720:5312,,"Largest Roots and Tubers, Total harvested area",excluded,,Harvested-area variant removed in favor of production or yield.,,,
FAOSTAT,QCL:'F1735:5312,,Largest Vegetables Primary harvested area,excluded,,Harvested-area variant removed in favor of production or yield.,,,
FAOSTAT,QCL:'F1806:5510,,"Largest Beef and Buffalo Meat, primary production",approved,Largest beef and buffalo meat production,"Recognizable, clear measure, and no stronger duplicate.",faostat-item-f1806-production,92.0,92.0
FAOSTAT,QCL:'F1746:5111,,Largest Cattle and Buffaloes stocks,excluded,,"Obscure, redundant, narrowly processed, or weaker than a retained measure.",,,
FAOSTAT,QCL:'21121:5510,,"Largest Meat of chickens, fresh or chilled production",approved,Largest chicken meat production,"Recognizable, clear measure, and no stronger duplicate.",faostat-item-21121-production,92.0,92.0
FAOSTAT,QCL:'F1808:5510,,"Largest Meat, Poultry production",excluded,,"Obscure, redundant, narrowly processed, or weaker than a retained measure.",,,
FAOSTAT,QCL:'F1806:5320,,"Most Beef and Buffalo Meat, primary producing animals",excluded,,Technical animal-input count removed.,,,
FAOSTAT,QCL:'21111.01:5510,,"Largest Meat of cattle with the bone, fresh or chilled production",excluded,,"Obscure, redundant, narrowly processed, or weaker than a retained measure.",,,
FAOSTAT,QCL:'21512:5320,,"Most Cattle fat, unrendered producing animals",excluded,,Technical animal-input count removed.,,,
FAOSTAT,QCL:'21151:5320,,"Most Edible offal of cattle, fresh, chilled or frozen producing animals",excluded,,Technical animal-input count removed.,,,
FAOSTAT,QCL:'21111.01:5320,,"Most Meat of cattle with the bone, fresh or chilled producing animals",excluded,,Technical animal-input count removed.,,,
FAOSTAT,QCL:'02951.01:5320,,Most Raw hides and skins of cattle producing animals,excluded,,Technical animal-input count removed.,,,
FAOSTAT,QCL:'F1807:5510,,Largest Sheep and Goat Meat production,approved,Largest sheep and goat meat production,"Recognizable, clear measure, and no stronger duplicate.",faostat-item-f1807-production,92.0,92.0
FAOSTAT,QCL:'F1749:5111,,Largest Sheep and Goats stocks,excluded,,"Obscure, redundant, narrowly processed, or weaker than a retained measure.",,,
FAOSTAT,QCL:'F1780:5510,,"Largest Milk, Total production",excluded,,"Obscure, redundant, narrowly processed, or weaker than a retained measure.",,,
FAOSTAT,QCL:'F1780:5318,,"Most Milk, Total milk-producing animals",excluded,,Technical animal-input count removed.,,,
FAOSTAT,QCL:'02211:5318,,Most Raw milk of cattle milk-producing animals,excluded,,Technical animal-input count removed.,,,
FAOSTAT,QCL:'0231:5513,,"Largest Hen eggs in shell, fresh production",approved,Largest eggs production,"Recognizable, clear measure, and no stronger duplicate.",faostat-item-0231-production,92.0,92.0
FAOSTAT,QCL:'02123:5111,,Largest Goats stocks,approved,Largest goat population,"Recognizable, clear measure, and no stronger duplicate.",faostat-item-02123-stocks,92.0,92.0
FAOSTAT,QCL:'21115:5510,,"Largest Meat of sheep, fresh or chilled production",excluded,,"Obscure, redundant, narrowly processed, or weaker than a retained measure.",,,
FAOSTAT,QCL:'F1726:5312,,"Largest Pulses, Total harvested area",excluded,,Harvested-area variant removed in favor of production or yield.,,,
FAOSTAT,QCL:'F1726:5510,,"Largest Pulses, Total production",approved,"Largest pulses, total production","Recognizable, clear measure, and no stronger duplicate.",faostat-item-f1726-production,92.0,92.0
FAOSTAT,QCL:'F1726:5412,,"Highest Pulses, Total yield",excluded,,"Obscure, redundant, narrowly processed, or weaker than a retained measure.",,,
FAOSTAT,QCL:'0112:5312,,Largest Maize (corn) harvested area,excluded,,Harvested-area variant removed in favor of production or yield.,,,
FAOSTAT,QCL:'02140:5111,,Largest Swine / pigs stocks,approved,Largest pig population,"Recognizable, clear measure, and no stronger duplicate.",faostat-item-02140-stocks,92.0,92.0
FAOSTAT,QCL:'21113.01:5510,,"Largest Meat of pig with the bone, fresh or chilled production",approved,Largest pork production,"Recognizable, clear measure, and no stronger duplicate.",faostat-item-21113-01-production,92.0,92.0
FAOSTAT,QCL:'21153:5320,,"Most Edible offal of pigs, fresh, chilled or frozen producing animals",excluded,,Technical animal-input count removed.,,,
FAOSTAT,QCL:'21511.01:5320,,Most Fat of pigs producing animals,excluded,,Technical animal-input count removed.,,,
FAOSTAT,QCL:'21113.01:5320,,"Most Meat of pig with the bone, fresh or chilled producing animals",excluded,,Technical animal-input count removed.,,,
FAOSTAT,QCL:'F1783:5424,,Highest Eggs Primary yield,excluded,,"Obscure, redundant, narrowly processed, or weaker than a retained measure.",,,
FAOSTAT,QCL:'0231:5424,,"Highest Hen eggs in shell, fresh yield",excluded,,"Obscure, redundant, narrowly processed, or weaker than a retained measure.",,,
FAOSTAT,QCL:'01234:5312,,Largest Tomatoes harvested area,excluded,,Harvested-area variant removed in favor of production or yield.,,,
FAOSTAT,QCL:'F1732:5412,,"Highest Oilcrops, Oil Equivalent yield",excluded,,Obscure or technical commodity definition removed.,,,
FAOSTAT,QCL:'F1841:5412,,"Highest Oilcrops, Cake Equivalent yield",excluded,,Obscure or technical commodity definition removed.,,,
FAOSTAT,QCL:'01212:5312,,Largest Cabbages harvested area,excluded,,Harvested-area variant removed in favor of production or yield.,,,
FAOSTAT,QCL:'F1723:5312,,Largest Sugar Crops Primary harvested area,excluded,,Harvested-area variant removed in favor of production or yield.,,,
FAOSTAT,QCL:'F1723:5510,,Largest Sugar Crops Primary production,excluded,,"Obscure, redundant, narrowly processed, or weaker than a retained measure.",,,
FAOSTAT,QCL:'02131:5111,,Largest Horses stocks,approved,Largest horse population,"Recognizable, clear measure, and no stronger duplicate.",faostat-item-02131-stocks,92.0,92.0
FAOSTAT,QCL:'0113:5312,,Largest Rice harvested area,excluded,,Harvested-area variant removed in favor of production or yield.,,,
FAOSTAT,QCL:'0113:5510,,Largest Rice production,approved,Largest rice production,"Recognizable, clear measure, and no stronger duplicate.",faostat-item-0113-production,92.0,92.0
FAOSTAT,QCL:'01221:5510,,Largest Watermelons production,approved,Largest watermelons production,"Recognizable, clear measure, and no stronger duplicate.",faostat-item-01221-production,92.0,92.0
FAOSTAT,QCL:'01221:5312,,Largest Watermelons harvested area,excluded,,Harvested-area variant removed in favor of production or yield.,,,
FAOSTAT,QCL:'01251:5312,,Largest Carrots and turnips harvested area,excluded,,Harvested-area variant removed in favor of production or yield.,,,
FAOSTAT,QCL:'01231:5312,,"Largest Chillies and peppers, green (Capsicum spp. and Pimenta spp.) harvested area",excluded,,Harvested-area variant removed in favor of production or yield.,,,
FAOSTAT,QCL:'F1729:5510,,"Largest Treenuts, Total production",approved,Largest tree nuts production,"Recognizable, clear measure, and no stronger duplicate.",faostat-item-f1729-production,92.0,92.0
FAOSTAT,QCL:'01970:5412,,Highest Unmanufactured tobacco yield,excluded,,"Obscure, redundant, narrowly processed, or weaker than a retained measure.",,,
FAOSTAT,QCL:'0114:5312,,Largest Sorghum harvested area,excluded,,Harvested-area variant removed in favor of production or yield.,,,
FAOSTAT,QCL:'02292:5510,,Largest Raw milk of goats production,approved,Largest goat milk production,"Recognizable, clear measure, and no stronger duplicate.",faostat-item-02292-production,92.0,92.0
FAOSTAT,QCL:'0142:5510,,"Largest Groundnuts, excluding shelled production",approved,Largest peanuts production,"Recognizable, clear measure, and no stronger duplicate.",faostat-item-0142-production,92.0,92.0
FAOSTAT,QCL:'01709.90:5510,,Largest Other pulses n.e.c. production,excluded,,Obscure or technical commodity definition removed.,,,
FAOSTAT,QCL:'0141:5312,,Largest Soya beans harvested area,excluded,,Harvested-area variant removed in favor of production or yield.,,,
FAOSTAT,QCL:'0114:5412,,Highest Sorghum yield,approved,Highest sorghum yield,"Recognizable, clear measure, and no stronger duplicate.",faostat-item-0114-yield,92.0,92.0
FAOSTAT,QCL:'0142:5312,,"Largest Groundnuts, excluding shelled harvested area",excluded,,Harvested-area variant removed in favor of production or yield.,,,
FAOSTAT,QCL:'0141:5510,,Largest Soya beans production,approved,Largest soybeans production,"Recognizable, clear measure, and no stronger duplicate.",faostat-item-0141-production,92.0,92.0
FAOSTAT,QCL:'01530:5412,,Highest Sweet potatoes yield,approved,Highest sweet potatoes yield,"Recognizable, clear measure, and no stronger duplicate.",faostat-item-01530-yield,92.0,92.0
FAOSTAT,QCL:'01530:5510,,Largest Sweet potatoes production,approved,Largest sweet potatoes production,"Recognizable, clear measure, and no stronger duplicate.",faostat-item-01530-production,92.0,92.0
FAOSTAT,QCL:'01701:5412,,"Highest Beans, dry yield",approved,Highest dry beans yield,"Recognizable, clear measure, and no stronger duplicate.",faostat-item-01701-yield,92.0,92.0
FAOSTAT,QCL:'01701:5312,,"Largest Beans, dry harvested area",excluded,,Harvested-area variant removed in favor of production or yield.,,,
FAOSTAT,QCL:'01701:5510,,"Largest Beans, dry production",approved,Largest dry beans production,"Recognizable, clear measure, and no stronger duplicate.",faostat-item-01701-production,92.0,92.0
FAOSTAT,QCL:'01241.90:5510,,"Largest Other beans, green production",excluded,,"Obscure, redundant, narrowly processed, or weaker than a retained measure.",,,
FAOSTAT,QCL:'01229:5510,,Largest Cantaloupes and other melons production,approved,Largest melons production,"Recognizable, clear measure, and no stronger duplicate.",faostat-item-01229-production,92.0,92.0
FAOSTAT,QCL:'01241.90:5312,,"Largest Other beans, green harvested area",excluded,,Harvested-area variant removed in favor of production or yield.,,,
FAOSTAT,QCL:'02292:5318,,Most Raw milk of goats milk-producing animals,excluded,,Technical animal-input count removed.,,,
FAOSTAT,QCL:'01229:5312,,Largest Cantaloupes and other melons harvested area,excluded,,Harvested-area variant removed in favor of production or yield.,,,
FAOSTAT,QCL:'01214:5312,,Largest Lettuce and chicory harvested area,excluded,,Harvested-area variant removed in favor of production or yield.,,,
FAOSTAT,QCL:'01233:5510,,Largest Eggplants (aubergines) production,approved,Largest eggplants production,"Recognizable, clear measure, and no stronger duplicate.",faostat-item-01233-production,92.0,92.0
FAOSTAT,QCL:'01316:5412,,"Highest Mangoes, guavas and mangosteens yield",approved,"Highest mangoes, guavas, and mangosteens yield","Recognizable, clear measure, and no stronger duplicate.",faostat-item-01316-yield,92.0,92.0
