category_id,title,source_organization,source_indicator_code,prior_editorial_status,prior_validation_status,prior_ranking_completeness_status,prior_primary_blocker,prior_blocker_class,v16_2_2_decision,rationale
worldbank-catalog:bx-trf-pwkr-dt-gd-zs,"Highest personal remittances, received",World Bank,BX.TRF.PWKR.DT.GD.ZS,pending,verified,non_comprehensive,"Player-facing title, description, or unit needs a clearer rewrite.",copy_or_semantic_rewrite,approved,"v16.2.2 catalog review: clear, objective country comparison worth keeping; source/integrity gates remain authoritative."
worldbank-catalog:cm-mkt-indx-zg,Highest s&P Global Equity Indices,World Bank,CM.MKT.INDX.ZG,pending,unable_to_verify,non_comprehensive,Semantic audit identified a substantive data repair.,substantive_data_failure,rejected,"v16.2.2 catalog review: removed from the unresolved backlog because the concept is too technical, duplicative, narrow, weakly comparable, or insufficiently useful for GeoStats."
worldbank-catalog:cm-mkt-lcap-cd,Highest market capitalization of listed domestic companies,World Bank,CM.MKT.LCAP.CD,pending,unable_to_verify,non_comprehensive,One or more omitted countries could plausibly alter the meaningful top ranking.,ranking_completeness,rejected,"v16.2.2 catalog review: removed from the unresolved backlog because the concept is too technical, duplicative, narrow, weakly comparable, or insufficiently useful for GeoStats."
worldbank-catalog:cm-mkt-lcap-gd-zs,Highest market capitalization of listed domestic companies,World Bank,CM.MKT.LCAP.GD.ZS,pending,unable_to_verify,non_comprehensive,Semantic audit identified a substantive data repair.,substantive_data_failure,rejected,"v16.2.2 catalog review: removed from the unresolved backlog because the concept is too technical, duplicative, narrow, weakly comparable, or insufficiently useful for GeoStats."
worldbank-catalog:cm-mkt-ldom-no,"Highest listed domestic companies, total",World Bank,CM.MKT.LDOM.NO,pending,unable_to_verify,non_comprehensive,One or more omitted countries could plausibly alter the meaningful top ranking.,ranking_completeness,rejected,"v16.2.2 catalog review: removed from the unresolved backlog because the concept is too technical, duplicative, narrow, weakly comparable, or insufficiently useful for GeoStats."
worldbank-catalog:cm-mkt-trad-gd-zs,Most stock trading,World Bank,CM.MKT.TRAD.GD.ZS,pending,unable_to_verify,non_comprehensive,Semantic audit identified a substantive data repair.,substantive_data_failure,rejected,"v16.2.2 catalog review: removed from the unresolved backlog because the concept is too technical, duplicative, narrow, weakly comparable, or insufficiently useful for GeoStats."
worldbank-catalog:cm-mkt-trnr,Most stock trading,World Bank,CM.MKT.TRNR,pending,unable_to_verify,non_comprehensive,Semantic audit identified a substantive data repair.,substantive_data_failure,rejected,"v16.2.2 catalog review: removed from the unresolved backlog because the concept is too technical, duplicative, narrow, weakly comparable, or insufficiently useful for GeoStats."
worldbank-catalog:dc-dac-ausl-cd,"Highest net bilateral aid flows from DAC donors, Australia",World Bank,DC.DAC.AUSL.CD,pending,verified,non_comprehensive,One or more omitted countries could plausibly alter the meaningful top ranking.,ranking_completeness,rejected,"v16.2.2 catalog review: removed from the unresolved backlog because the concept is too technical, duplicative, narrow, weakly comparable, or insufficiently useful for GeoStats."
worldbank-catalog:dc-dac-autl-cd,"Highest net bilateral aid flows from DAC donors, Austria",World Bank,DC.DAC.AUTL.CD,pending,verified,non_comprehensive,One or more omitted countries could plausibly alter the meaningful top ranking.,ranking_completeness,rejected,"v16.2.2 catalog review: removed from the unresolved backlog because the concept is too technical, duplicative, narrow, weakly comparable, or insufficiently useful for GeoStats."
worldbank-catalog:dc-dac-bell-cd,"Highest net bilateral aid flows from DAC donors, Belgium",World Bank,DC.DAC.BELL.CD,pending,unable_to_verify,non_comprehensive,One or more omitted countries could plausibly alter the meaningful top ranking.,ranking_completeness,rejected,"v16.2.2 catalog review: removed from the unresolved backlog because the concept is too technical, duplicative, narrow, weakly comparable, or insufficiently useful for GeoStats."
worldbank-catalog:dc-dac-canl-cd,"Highest net bilateral aid flows from DAC donors, Canada",World Bank,DC.DAC.CANL.CD,pending,verified,non_comprehensive,One or more omitted countries could plausibly alter the meaningful top ranking.,ranking_completeness,rejected,"v16.2.2 catalog review: removed from the unresolved backlog because the concept is too technical, duplicative, narrow, weakly comparable, or insufficiently useful for GeoStats."
worldbank-catalog:dc-dac-cecl-cd,"Highest net bilateral aid flows from DAC donors, European Union institutions",World Bank,DC.DAC.CECL.CD,pending,verified,non_comprehensive,One or more omitted countries could plausibly alter the meaningful top ranking.,ranking_completeness,rejected,"v16.2.2 catalog review: removed from the unresolved backlog because the concept is too technical, duplicative, narrow, weakly comparable, or insufficiently useful for GeoStats."
worldbank-catalog:dc-dac-chel-cd,"Highest net bilateral aid flows from DAC donors, Switzerland",World Bank,DC.DAC.CHEL.CD,pending,verified,non_comprehensive,One or more omitted countries could plausibly alter the meaningful top ranking.,ranking_completeness,rejected,"v16.2.2 catalog review: removed from the unresolved backlog because the concept is too technical, duplicative, narrow, weakly comparable, or insufficiently useful for GeoStats."
worldbank-catalog:dc-dac-czel-cd,"Highest net bilateral aid flows from DAC donors, Czechia",World Bank,DC.DAC.CZEL.CD,pending,unable_to_verify,non_comprehensive,One or more omitted countries could plausibly alter the meaningful top ranking.,ranking_completeness,rejected,"v16.2.2 catalog review: removed from the unresolved backlog because the concept is too technical, duplicative, narrow, weakly comparable, or insufficiently useful for GeoStats."
worldbank-catalog:dc-dac-deul-cd,"Highest net bilateral aid flows from DAC donors, Germany",World Bank,DC.DAC.DEUL.CD,pending,verified,non_comprehensive,One or more omitted countries could plausibly alter the meaningful top ranking.,ranking_completeness,rejected,"v16.2.2 catalog review: removed from the unresolved backlog because the concept is too technical, duplicative, narrow, weakly comparable, or insufficiently useful for GeoStats."
worldbank-catalog:dc-dac-dnkl-cd,"Highest net bilateral aid flows from DAC donors, Denmark",World Bank,DC.DAC.DNKL.CD,pending,unable_to_verify,non_comprehensive,One or more omitted countries could plausibly alter the meaningful top ranking.,ranking_completeness,rejected,"v16.2.2 catalog review: removed from the unresolved backlog because the concept is too technical, duplicative, narrow, weakly comparable, or insufficiently useful for GeoStats."
worldbank-catalog:dc-dac-espl-cd,"Highest net bilateral aid flows from DAC donors, Spain",World Bank,DC.DAC.ESPL.CD,pending,verified,non_comprehensive,One or more omitted countries could plausibly alter the meaningful top ranking.,ranking_completeness,rejected,"v16.2.2 catalog review: removed from the unresolved backlog because the concept is too technical, duplicative, narrow, weakly comparable, or insufficiently useful for GeoStats."
worldbank-catalog:dc-dac-estl-cd,"Highest net bilateral aid flows from DAC donors, Estonia",World Bank,DC.DAC.ESTL.CD,pending,unable_to_verify,non_comprehensive,One or more omitted countries could plausibly alter the meaningful top ranking.,ranking_completeness,rejected,"v16.2.2 catalog review: removed from the unresolved backlog because the concept is too technical, duplicative, narrow, weakly comparable, or insufficiently useful for GeoStats."
worldbank-catalog:dc-dac-finl-cd,"Highest net bilateral aid flows from DAC donors, Finland",World Bank,DC.DAC.FINL.CD,pending,unable_to_verify,non_comprehensive,One or more omitted countries could plausibly alter the meaningful top ranking.,ranking_completeness,rejected,"v16.2.2 catalog review: removed from the unresolved backlog because the concept is too technical, duplicative, narrow, weakly comparable, or insufficiently useful for GeoStats."
worldbank-catalog:dc-dac-fral-cd,"Highest net bilateral aid flows from DAC donors, France",World Bank,DC.DAC.FRAL.CD,pending,verified,non_comprehensive,One or more omitted countries could plausibly alter the meaningful top ranking.,ranking_completeness,rejected,"v16.2.2 catalog review: removed from the unresolved backlog because the concept is too technical, duplicative, narrow, weakly comparable, or insufficiently useful for GeoStats."
worldbank-catalog:dc-dac-gbrl-cd,"Highest net bilateral aid flows from DAC donors, United Kingdom",World Bank,DC.DAC.GBRL.CD,pending,verified,non_comprehensive,One or more omitted countries could plausibly alter the meaningful top ranking.,ranking_completeness,rejected,"v16.2.2 catalog review: removed from the unresolved backlog because the concept is too technical, duplicative, narrow, weakly comparable, or insufficiently useful for GeoStats."
worldbank-catalog:dc-dac-grcl-cd,"Highest net bilateral aid flows from DAC donors, Greece",World Bank,DC.DAC.GRCL.CD,pending,failed,non_comprehensive,Official-source value and ranking audit has not completed.,source_audit_pending,rejected,"v16.2.2 catalog review: removed from the unresolved backlog because the concept is too technical, duplicative, narrow, weakly comparable, or insufficiently useful for GeoStats."
worldbank-catalog:dc-dac-hunl-cd,"Highest net bilateral aid flows from DAC donors, Hungary",World Bank,DC.DAC.HUNL.CD,pending,unable_to_verify,non_comprehensive,One or more omitted countries could plausibly alter the meaningful top ranking.,ranking_completeness,rejected,"v16.2.2 catalog review: removed from the unresolved backlog because the concept is too technical, duplicative, narrow, weakly comparable, or insufficiently useful for GeoStats."
worldbank-catalog:dc-dac-irll-cd,"Highest net bilateral aid flows from DAC donors, Ireland",World Bank,DC.DAC.IRLL.CD,pending,unable_to_verify,non_comprehensive,One or more omitted countries could plausibly alter the meaningful top ranking.,ranking_completeness,rejected,"v16.2.2 catalog review: removed from the unresolved backlog because the concept is too technical, duplicative, narrow, weakly comparable, or insufficiently useful for GeoStats."
worldbank-catalog:dc-dac-isll-cd,"Highest net bilateral aid flows from DAC donors, Iceland",World Bank,DC.DAC.ISLL.CD,pending,unable_to_verify,non_comprehensive,One or more omitted countries could plausibly alter the meaningful top ranking.,ranking_completeness,rejected,"v16.2.2 catalog review: removed from the unresolved backlog because the concept is too technical, duplicative, narrow, weakly comparable, or insufficiently useful for GeoStats."
worldbank-catalog:dc-dac-ital-cd,"Highest net bilateral aid flows from DAC donors, Italy",World Bank,DC.DAC.ITAL.CD,pending,verified,non_comprehensive,One or more omitted countries could plausibly alter the meaningful top ranking.,ranking_completeness,rejected,"v16.2.2 catalog review: removed from the unresolved backlog because the concept is too technical, duplicative, narrow, weakly comparable, or insufficiently useful for GeoStats."
worldbank-catalog:dc-dac-jpnl-cd,"Highest net bilateral aid flows from DAC donors, Japan",World Bank,DC.DAC.JPNL.CD,pending,verified,non_comprehensive,One or more omitted countries could plausibly alter the meaningful top ranking.,ranking_completeness,rejected,"v16.2.2 catalog review: removed from the unresolved backlog because the concept is too technical, duplicative, narrow, weakly comparable, or insufficiently useful for GeoStats."
worldbank-catalog:dc-dac-korl-cd,"Highest net bilateral aid flows from DAC donors, Korea, Rep.",World Bank,DC.DAC.KORL.CD,pending,verified,non_comprehensive,One or more omitted countries could plausibly alter the meaningful top ranking.,ranking_completeness,rejected,"v16.2.2 catalog review: removed from the unresolved backlog because the concept is too technical, duplicative, narrow, weakly comparable, or insufficiently useful for GeoStats."
worldbank-catalog:dc-dac-ltul-cd,"Highest net bilateral aid flows from DAC donors, Lithuania",World Bank,DC.DAC.LTUL.CD,pending,unable_to_verify,non_comprehensive,One or more omitted countries could plausibly alter the meaningful top ranking.,ranking_completeness,rejected,"v16.2.2 catalog review: removed from the unresolved backlog because the concept is too technical, duplicative, narrow, weakly comparable, or insufficiently useful for GeoStats."
worldbank-catalog:dc-dac-luxl-cd,"Highest net bilateral aid flows from DAC donors, Luxembourg",World Bank,DC.DAC.LUXL.CD,pending,unable_to_verify,non_comprehensive,One or more omitted countries could plausibly alter the meaningful top ranking.,ranking_completeness,rejected,"v16.2.2 catalog review: removed from the unresolved backlog because the concept is too technical, duplicative, narrow, weakly comparable, or insufficiently useful for GeoStats."
worldbank-catalog:dc-dac-nldl-cd,"Highest net bilateral aid flows from DAC donors, Netherlands",World Bank,DC.DAC.NLDL.CD,pending,unable_to_verify,non_comprehensive,One or more omitted countries could plausibly alter the meaningful top ranking.,ranking_completeness,rejected,"v16.2.2 catalog review: removed from the unresolved backlog because the concept is too technical, duplicative, narrow, weakly comparable, or insufficiently useful for GeoStats."
worldbank-catalog:dc-dac-norl-cd,"Highest net bilateral aid flows from DAC donors, Norway",World Bank,DC.DAC.NORL.CD,pending,unable_to_verify,non_comprehensive,One or more omitted countries could plausibly alter the meaningful top ranking.,ranking_completeness,rejected,"v16.2.2 catalog review: removed from the unresolved backlog because the concept is too technical, duplicative, narrow, weakly comparable, or insufficiently useful for GeoStats."
worldbank-catalog:dc-dac-nzll-cd,"Highest net bilateral aid flows from DAC donors, New Zealand",World Bank,DC.DAC.NZLL.CD,pending,unable_to_verify,non_comprehensive,One or more omitted countries could plausibly alter the meaningful top ranking.,ranking_completeness,rejected,"v16.2.2 catalog review: removed from the unresolved backlog because the concept is too technical, duplicative, narrow, weakly comparable, or insufficiently useful for GeoStats."
worldbank-catalog:dc-dac-poll-cd,"Highest net bilateral aid flows from DAC donors, Poland",World Bank,DC.DAC.POLL.CD,pending,verified,non_comprehensive,One or more omitted countries could plausibly alter the meaningful top ranking.,ranking_completeness,rejected,"v16.2.2 catalog review: removed from the unresolved backlog because the concept is too technical, duplicative, narrow, weakly comparable, or insufficiently useful for GeoStats."
worldbank-catalog:dc-dac-prtl-cd,"Highest net bilateral aid flows from DAC donors, Portugal",World Bank,DC.DAC.PRTL.CD,pending,unable_to_verify,non_comprehensive,One or more omitted countries could plausibly alter the meaningful top ranking.,ranking_completeness,rejected,"v16.2.2 catalog review: removed from the unresolved backlog because the concept is too technical, duplicative, narrow, weakly comparable, or insufficiently useful for GeoStats."
worldbank-catalog:dc-dac-svkl-cd,"Highest net bilateral aid flows from DAC donors, Slovak Republic",World Bank,DC.DAC.SVKL.CD,pending,unable_to_verify,non_comprehensive,One or more omitted countries could plausibly alter the meaningful top ranking.,ranking_completeness,rejected,"v16.2.2 catalog review: removed from the unresolved backlog because the concept is too technical, duplicative, narrow, weakly comparable, or insufficiently useful for GeoStats."
worldbank-catalog:dc-dac-svnl-cd,"Highest net bilateral aid flows from DAC donors, Slovenia",World Bank,DC.DAC.SVNL.CD,pending,unable_to_verify,non_comprehensive,One or more omitted countries could plausibly alter the meaningful top ranking.,ranking_completeness,rejected,"v16.2.2 catalog review: removed from the unresolved backlog because the concept is too technical, duplicative, narrow, weakly comparable, or insufficiently useful for GeoStats."
worldbank-catalog:dc-dac-swel-cd,"Highest net bilateral aid flows from DAC donors, Sweden",World Bank,DC.DAC.SWEL.CD,pending,verified,non_comprehensive,One or more omitted countries could plausibly alter the meaningful top ranking.,ranking_completeness,rejected,"v16.2.2 catalog review: removed from the unresolved backlog because the concept is too technical, duplicative, narrow, weakly comparable, or insufficiently useful for GeoStats."
worldbank-catalog:dc-dac-totl-cd,"Highest net bilateral aid flows from DAC donors, Total",World Bank,DC.DAC.TOTL.CD,pending,verified,non_comprehensive,One or more omitted countries could plausibly alter the meaningful top ranking.,ranking_completeness,rejected,"v16.2.2 catalog review: removed from the unresolved backlog because the concept is too technical, duplicative, narrow, weakly comparable, or insufficiently useful for GeoStats."
worldbank-catalog:dc-dac-usal-cd,"Highest net bilateral aid flows from DAC donors, United States",World Bank,DC.DAC.USAL.CD,pending,verified,non_comprehensive,One or more omitted countries could plausibly alter the meaningful top ranking.,ranking_completeness,rejected,"v16.2.2 catalog review: removed from the unresolved backlog because the concept is too technical, duplicative, narrow, weakly comparable, or insufficiently useful for GeoStats."
worldbank-catalog:dc-oda-tldc-cd,"Highest net ODA provided, to the least developed countries",World Bank,DC.ODA.TLDC.CD,pending,unable_to_verify,non_comprehensive,One or more omitted countries could plausibly alter the meaningful top ranking.,ranking_completeness,rejected,"v16.2.2 catalog review: removed from the unresolved backlog because the concept is too technical, duplicative, narrow, weakly comparable, or insufficiently useful for GeoStats."
worldbank-catalog:dc-oda-tldc-gn-zs,Highest net ODA provided to the least developed countries,World Bank,DC.ODA.TLDC.GN.ZS,pending,unable_to_verify,non_comprehensive,"Player-facing title, description, or unit needs a clearer rewrite.",copy_or_semantic_rewrite,rejected,"v16.2.2 catalog review: removed from the unresolved backlog because the concept is too technical, duplicative, narrow, weakly comparable, or insufficiently useful for GeoStats."
worldbank-catalog:dc-oda-totl-cd,"Highest net ODA provided, total",World Bank,DC.ODA.TOTL.CD,pending,unable_to_verify,non_comprehensive,One or more omitted countries could plausibly alter the meaningful top ranking.,ranking_completeness,rejected,"v16.2.2 catalog review: removed from the unresolved backlog because the concept is too technical, duplicative, narrow, weakly comparable, or insufficiently useful for GeoStats."
worldbank-catalog:dc-oda-totl-kd,"Highest net ODA provided, total",World Bank,DC.ODA.TOTL.KD,pending,failed,non_comprehensive,Official-source value and ranking audit has not completed.,source_audit_pending,rejected,"v16.2.2 catalog review: removed from the unresolved backlog because the concept is too technical, duplicative, narrow, weakly comparable, or insufficiently useful for GeoStats."
worldbank-catalog:dt-dod-dect-cd,"Highest external debt stocks, total",World Bank,DT.DOD.DECT.CD,pending,verified,non_comprehensive,One or more omitted countries could plausibly alter the meaningful top ranking.,ranking_completeness,rejected,"v16.2.2 catalog review: removed from the unresolved backlog because the concept is too technical, duplicative, narrow, weakly comparable, or insufficiently useful for GeoStats."
worldbank-catalog:dt-dod-dect-gn-zs,Highest external debt stocks,World Bank,DT.DOD.DECT.GN.ZS,pending,verified,non_comprehensive,Semantic audit identified a substantive data repair.,substantive_data_failure,rejected,"v16.2.2 catalog review: removed from the unresolved backlog because the concept is too technical, duplicative, narrow, weakly comparable, or insufficiently useful for GeoStats."
worldbank-catalog:dt-dod-dimf-cd,Highest use of IMF credit,World Bank,DT.DOD.DIMF.CD,pending,verified,non_comprehensive,One or more omitted countries could plausibly alter the meaningful top ranking.,ranking_completeness,rejected,"v16.2.2 catalog review: removed from the unresolved backlog because the concept is too technical, duplicative, narrow, weakly comparable, or insufficiently useful for GeoStats."
worldbank-catalog:dt-dod-dlxf-cd,"Highest external debt stocks, long-term",World Bank,DT.DOD.DLXF.CD,pending,verified,non_comprehensive,One or more omitted countries could plausibly alter the meaningful top ranking.,ranking_completeness,rejected,"v16.2.2 catalog review: removed from the unresolved backlog because the concept is too technical, duplicative, narrow, weakly comparable, or insufficiently useful for GeoStats."
worldbank-catalog:dt-dod-dpng-cd,"Highest external debt stocks, private nonguaranteed (PNG)",World Bank,DT.DOD.DPNG.CD,pending,unable_to_verify,non_comprehensive,One or more omitted countries could plausibly alter the meaningful top ranking.,ranking_completeness,rejected,"v16.2.2 catalog review: removed from the unresolved backlog because the concept is too technical, duplicative, narrow, weakly comparable, or insufficiently useful for GeoStats."
worldbank-catalog:dt-dod-dppg-cd,"Highest external debt stocks, public and publicly guaranteed (PPG)",World Bank,DT.DOD.DPPG.CD,pending,verified,non_comprehensive,One or more omitted countries could plausibly alter the meaningful top ranking.,ranking_completeness,rejected,"v16.2.2 catalog review: removed from the unresolved backlog because the concept is too technical, duplicative, narrow, weakly comparable, or insufficiently useful for GeoStats."
worldbank-catalog:dt-dod-dstc-cd,"Highest external debt stocks, short-term",World Bank,DT.DOD.DSTC.CD,pending,verified,non_comprehensive,One or more omitted countries could plausibly alter the meaningful top ranking.,ranking_completeness,rejected,"v16.2.2 catalog review: removed from the unresolved backlog because the concept is too technical, duplicative, narrow, weakly comparable, or insufficiently useful for GeoStats."
worldbank-catalog:dt-dod-dstc-ir-zs,Highest short-term debt,World Bank,DT.DOD.DSTC.IR.ZS,pending,verified,non_comprehensive,Semantic audit identified a substantive data repair.,substantive_data_failure,rejected,"v16.2.2 catalog review: removed from the unresolved backlog because the concept is too technical, duplicative, narrow, weakly comparable, or insufficiently useful for GeoStats."
worldbank-catalog:dt-dod-dstc-xp-zs,Highest short-term debt,World Bank,DT.DOD.DSTC.XP.ZS,pending,verified,non_comprehensive,Semantic audit identified a substantive data repair.,substantive_data_failure,rejected,"v16.2.2 catalog review: removed from the unresolved backlog because the concept is too technical, duplicative, narrow, weakly comparable, or insufficiently useful for GeoStats."
worldbank-catalog:dt-dod-mibr-cd,"Highest pPG, IBRD",World Bank,DT.DOD.MIBR.CD,pending,unable_to_verify,non_comprehensive,One or more omitted countries could plausibly alter the meaningful top ranking.,ranking_completeness,rejected,"v16.2.2 catalog review: removed from the unresolved backlog because the concept is too technical, duplicative, narrow, weakly comparable, or insufficiently useful for GeoStats."
worldbank-catalog:dt-dod-mida-cd,"Highest pPG, IDA",World Bank,DT.DOD.MIDA.CD,pending,verified,non_comprehensive,One or more omitted countries could plausibly alter the meaningful top ranking.,ranking_completeness,rejected,"v16.2.2 catalog review: removed from the unresolved backlog because the concept is too technical, duplicative, narrow, weakly comparable, or insufficiently useful for GeoStats."
worldbank-catalog:dt-dod-pvlx-ex-zs,Highest present value of external debt,World Bank,DT.DOD.PVLX.EX.ZS,pending,verified,non_comprehensive,Semantic audit identified a substantive data repair.,substantive_data_failure,rejected,"v16.2.2 catalog review: removed from the unresolved backlog because the concept is too technical, duplicative, narrow, weakly comparable, or insufficiently useful for GeoStats."
worldbank-catalog:dt-dod-pvlx-gn-zs,Highest present value of external debt,World Bank,DT.DOD.PVLX.GN.ZS,pending,verified,non_comprehensive,"Player-facing title, description, or unit needs a clearer rewrite.",copy_or_semantic_rewrite,rejected,"v16.2.2 catalog review: removed from the unresolved backlog because the concept is too technical, duplicative, narrow, weakly comparable, or insufficiently useful for GeoStats."
worldbank-catalog:dt-nfl-bond-cd,"Highest portfolio investment, bonds (PPG + PNG)",World Bank,DT.NFL.BOND.CD,pending,unable_to_verify,non_comprehensive,One or more omitted countries could plausibly alter the meaningful top ranking.,ranking_completeness,rejected,"v16.2.2 catalog review: removed from the unresolved backlog because the concept is too technical, duplicative, narrow, weakly comparable, or insufficiently useful for GeoStats."
worldbank-catalog:dt-nfl-cerf-cd,"Highest net official flows from UN agencies, CERF",World Bank,DT.NFL.CERF.CD,pending,unable_to_verify,non_comprehensive,One or more omitted countries could plausibly alter the meaningful top ranking.,ranking_completeness,rejected,"v16.2.2 catalog review: removed from the unresolved backlog because the concept is too technical, duplicative, narrow, weakly comparable, or insufficiently useful for GeoStats."
worldbank-catalog:dt-nfl-dpng-cd,"Highest net flows on external debt, private nonguaranteed (PNG)",World Bank,DT.NFL.DPNG.CD,pending,unable_to_verify,non_comprehensive,One or more omitted countries could plausibly alter the meaningful top ranking.,ranking_completeness,rejected,"v16.2.2 catalog review: removed from the unresolved backlog because the concept is too technical, duplicative, narrow, weakly comparable, or insufficiently useful for GeoStats."
worldbank-catalog:dt-nfl-faog-cd,"Highest net official flows from UN agencies, FAO",World Bank,DT.NFL.FAOG.CD,pending,verified,non_comprehensive,One or more omitted countries could plausibly alter the meaningful top ranking.,ranking_completeness,rejected,"v16.2.2 catalog review: removed from the unresolved backlog because the concept is too technical, duplicative, narrow, weakly comparable, or insufficiently useful for GeoStats."
worldbank-catalog:dt-nfl-iaea-cd,"Highest net official flows from UN agencies, IAEA",World Bank,DT.NFL.IAEA.CD,pending,verified,non_comprehensive,One or more omitted countries could plausibly alter the meaningful top ranking.,ranking_completeness,rejected,"v16.2.2 catalog review: removed from the unresolved backlog because the concept is too technical, duplicative, narrow, weakly comparable, or insufficiently useful for GeoStats."
worldbank-catalog:dt-nfl-ifad-cd,"Highest net official flows from UN agencies, IFAD",World Bank,DT.NFL.IFAD.CD,pending,unable_to_verify,non_comprehensive,One or more omitted countries could plausibly alter the meaningful top ranking.,ranking_completeness,rejected,"v16.2.2 catalog review: removed from the unresolved backlog because the concept is too technical, duplicative, narrow, weakly comparable, or insufficiently useful for GeoStats."
worldbank-catalog:dt-nfl-ilog-cd,"Highest net official flows from UN agencies, ILO",World Bank,DT.NFL.ILOG.CD,pending,verified,non_comprehensive,One or more omitted countries could plausibly alter the meaningful top ranking.,ranking_completeness,rejected,"v16.2.2 catalog review: removed from the unresolved backlog because the concept is too technical, duplicative, narrow, weakly comparable, or insufficiently useful for GeoStats."
worldbank-catalog:dt-nfl-imfc-cd,"Highest net financial flows, IMF concessional",World Bank,DT.NFL.IMFC.CD,pending,failed,non_comprehensive,Official-source value and ranking audit has not completed.,source_audit_pending,rejected,"v16.2.2 catalog review: removed from the unresolved backlog because the concept is too technical, duplicative, narrow, weakly comparable, or insufficiently useful for GeoStats."
worldbank-catalog:dt-nfl-imfn-cd,"Highest net financial flows, IMF nonconcessional",World Bank,DT.NFL.IMFN.CD,pending,verified,non_comprehensive,One or more omitted countries could plausibly alter the meaningful top ranking.,ranking_completeness,rejected,"v16.2.2 catalog review: removed from the unresolved backlog because the concept is too technical, duplicative, narrow, weakly comparable, or insufficiently useful for GeoStats."
worldbank-catalog:dt-nfl-mibr-cd,"Highest net financial flows, IBRD",World Bank,DT.NFL.MIBR.CD,pending,unable_to_verify,non_comprehensive,One or more omitted countries could plausibly alter the meaningful top ranking.,ranking_completeness,rejected,"v16.2.2 catalog review: removed from the unresolved backlog because the concept is too technical, duplicative, narrow, weakly comparable, or insufficiently useful for GeoStats."
