tracker_id,title,area,requirement,status,evidence
ui:world-rank,Results world-rank column,product,"Results ranking table shows Board Rank, Country, World Rank, Value, Reference and Points; compact mobile keeps Board, Country, World Rank and Value.",implemented,components/GeoSecondComingGame.tsx; app/globals.css
ui:mobile-rebalance,Mobile active-play space rebalance,product,Give country cards more of the phone viewport and remove category-card dead space while preserving strict no-scroll behavior.,implemented_with_existing_viewport_gate,app/v15-7-clean.css; phone viewport E2E
catalog:comparability-hard-gates,Deep cross-country comparability gates,catalog,"Block incompatible currencies/price bases, denominator identities, percent bases, magnitudes and other materially non-comparable units before play.",implemented,scripts/data_pipeline/integrity.py; supabase/migrations/047_v16_2_6_full_release.sql; scripts/test-source-integrity.py
catalog:new-source-retry-policy,No blind retry of rejected source path,catalog,Previously rejected/data-blocked concepts cannot become playable via the same source/indicator/method unless the blocker changed and explicit repair evidence is recorded.,implemented,scripts/recover-world-bank-catalog.py; category_v16_2_6_hard_block_reason(); v16_2_6_repair_evidence metadata
generator:country-diversity,Country exposure regression,generator,Preserve country diversity while improving category diversity; measure country reach/repeats across recent Dailies.,implemented_with_release_audit,daily_country_*_v16_2_6 views; Admin Daily diversity panel; seven-day country exposure remains in generator
governance:master-tracker,Master category/release ledger,governance,"Every existing annotation, correctness issue, expansion/repair candidate and non-category workstream has an explicit status/disposition; hard ideas are documented rather than dropped.",implemented,V16_2_6_MASTER_TRACKER.csv; V16_2_6_RELEASE_TRACKER.csv; scripts/finalize-v16-2-6-trackers.py
governance:source-provenance,"Source hierarchy, provenance and no-manual-fill policy",governance,Primary/administrative sources are preferred; source/method/retrieval metadata is retained; official bulk files are hashed where practical; unknown provenance fails closed.,implemented_with_source_gate,scripts/data_pipeline/base.py; governance.py; official_tabular.py; source_file_sha256 metadata; audit-source-integrity.py
catalog:expanded-source-universe,New administrative-source repair paths,catalog,Use genuinely different official sources for blocked high-value concepts instead of blindly retrying failed distributed indicators.,implemented_fail_closed,scripts/audit-v16-2-6-source-family-recovery.py; 392/392 post-FINAL source-family rows accounted across 26 families; 387 executable importer concepts + 5 explicit source-identity blockers; importer regression fixtures
admin:cleanup,Admin terminology and audit cleanup,product,Average %; Integrity-blocked; accurate title-token-overlap labeling; expose actual recent category/country utilization.,implemented,app/admin/AdminDashboard.tsx; daily_*_exposure_*_v16_2_6 views
release:single-activation,One giant release with internal gates,release,"Build/import/audit internally, preserve v16.2.5 rollback, and publish v16.2.6 only after validation/finalization gates rather than piecemeal production releases.",implemented_with_deployment_gate,.github/workflows/import-v16-2-6-expansion.yml; VERIFY_V16_2_6.sql; ROLLBACK_V16_2_6.sql; V16_2_6_INSTALLATION.md
catalog:legacy-rejection-guard,Reason-aware legacy rejection guard,catalog,Preserve and classify all 791 legacy rejections; block unresolved exact-title and reviewed semantic collisions at activation; do not treat generic historical rejection text as an automatic permanent veto.,implemented_full_791_reaudit,supabase/migrations/049_v16_2_6_legacy_rejection_guard.sql; supabase/migrations/050_v16_2_6_priority_150_legacy_reaudit.sql; supabase/migrations/051_v16_2_6_full_791_legacy_reaudit.sql; audits/v16-2-6-legacy-rejections/FULL_791_FIRST_PRINCIPLES_REAUDIT.csv; scripts/test-v16-2-6-legacy-rejections.py; VERIFY_V16_2_6.sql
