title,family,indicator,source,quality,year,coverage,official,modeled,credibility_score,trust_status,evidence_label,comparability_risk,corroboration_status,v13_5_action,trust_reason
Largest cattle population,Livestock,QCL:'02111:5111,FAOSTAT,93,2024,182,50%,50%,88,approved,Mixed observed and modeled,medium,internationally_reconciled,eligible after trust gate,"FAO-standardized agricultural statistics; country submissions are checked and documented, with estimates used for some gaps."
Largest cow's milk production,Livestock,QCL:'02211:5510,FAOSTAT,93,2024,176,52%,48%,88,approved,Mixed observed and modeled,medium,internationally_reconciled,eligible after trust gate,"FAO-standardized agricultural statistics; country submissions are checked and documented, with estimates used for some gaps."
Largest cereals production,Crops,QCL:'F1717:5510,FAOSTAT,93,2024,175,63%,37%,88,approved,Mixed observed and modeled,medium,internationally_reconciled,eligible after trust gate,"FAO-standardized agricultural statistics; country submissions are checked and documented, with estimates used for some gaps."
Largest sheep population,Livestock,QCL:'02122:5111,FAOSTAT,93,2024,171,48%,52%,88,approved,Mixed observed and modeled,medium,internationally_reconciled,eligible after trust gate,"FAO-standardized agricultural statistics; country submissions are checked and documented, with estimates used for some gaps."
Largest corn production,Crops,QCL:'0112:5510,FAOSTAT,93,2024,166,61%,39%,88,approved,Mixed observed and modeled,medium,internationally_reconciled,eligible after trust gate,"FAO-standardized agricultural statistics; country submissions are checked and documented, with estimates used for some gaps."
Largest tomatoes production,Vegetables,QCL:'01234:5510,FAOSTAT,93,2024,163,58%,42%,88,approved,Mixed observed and modeled,medium,internationally_reconciled,eligible after trust gate,"FAO-standardized agricultural statistics; country submissions are checked and documented, with estimates used for some gaps."
Highest tomatoes yield,Vegetables,QCL:'01234:5412,FAOSTAT,93,2024,159,50%,50%,88,approved,Mixed observed and modeled,medium,internationally_reconciled,eligible after trust gate,"FAO-standardized agricultural statistics; country submissions are checked and documented, with estimates used for some gaps."
Largest potatoes production,Crops,QCL:'01510:5510,FAOSTAT,93,2024,151,62%,38%,88,approved,Mixed observed and modeled,medium,internationally_reconciled,eligible after trust gate,"FAO-standardized agricultural statistics; country submissions are checked and documented, with estimates used for some gaps."
Largest cabbage production,Vegetables,QCL:'01212:5510,FAOSTAT,93,2024,143,60%,40%,88,approved,Mixed observed and modeled,medium,internationally_reconciled,eligible after trust gate,"FAO-standardized agricultural statistics; country submissions are checked and documented, with estimates used for some gaps."
Largest onions and shallots production,Vegetables,QCL:'01253.02:5510,FAOSTAT,93,2024,138,61%,39%,88,approved,Mixed observed and modeled,medium,internationally_reconciled,eligible after trust gate,"FAO-standardized agricultural statistics; country submissions are checked and documented, with estimates used for some gaps."
Largest cucumbers and gherkins production,Vegetables,QCL:'01232:5510,FAOSTAT,93,2024,131,63%,37%,88,approved,Mixed observed and modeled,medium,internationally_reconciled,eligible after trust gate,"FAO-standardized agricultural statistics; country submissions are checked and documented, with estimates used for some gaps."
Largest carrots and turnips production,Vegetables,QCL:'01251:5510,FAOSTAT,93,2024,128,63%,38%,88,approved,Mixed observed and modeled,medium,internationally_reconciled,eligible after trust gate,"FAO-standardized agricultural statistics; country submissions are checked and documented, with estimates used for some gaps."
Largest green chilies and peppers production,Vegetables,QCL:'01231:5510,FAOSTAT,93,2024,124,57%,43%,88,approved,Mixed observed and modeled,medium,internationally_reconciled,eligible after trust gate,"FAO-standardized agricultural statistics; country submissions are checked and documented, with estimates used for some gaps."
"Largest pumpkins, squash, and gourds production",Agriculture,QCL:'01235:5510,FAOSTAT,93,2024,122,56%,44%,88,approved,Mixed observed and modeled,medium,internationally_reconciled,eligible after trust gate,"FAO-standardized agricultural statistics; country submissions are checked and documented, with estimates used for some gaps."
"Highest pumpkins, squash, and gourds yield",Agriculture,QCL:'01235:5412,FAOSTAT,93,2024,120,49%,51%,88,approved,Mixed observed and modeled,medium,internationally_reconciled,eligible after trust gate,"FAO-standardized agricultural statistics; country submissions are checked and documented, with estimates used for some gaps."
Highest watermelons yield,Agriculture,QCL:'01221:5412,FAOSTAT,93,2024,118,52%,48%,88,approved,Mixed observed and modeled,medium,internationally_reconciled,eligible after trust gate,"FAO-standardized agricultural statistics; country submissions are checked and documented, with estimates used for some gaps."
Largest sorghum production,Agriculture,QCL:'0114:5510,FAOSTAT,93,2024,115,54%,46%,88,approved,Mixed observed and modeled,medium,internationally_reconciled,eligible after trust gate,"FAO-standardized agricultural statistics; country submissions are checked and documented, with estimates used for some gaps."
Highest bananas yield,Fruit,QCL:'01312:5412,FAOSTAT,93,2024,112,34%,66%,88,approved,Mixed observed and modeled,medium,internationally_reconciled,eligible after trust gate,"FAO-standardized agricultural statistics; country submissions are checked and documented, with estimates used for some gaps."
Highest oranges yield,Fruit,QCL:'01323:5412,FAOSTAT,93,2024,110,32%,68%,88,approved,Mixed observed and modeled,medium,internationally_reconciled,eligible after trust gate,"FAO-standardized agricultural statistics; country submissions are checked and documented, with estimates used for some gaps."
Highest peanuts yield,Agriculture,QCL:'0142:5412,FAOSTAT,93,2024,106,41%,59%,88,approved,Mixed observed and modeled,medium,internationally_reconciled,eligible after trust gate,"FAO-standardized agricultural statistics; country submissions are checked and documented, with estimates used for some gaps."
Largest lettuce and chicory production,Agriculture,QCL:'01214:5510,FAOSTAT,93,2024,103,59%,41%,88,approved,Mixed observed and modeled,medium,internationally_reconciled,eligible after trust gate,"FAO-standardized agricultural statistics; country submissions are checked and documented, with estimates used for some gaps."
Highest dry peas yield,Agriculture,QCL:'01705:5412,FAOSTAT,93,2024,95,54%,46%,88,approved,Mixed observed and modeled,medium,internationally_reconciled,eligible after trust gate,"FAO-standardized agricultural statistics; country submissions are checked and documented, with estimates used for some gaps."
Highest cauliflower and broccoli yield,Agriculture,QCL:'01213:5412,FAOSTAT,93,2024,93,60%,40%,88,approved,Mixed observed and modeled,medium,internationally_reconciled,eligible after trust gate,"FAO-standardized agricultural statistics; country submissions are checked and documented, with estimates used for some gaps."
Highest apples yield,Fruit,QCL:'01341:5412,FAOSTAT,93,2024,92,59%,41%,88,approved,Mixed observed and modeled,medium,internationally_reconciled,eligible after trust gate,"FAO-standardized agricultural statistics; country submissions are checked and documented, with estimates used for some gaps."
Highest CO₂ emissions per person,Environment,EN.GHG.CO2.PC.CE.AR5,World Bank,92,2024,186,—,—,86,approved,Internationally harmonized,medium,internationally_reconciled,eligible after trust gate,World Development Indicators compiled from recognized international sources with documented metadata.
Largest fruit production,Fruit,QCL:'F1738:5510,FAOSTAT,92,2024,185,45%,55%,88,approved,Mixed observed and modeled,medium,internationally_reconciled,eligible after trust gate,"FAO-standardized agricultural statistics; country submissions are checked and documented, with estimates used for some gaps."
Largest vegetables production,Vegetables,QCL:'F1735:5510,FAOSTAT,92,2024,185,47%,53%,88,approved,Mixed observed and modeled,medium,internationally_reconciled,eligible after trust gate,"FAO-standardized agricultural statistics; country submissions are checked and documented, with estimates used for some gaps."
Largest beef and buffalo meat production,Livestock,QCL:'F1806:5510,FAOSTAT,92,2024,182,48%,52%,88,approved,Mixed observed and modeled,medium,internationally_reconciled,eligible after trust gate,"FAO-standardized agricultural statistics; country submissions are checked and documented, with estimates used for some gaps."
Largest chicken meat production,Livestock,QCL:'21121:5510,FAOSTAT,92,2024,182,46%,54%,88,approved,Mixed observed and modeled,medium,internationally_reconciled,eligible after trust gate,"FAO-standardized agricultural statistics; country submissions are checked and documented, with estimates used for some gaps."
Largest sheep and goat meat production,Livestock,QCL:'F1807:5510,FAOSTAT,92,2024,178,42%,58%,88,approved,Mixed observed and modeled,medium,internationally_reconciled,eligible after trust gate,"FAO-standardized agricultural statistics; country submissions are checked and documented, with estimates used for some gaps."
Largest eggs production,Agriculture,QCL:'0231:5513,FAOSTAT,92,2024,176,44%,56%,88,approved,Mixed observed and modeled,medium,internationally_reconciled,eligible after trust gate,"FAO-standardized agricultural statistics; country submissions are checked and documented, with estimates used for some gaps."
Largest goat population,Livestock,QCL:'02123:5111,FAOSTAT,92,2024,175,46%,54%,88,approved,Mixed observed and modeled,medium,internationally_reconciled,eligible after trust gate,"FAO-standardized agricultural statistics; country submissions are checked and documented, with estimates used for some gaps."
"Largest pulses, total production",Agriculture,QCL:'F1726:5510,FAOSTAT,92,2024,168,45%,55%,88,approved,Mixed observed and modeled,medium,internationally_reconciled,eligible after trust gate,"FAO-standardized agricultural statistics; country submissions are checked and documented, with estimates used for some gaps."
Largest pig population,Livestock,QCL:'02140:5111,FAOSTAT,92,2024,164,50%,50%,88,approved,Mixed observed and modeled,medium,internationally_reconciled,eligible after trust gate,"FAO-standardized agricultural statistics; country submissions are checked and documented, with estimates used for some gaps."
Largest pork production,Livestock,QCL:'21113.01:5510,FAOSTAT,92,2024,163,48%,52%,88,approved,Mixed observed and modeled,medium,internationally_reconciled,eligible after trust gate,"FAO-standardized agricultural statistics; country submissions are checked and documented, with estimates used for some gaps."
Largest horse population,Livestock,QCL:'02131:5111,FAOSTAT,92,2024,137,31%,69%,88,approved,Mixed observed and modeled,medium,internationally_reconciled,eligible after trust gate,"FAO-standardized agricultural statistics; country submissions are checked and documented, with estimates used for some gaps."
Largest rice production,Crops,QCL:'0113:5510,FAOSTAT,92,2024,133,69%,31%,88,approved,Mixed observed and modeled,medium,internationally_reconciled,eligible after trust gate,"FAO-standardized agricultural statistics; country submissions are checked and documented, with estimates used for some gaps."
Largest watermelons production,Agriculture,QCL:'01221:5510,FAOSTAT,92,2024,130,61%,39%,88,approved,Mixed observed and modeled,medium,internationally_reconciled,eligible after trust gate,"FAO-standardized agricultural statistics; country submissions are checked and documented, with estimates used for some gaps."
Largest tree nuts production,Agriculture,QCL:'F1729:5510,FAOSTAT,92,2024,123,46%,54%,88,approved,Mixed observed and modeled,medium,internationally_reconciled,eligible after trust gate,"FAO-standardized agricultural statistics; country submissions are checked and documented, with estimates used for some gaps."
Largest goat milk production,Livestock,QCL:'02292:5510,FAOSTAT,92,2024,111,42%,58%,88,approved,Mixed observed and modeled,medium,internationally_reconciled,eligible after trust gate,"FAO-standardized agricultural statistics; country submissions are checked and documented, with estimates used for some gaps."
Largest peanuts production,Agriculture,QCL:'0142:5510,FAOSTAT,92,2024,107,45%,55%,88,approved,Mixed observed and modeled,medium,internationally_reconciled,eligible after trust gate,"FAO-standardized agricultural statistics; country submissions are checked and documented, with estimates used for some gaps."
Highest sorghum yield,Agriculture,QCL:'0114:5412,FAOSTAT,92,2024,106,47%,53%,88,approved,Mixed observed and modeled,medium,internationally_reconciled,eligible after trust gate,"FAO-standardized agricultural statistics; country submissions are checked and documented, with estimates used for some gaps."
Largest soybeans production,Crops,QCL:'0141:5510,FAOSTAT,92,2024,106,64%,36%,88,approved,Mixed observed and modeled,medium,internationally_reconciled,eligible after trust gate,"FAO-standardized agricultural statistics; country submissions are checked and documented, with estimates used for some gaps."
Highest sweet potatoes yield,Crops,QCL:'01530:5412,FAOSTAT,92,2024,105,34%,66%,88,approved,Mixed observed and modeled,medium,internationally_reconciled,eligible after trust gate,"FAO-standardized agricultural statistics; country submissions are checked and documented, with estimates used for some gaps."
Largest sweet potatoes production,Crops,QCL:'01530:5510,FAOSTAT,92,2024,105,41%,59%,88,approved,Mixed observed and modeled,medium,internationally_reconciled,eligible after trust gate,"FAO-standardized agricultural statistics; country submissions are checked and documented, with estimates used for some gaps."
Highest dry beans yield,Crops,QCL:'01701:5412,FAOSTAT,92,2024,104,39%,61%,88,approved,Mixed observed and modeled,medium,internationally_reconciled,eligible after trust gate,"FAO-standardized agricultural statistics; country submissions are checked and documented, with estimates used for some gaps."
Largest dry beans production,Crops,QCL:'01701:5510,FAOSTAT,92,2024,104,41%,59%,88,approved,Mixed observed and modeled,medium,internationally_reconciled,eligible after trust gate,"FAO-standardized agricultural statistics; country submissions are checked and documented, with estimates used for some gaps."
Largest melons production,Agriculture,QCL:'01229:5510,FAOSTAT,92,2024,103,62%,38%,88,approved,Mixed observed and modeled,medium,internationally_reconciled,eligible after trust gate,"FAO-standardized agricultural statistics; country submissions are checked and documented, with estimates used for some gaps."
Largest eggplants production,Agriculture,QCL:'01233:5510,FAOSTAT,92,2024,97,63%,37%,88,approved,Mixed observed and modeled,medium,internationally_reconciled,eligible after trust gate,"FAO-standardized agricultural statistics; country submissions are checked and documented, with estimates used for some gaps."
"Highest mangoes, guavas, and mangosteens yield",Fruit,QCL:'01316:5412,FAOSTAT,92,2024,96,31%,69%,88,approved,Mixed observed and modeled,medium,internationally_reconciled,eligible after trust gate,"FAO-standardized agricultural statistics; country submissions are checked and documented, with estimates used for some gaps."
Largest cauliflower and broccoli production,Agriculture,QCL:'01213:5510,FAOSTAT,92,2024,96,67%,33%,88,approved,Mixed observed and modeled,medium,internationally_reconciled,eligible after trust gate,"FAO-standardized agricultural statistics; country submissions are checked and documented, with estimates used for some gaps."
Largest dry peas production,Agriculture,QCL:'01705:5510,FAOSTAT,92,2024,96,56%,44%,88,approved,Mixed observed and modeled,medium,internationally_reconciled,eligible after trust gate,"FAO-standardized agricultural statistics; country submissions are checked and documented, with estimates used for some gaps."
Largest grapes production,Fruit,QCL:'01330:5510,FAOSTAT,92,2024,95,61%,39%,88,approved,Mixed observed and modeled,medium,internationally_reconciled,eligible after trust gate,"FAO-standardized agricultural statistics; country submissions are checked and documented, with estimates used for some gaps."
Highest grapes yield,Fruit,QCL:'01330:5412,FAOSTAT,92,2024,91,56%,44%,88,approved,Mixed observed and modeled,medium,internationally_reconciled,eligible after trust gate,"FAO-standardized agricultural statistics; country submissions are checked and documented, with estimates used for some gaps."
Highest melons yield,Agriculture,QCL:'01229:5412,FAOSTAT,92,2024,91,51%,49%,88,approved,Mixed observed and modeled,medium,internationally_reconciled,eligible after trust gate,"FAO-standardized agricultural statistics; country submissions are checked and documented, with estimates used for some gaps."
Highest fertility rate,Health,SP.DYN.TFRT.IN,World Bank,91,2024,194,—,—,86,approved,Internationally harmonized,medium,internationally_reconciled,eligible after trust gate,World Development Indicators compiled from recognized international sources with documented metadata.
Most scientific journal articles,Knowledge,IP.JRN.ARTC.SC,World Bank,91,2023,194,—,—,86,approved,Independent bibliometric,medium,independent,eligible after trust gate,"Independent Scopus/NSF bibliometric count based on author affiliations, not a number supplied by national governments. It measures article volume, not research quality."
Highest mobile subscriptions per 100 people,Technology,IT.CEL.SETS.P2,World Bank,91,2024,193,—,—,76,caution,Mixed observed and modeled,medium,internationally_reconciled,eligible after trust gate,ITU-standardized telecommunications administrative data; subscription definitions and national reporting practices can still differ.
Largest north-south span,Geography,largest-north-south-span,Natural Earth,91,2026,193,—,—,90,approved,Geospatially derived,low,independent,eligible after trust gate,Calculated consistently from one global geometry dataset rather than national claims.
Lowest infant mortality,Health,SP.DYN.IMRT.IN,World Bank,91,2024,193,—,—,86,approved,Internationally harmonized,medium,internationally_reconciled,eligible after trust gate,World Development Indicators compiled from recognized international sources with documented metadata.
Northernmost country,Geography,northernmost-country,Natural Earth,91,2026,193,—,—,90,approved,Geospatially derived,low,independent,eligible after trust gate,Calculated consistently from one global geometry dataset rather than national claims.
Southernmost country,Geography,southernmost-country,Natural Earth,91,2026,193,—,—,90,approved,Geospatially derived,low,independent,eligible after trust gate,Calculated consistently from one global geometry dataset rather than national claims.
Highest health spending share,Health,SH.XPD.CHEX.GD.ZS,World Bank,91,2024,192,—,—,86,approved,Internationally harmonized,medium,internationally_reconciled,eligible after trust gate,World Development Indicators compiled from recognized international sources with documented metadata.
Highest female labor participation,Labor,SL.TLF.CACT.FE.ZS,World Bank,91,2025,178,—,—,80,caution,Mixed observed and modeled,medium,internationally_reconciled,eligible after trust gate,"Labor-force surveys and ILO harmonization improve comparability, although survey definitions and modeled values remain relevant."
Largest chicken population,Livestock,QCL:'02151:5112,FAOSTAT,91,2024,171,36%,64%,88,approved,Mixed observed and modeled,medium,internationally_reconciled,eligible after trust gate,"FAO-standardized agricultural statistics; country submissions are checked and documented, with estimates used for some gaps."
Highest exports share of GDP,Economy,NE.EXP.GNFS.ZS,World Bank,91,2025,169,—,—,91,approved,Internationally harmonized,low,internationally_reconciled,eligible after trust gate,National accounts reconciled under international accounting standards and cross-checked across related aggregates.
Largest bananas production,Fruit,QCL:'01312:5510,FAOSTAT,91,2024,134,54%,46%,88,approved,Mixed observed and modeled,medium,internationally_reconciled,eligible after trust gate,"FAO-standardized agricultural statistics; country submissions are checked and documented, with estimates used for some gaps."
Largest oranges production,Fruit,QCL:'01323:5510,FAOSTAT,91,2024,130,48%,52%,88,approved,Mixed observed and modeled,medium,internationally_reconciled,eligible after trust gate,"FAO-standardized agricultural statistics; country submissions are checked and documented, with estimates used for some gaps."
Largest tobacco production,Agriculture,QCL:'01970:5510,FAOSTAT,91,2024,128,47%,53%,88,approved,Mixed observed and modeled,medium,internationally_reconciled,eligible after trust gate,"FAO-standardized agricultural statistics; country submissions are checked and documented, with estimates used for some gaps."
Largest lemons and limes production,Fruit,QCL:'01322:5510,FAOSTAT,91,2024,121,50%,50%,88,approved,Mixed observed and modeled,medium,internationally_reconciled,eligible after trust gate,"FAO-standardized agricultural statistics; country submissions are checked and documented, with estimates used for some gaps."
Largest honey production,Agriculture,QCL:'02910:5510,FAOSTAT,91,2024,115,43%,57%,88,approved,Mixed observed and modeled,medium,internationally_reconciled,eligible after trust gate,"FAO-standardized agricultural statistics; country submissions are checked and documented, with estimates used for some gaps."
"Largest mangoes, guavas, and mangosteens production",Fruit,QCL:'01316:5510,FAOSTAT,91,2024,96,39%,61%,88,approved,Mixed observed and modeled,medium,internationally_reconciled,eligible after trust gate,"FAO-standardized agricultural statistics; country submissions are checked and documented, with estimates used for some gaps."
Largest apples production,Fruit,QCL:'01341:5510,FAOSTAT,91,2024,93,67%,33%,88,approved,Mixed observed and modeled,medium,internationally_reconciled,eligible after trust gate,"FAO-standardized agricultural statistics; country submissions are checked and documented, with estimates used for some gaps."
