id,source_organization,source_indicator_code,title,final_decision,reason,quality_score,common_year,latest_available_year,common_year_coverage,country_coverage,official_observation_share,modeled_observation_share,clustering_score,stability_score
who:WSH_SANITATION_SAFELY_MANAGED,WHO,WSH_SANITATION_SAFELY_MANAGED,Highest safely managed sanitation access,calibrated_playable,"Safely managed sanitation access has broad, recent, harmonized coverage.",81,2024,2024,135.0,139.0,,,100.0,100.0
who:HWF_0006,WHO,HWF_0006,Highest nurse and midwife density,calibrated_playable,Nurse and midwife density has broad coverage and stable harmonized data.,78,2022,2024,140.0,192.0,,,100.0,99.0
who:HWF_0001,WHO,HWF_0001,Highest doctor density,excluded_after_final_review,"Excluded after final playability review: the broad common year is 2018, outside GeoStats' 2022-current data policy.",77,2018,2024,154.0,192.0,,,100.0,100.0
who:NCD_HYP_PREVALENCE_A,WHO,NCD_HYP_PREVALENCE_A,Lowest high-blood-pressure rate,excluded_after_final_review,"Excluded after final playability review: the broad common year is 2019, outside GeoStats' 2022-current data policy.",74,2019,2019,191.0,191.0,,0.9,100.0,100.0
who:MALARIA_EST_INCIDENCE,WHO,MALARIA_EST_INCIDENCE,Lowest malaria incidence,calibrated_playable,Malaria incidence is a transparent WHO model with sufficient recent coverage and stability.,71,2024,2024,105.0,108.0,0.0,1.0,73.0,100.0
who:RS_198,WHO,RS_198,Lowest road-traffic death rate,excluded_after_final_review,"Excluded after final playability review: the broad common year is 2021, outside GeoStats' 2022-current data policy.",70,2021,2021,192.0,192.0,0.0,1.0,100.0,65.0
who:MDG_0000000025,WHO,MDG_0000000025,Highest skilled birth-attendance rate,excluded_after_final_review,"Excluded after final playability review: the broad common year is 2019, outside GeoStats' 2022-current data policy.",65,2019,2024,106.0,181.0,1.0,0.0,93.0,97.0
who:WSH_HYGIENE_BASIC,WHO,WSH_HYGIENE_BASIC,Highest handwashing access,excluded_after_final_review,"Excluded after final playability review: the broad common year is 2019, outside GeoStats' 2022-current data policy.",63,2019,2024,111.0,118.0,,,100.0,100.0
who:WHS4_154,WHO,WHS4_154,Highest antenatal-care coverage,excluded_after_final_review,"Excluded after final playability review: the broad common year is 2019, outside GeoStats' 2022-current data policy.",56,2019,2024,61.0,152.0,1.0,0.0,100.0,98.0
leastForest,World Bank,AG.LND.FRST.ZS,Highest forest coverage,superseded_duplicate,"Retained concept family, but a stronger non-duplicate representative is already playable.",88,2023,2023,,,,,,
rain,World Bank,AG.LND.PRCP.MM,Highest average rainfall,calibrated_playable,Average rainfall is a broad physical-climate comparison; legacy World Bank rows lack clustering metadata but have strong coverage.,78,2022,2022,179.0,179.0,,,,
airFreight,World Bank,IS.AIR.GOOD.MT.K1,Most air freight,calibrated_playable,Air freight has adequate recent coverage; legacy World Bank rows lack clustering metadata.,78,2023,2023,140.0,140.0,,,,
