source_organization,source_indicator_code,previous_title,previous_decision,content_decision,player_title,plain_language_description,immediate_comprehension_score,gameplay_interest_score,uniqueness_score,reason,player_link_status,player_link_reason
World Bank,IT.MLT.MAIN.P2,Highest fixed telephone subscriptions per 100 people,approved,excluded,,,45,40,0,Removed as dated and low-interest for current gameplay.,not_applicable,Category is excluded by content review.
WHO,WHS4_117,Highest hepatitis B vaccination rate,approved,approved,Highest hepatitis B vaccination rate,,94,86,86,Approved after title-by-title comprehension and gameplay review; the measure is understandable without specialized statistical knowledge.,needs_exact_url,No verified human-readable deep link showing the exact filtered data is currently stored; category remains non-playable.
WHO,WHS8_110,Highest measles vaccination rate,approved,approved,Highest measles vaccination rate,,94,86,86,Approved after title-by-title comprehension and gameplay review; the measure is understandable without specialized statistical knowledge.,needs_exact_url,No verified human-readable deep link showing the exact filtered data is currently stored; category remains non-playable.
World Bank,SH.XPD.CHEX.PC.CD,Highest health spending per person,approved,approved,Highest health spending per person,,94,86,86,Approved after title-by-title comprehension and gameplay review; the measure is understandable without specialized statistical knowledge.,exact,Official World Bank indicator page shows the indicator’s country data and chart.
UNESCO UIS,ROFST.MOD.3,Lowest upper-secondary out-of-school rate,excluded,excluded,,,,,,Near-inverse of upper-secondary completion and too similar to other school-attainment categories.,not_applicable,Previously excluded from the catalog.
UNESCO UIS,ROFST.MOD.2,Lowest lower-secondary out-of-school rate,excluded,excluded,,,,,,Near-inverse of lower-secondary completion and too similar to other school-attainment categories.,not_applicable,Previously excluded from the catalog.
FAOSTAT,QCL:'F1738:5412,Highest Fruit Primary yield,excluded,excluded,,,,,,"Obscure, redundant, narrowly processed, or weaker than a retained measure.",not_applicable,Previously excluded from the catalog.
World Bank,NV.IND.TOTL.ZS,Highest industry share of GDP,approved,excluded,,,45,40,0,Too technical for immediate play: industry value added as a share of GDP is not intuitive enough.,not_applicable,Category is excluded by content review.
FAOSTAT,QCL:'F1720:5412,"Highest Roots and Tubers, Total yield",excluded,excluded,,,,,,"Obscure, redundant, narrowly processed, or weaker than a retained measure.",not_applicable,Previously excluded from the catalog.
FAOSTAT,QCL:'F1735:5412,Highest Vegetables Primary yield,excluded,excluded,,,,,,"Obscure, redundant, narrowly processed, or weaker than a retained measure.",not_applicable,Previously excluded from the catalog.
ILOSTAT,SDG_0821_NOC_RT_A,Fastest labor-productivity growth,approved,excluded,,,45,40,0,Too technical for immediate play: annual labor-productivity growth requires interpreting an economic productivity measure.,not_applicable,Category is excluded by content review.
ILOSTAT,EMP_2WAP_SEX_AGE_RT_A,Highest employment-to-population ratio,approved,excluded,,,45,40,0,Too technical and too close to unemployment and labor-force participation for ordinary play.,not_applicable,Category is excluded by content review.
ILOSTAT,SDG_1041_NOC_RT_A,Highest labor-income share of GDP,approved,excluded,,,45,40,0,Too technical for immediate play: labor-income share of GDP is not self-explanatory.,not_applicable,Category is excluded by content review.
ILOSTAT,GDP_205U_NOC_NB_A,Highest output per worker,approved,excluded,,,45,40,0,Too technical for immediate play: output per worker depends on a specialized productivity measure.,not_applicable,Category is excluded by content review.
ILOSTAT,UNE_2EAP_SEX_AGE_RT_A,Lowest unemployment rate,approved,approved,Lowest unemployment rate,,94,86,86,Approved after title-by-title comprehension and gameplay review; the measure is understandable without specialized statistical knowledge.,needs_exact_url,No verified human-readable deep link showing the exact filtered data is currently stored; category remains non-playable.
FAOSTAT,QCL:'02211:5417,Highest milk yield per cow,approved,approved,Highest milk yield per cow,,94,86,86,Approved after title-by-title comprehension and gameplay review; the measure is understandable without specialized statistical knowledge.,needs_exact_url,No verified human-readable deep link showing the exact filtered data is currently stored; category remains non-playable.
World Bank,NE.EXP.GNFS.CD,Largest exports,excluded,excluded,,,,,,Superseded by the broader-coverage merchandise-exports category.,not_applicable,Previously excluded from the catalog.
World Bank,NE.IMP.GNFS.CD,Largest imports,excluded,excluded,,,,,,Superseded by the broader-coverage merchandise-imports category.,not_applicable,Previously excluded from the catalog.
UNESCO UIS,CR.MOD.1,Highest primary-school completion rate,approved,approved,Highest primary-school completion rate,,94,86,86,Approved after title-by-title comprehension and gameplay review; the measure is understandable without specialized statistical knowledge.,needs_exact_url,"The UIS browser is readable, but the current importer does not provide a proven shareable page with this exact indicator selected."
UNESCO UIS,CR.MOD.2,Highest lower-secondary completion rate,excluded,excluded,,,,,,Middle-stage completion is redundant when primary and upper-secondary completion are retained.,not_applicable,Previously excluded from the catalog.
UNESCO UIS,CR.MOD.3,Highest upper-secondary completion rate,approved,approved,Highest upper-secondary completion rate,,94,86,86,Approved after title-by-title comprehension and gameplay review; the measure is understandable without specialized statistical knowledge.,needs_exact_url,"The UIS browser is readable, but the current importer does not provide a proven shareable page with this exact indicator selected."
UNHCR,population:coa:asylum_seekers,Most asylum seekers hosted,excluded,excluded,,,,,,Stock measure is too similar to refugees hosted and asylum applications received.,not_applicable,Previously excluded from the catalog.
FAOSTAT,QCL:'0112:5412,Highest corn yield,approved,approved,Highest corn yield,,94,86,86,Approved after title-by-title comprehension and gameplay review; the measure is understandable without specialized statistical knowledge.,needs_exact_url,No verified human-readable deep link showing the exact filtered data is currently stored; category remains non-playable.
FAOSTAT,QCL:'01510:5412,Highest potatoes yield,approved,approved,Highest potatoes yield,,94,86,86,Approved after title-by-title comprehension and gameplay review; the measure is understandable without specialized statistical knowledge.,needs_exact_url,No verified human-readable deep link showing the exact filtered data is currently stored; category remains non-playable.
FAOSTAT,QCL:'01253.02:5412,Highest onions and shallots yield,approved,approved,Highest onions and shallots yield,,94,86,86,Approved after title-by-title comprehension and gameplay review; the measure is understandable without specialized statistical knowledge.,needs_exact_url,No verified human-readable deep link showing the exact filtered data is currently stored; category remains non-playable.
FAOSTAT,QCL:'F1723:5412,Highest Sugar Crops Primary yield,excluded,excluded,,,,,,"Obscure, redundant, narrowly processed, or weaker than a retained measure.",not_applicable,Previously excluded from the catalog.
FAOSTAT,QCL:'01232:5412,Highest cucumbers and gherkins yield,approved,approved,Highest cucumbers and gherkins yield,,94,86,86,Approved after title-by-title comprehension and gameplay review; the measure is understandable without specialized statistical knowledge.,needs_exact_url,No verified human-readable deep link showing the exact filtered data is currently stored; category remains non-playable.
FAOSTAT,QCL:'01231:5412,Highest green chilies and peppers yield,approved,approved,Highest green chilies and peppers yield,,94,86,86,Approved after title-by-title comprehension and gameplay review; the measure is understandable without specialized statistical knowledge.,needs_exact_url,No verified human-readable deep link showing the exact filtered data is currently stored; category remains non-playable.
FAOSTAT,QCL:'0111:5312,Largest Wheat harvested area,excluded,excluded,,,,,,Harvested-area variant removed in favor of production or yield.,not_applicable,Previously excluded from the catalog.
FAOSTAT,QCL:'0111:5510,Largest wheat production,approved,approved,Largest wheat production,,94,86,86,Approved after title-by-title comprehension and gameplay review; the measure is understandable without specialized statistical knowledge.,needs_exact_url,No verified human-readable deep link showing the exact filtered data is currently stored; category remains non-playable.
FAOSTAT,QCL:'0113:5412,Highest rice yield,approved,approved,Highest rice yield,,94,86,86,Approved after title-by-title comprehension and gameplay review; the measure is understandable without specialized statistical knowledge.,needs_exact_url,No verified human-readable deep link showing the exact filtered data is currently stored; category remains non-playable.
FAOSTAT,QCL:'0115:5312,Largest Barley harvested area,excluded,excluded,,,,,,Harvested-area variant removed in favor of production or yield.,not_applicable,Previously excluded from the catalog.
FAOSTAT,QCL:'01252:5412,Highest Green garlic yield,excluded,excluded,,,,,,"Obscure, redundant, narrowly processed, or weaker than a retained measure.",not_applicable,Previously excluded from the catalog.
FAOSTAT,QCL:'01322:5412,Highest lemons and limes yield,approved,approved,Highest lemons and limes yield,,94,86,86,Approved after title-by-title comprehension and gameplay review; the measure is understandable without specialized statistical knowledge.,needs_exact_url,No verified human-readable deep link showing the exact filtered data is currently stored; category remains non-playable.
FAOSTAT,QCL:'01214:5412,Highest lettuce and chicory yield,approved,approved,Highest lettuce and chicory yield,,94,86,86,Approved after title-by-title comprehension and gameplay review; the measure is understandable without specialized statistical knowledge.,needs_exact_url,No verified human-readable deep link showing the exact filtered data is currently stored; category remains non-playable.
FAOSTAT,QCL:'01241.90:5412,"Highest Other beans, green yield",excluded,excluded,,,,,,"Obscure, redundant, narrowly processed, or weaker than a retained measure.",not_applicable,Previously excluded from the catalog.
FAOSTAT,QCL:'0141:5412,Highest soybeans yield,approved,approved,Highest soybeans yield,,94,86,86,Approved after title-by-title comprehension and gameplay review; the measure is understandable without specialized statistical knowledge.,needs_exact_url,No verified human-readable deep link showing the exact filtered data is currently stored; category remains non-playable.
World Bank,IT.NET.BBND.P2,Highest fixed broadband subscriptions per 100 people,approved,approved,Highest fixed broadband subscriptions per 100 people,,91,86,86,Approved after title-by-title comprehension and gameplay review; the measure is understandable without specialized statistical knowledge.,exact,Official World Bank indicator page shows the indicator’s country data and chart.
FAOSTAT,QCL:'F1720:5510,Largest roots and tubers production,approved,approved,Largest roots and tubers production,,94,86,86,Approved after title-by-title comprehension and gameplay review; the measure is understandable without specialized statistical knowledge.,needs_exact_url,No verified human-readable deep link showing the exact filtered data is currently stored; category remains non-playable.
FAOSTAT,QCL:'F1806:5417,"Highest Beef and Buffalo Meat, primary yield",excluded,excluded,,,,,,"Obscure, redundant, narrowly processed, or weaker than a retained measure.",not_applicable,Previously excluded from the catalog.
FAOSTAT,QCL:'02111:5111,Largest cattle population,approved,approved,Largest cattle population,,94,86,86,Approved after title-by-title comprehension and gameplay review; the measure is understandable without specialized statistical knowledge.,needs_exact_url,No verified human-readable deep link showing the exact filtered data is currently stored; category remains non-playable.
FAOSTAT,QCL:'21111.01:5417,"Highest Meat of cattle with the bone, fresh or chilled yield",excluded,excluded,,,,,,"Obscure, redundant, narrowly processed, or weaker than a retained measure.",not_applicable,Previously excluded from the catalog.
FAOSTAT,QCL:'21121:5424,"Highest Meat of chickens, fresh or chilled yield",excluded,excluded,,,,,,"Obscure, redundant, narrowly processed, or weaker than a retained measure.",not_applicable,Previously excluded from the catalog.
FAOSTAT,QCL:'F1808:5424,"Highest Meat, Poultry yield",excluded,excluded,,,,,,"Obscure, redundant, narrowly processed, or weaker than a retained measure.",not_applicable,Previously excluded from the catalog.
FAOSTAT,QCL:'F1780:5417,"Highest Milk, Total yield",excluded,excluded,,,,,,"Obscure, redundant, narrowly processed, or weaker than a retained measure.",not_applicable,Previously excluded from the catalog.
FAOSTAT,QCL:'02211:5510,Largest cow's milk production,approved,approved,Largest cow's milk production,,94,86,86,Approved after title-by-title comprehension and gameplay review; the measure is understandable without specialized statistical knowledge.,needs_exact_url,No verified human-readable deep link showing the exact filtered data is currently stored; category remains non-playable.
FAOSTAT,QCL:'F1717:5312,"Largest Cereals, primary harvested area",excluded,excluded,,,,,,Harvested-area variant removed in favor of production or yield.,not_applicable,Previously excluded from the catalog.
FAOSTAT,QCL:'F1717:5510,Largest cereals production,approved,approved,Largest cereals production,,94,86,86,Approved after title-by-title comprehension and gameplay review; the measure is understandable without specialized statistical knowledge.,needs_exact_url,No verified human-readable deep link showing the exact filtered data is currently stored; category remains non-playable.
FAOSTAT,QCL:'F1717:5412,"Highest Cereals, primary yield",excluded,excluded,,,,,,"Obscure, redundant, narrowly processed, or weaker than a retained measure.",not_applicable,Previously excluded from the catalog.
FAOSTAT,QCL:'02122:5111,Largest sheep population,approved,approved,Largest sheep population,,94,86,86,Approved after title-by-title comprehension and gameplay review; the measure is understandable without specialized statistical knowledge.,needs_exact_url,No verified human-readable deep link showing the exact filtered data is currently stored; category remains non-playable.
FAOSTAT,QCL:'01290.90:5412,"Highest Other vegetables, fresh n.e.c. yield",excluded,excluded,,,,,,Obscure or technical commodity definition removed.,not_applicable,Previously excluded from the catalog.
FAOSTAT,QCL:'0112:5510,Largest corn production,approved,approved,Largest corn production,,94,86,86,Approved after title-by-title comprehension and gameplay review; the measure is understandable without specialized statistical knowledge.,needs_exact_url,No verified human-readable deep link showing the exact filtered data is currently stored; category remains non-playable.
World Bank,NE.CON.GOVT.CD,Highest government consumption,excluded,excluded,,,,,,Absolute consumption mostly repeats economy size and is weak for gameplay.,not_applicable,Previously excluded from the catalog.
World Bank,NE.CON.PRVT.CD,Highest household consumption,excluded,excluded,,,,,,Absolute consumption mostly repeats economy size and is weak for gameplay.,not_applicable,Previously excluded from the catalog.
FAOSTAT,QCL:'01234:5510,Largest tomatoes production,approved,approved,Largest tomatoes production,,94,86,86,Approved after title-by-title comprehension and gameplay review; the measure is understandable without specialized statistical knowledge.,needs_exact_url,No verified human-readable deep link showing the exact filtered data is currently stored; category remains non-playable.
FAOSTAT,QCL:'01234:5412,Highest tomatoes yield,approved,approved,Highest tomatoes yield,,94,86,86,Approved after title-by-title comprehension and gameplay review; the measure is understandable without specialized statistical knowledge.,needs_exact_url,No verified human-readable deep link showing the exact filtered data is currently stored; category remains non-playable.
FAOSTAT,QCL:'01510:5312,Largest Potatoes harvested area,excluded,excluded,,,,,,Harvested-area variant removed in favor of production or yield.,not_applicable,Previously excluded from the catalog.
FAOSTAT,QCL:'01510:5510,Largest potatoes production,approved,approved,Largest potatoes production,,94,86,86,Approved after title-by-title comprehension and gameplay review; the measure is understandable without specialized statistical knowledge.,needs_exact_url,No verified human-readable deep link showing the exact filtered data is currently stored; category remains non-playable.
FAOSTAT,QCL:'01212:5510,Largest cabbage production,approved,approved,Largest cabbage production,,94,91,86,Approved after title-by-title comprehension and gameplay review; the measure is understandable without specialized statistical knowledge.,needs_exact_url,No verified human-readable deep link showing the exact filtered data is currently stored; category remains non-playable.
FAOSTAT,QCL:'01253.02:5312,"Largest Onions and shallots, dry (excluding dehydrated) harvested area",excluded,excluded,,,,,,Harvested-area variant removed in favor of production or yield.,not_applicable,Previously excluded from the catalog.
FAOSTAT,QCL:'01253.02:5510,Largest onions and shallots production,approved,approved,Largest onions and shallots production,,94,86,86,Approved after title-by-title comprehension and gameplay review; the measure is understandable without specialized statistical knowledge.,needs_exact_url,No verified human-readable deep link showing the exact filtered data is currently stored; category remains non-playable.
FAOSTAT,QCL:'01232:5510,Largest cucumbers and gherkins production,approved,approved,Largest cucumbers and gherkins production,,94,86,86,Approved after title-by-title comprehension and gameplay review; the measure is understandable without specialized statistical knowledge.,needs_exact_url,No verified human-readable deep link showing the exact filtered data is currently stored; category remains non-playable.
FAOSTAT,QCL:'01232:5312,Largest Cucumbers and gherkins harvested area,excluded,excluded,,,,,,Harvested-area variant removed in favor of production or yield.,not_applicable,Previously excluded from the catalog.
FAOSTAT,QCL:'F1804:5412,"Highest Citrus Fruit, Total yield",excluded,excluded,,,,,,"Obscure, redundant, narrowly processed, or weaker than a retained measure.",not_applicable,Previously excluded from the catalog.
FAOSTAT,QCL:'01251:5510,Largest carrots and turnips production,approved,approved,Largest carrots and turnips production,,94,86,86,Approved after title-by-title comprehension and gameplay review; the measure is understandable without specialized statistical knowledge.,needs_exact_url,No verified human-readable deep link showing the exact filtered data is currently stored; category remains non-playable.
FAOSTAT,QCL:'01231:5510,Largest green chilies and peppers production,approved,approved,Largest green chilies and peppers production,,94,86,86,Approved after title-by-title comprehension and gameplay review; the measure is understandable without specialized statistical knowledge.,needs_exact_url,No verified human-readable deep link showing the exact filtered data is currently stored; category remains non-playable.
FAOSTAT,QCL:'F1729:5312,"Largest Treenuts, Total harvested area",excluded,excluded,,,,,,Harvested-area variant removed in favor of production or yield.,not_applicable,Previously excluded from the catalog.
FAOSTAT,QCL:'01235:5510,"Largest pumpkins, squash, and gourds production",approved,approved,"Largest pumpkins, squash, and gourds production",,94,86,86,Approved after title-by-title comprehension and gameplay review; the measure is understandable without specialized statistical knowledge.,needs_exact_url,No verified human-readable deep link showing the exact filtered data is currently stored; category remains non-playable.
FAOSTAT,QCL:'01235:5312,"Largest Pumpkins, squash and gourds harvested area",excluded,excluded,,,,,,Harvested-area variant removed in favor of production or yield.,not_applicable,Previously excluded from the catalog.
FAOSTAT,QCL:'01235:5412,"Highest pumpkins, squash, and gourds yield",approved,approved,"Highest pumpkins, squash, and gourds yield",,94,86,86,Approved after title-by-title comprehension and gameplay review; the measure is understandable without specialized statistical knowledge.,needs_exact_url,No verified human-readable deep link showing the exact filtered data is currently stored; category remains non-playable.
FAOSTAT,QCL:'01221:5412,Highest watermelons yield,approved,approved,Highest watermelons yield,,94,91,86,Approved after title-by-title comprehension and gameplay review; the measure is understandable without specialized statistical knowledge.,needs_exact_url,No verified human-readable deep link showing the exact filtered data is currently stored; category remains non-playable.
FAOSTAT,QCL:'F1729:5412,"Highest Treenuts, Total yield",excluded,excluded,,,,,,"Obscure, redundant, narrowly processed, or weaker than a retained measure.",not_applicable,Previously excluded from the catalog.
FAOSTAT,QCL:'0114:5510,Largest sorghum production,approved,approved,Largest sorghum production,,94,86,86,Approved after title-by-title comprehension and gameplay review; the measure is understandable without specialized statistical knowledge.,needs_exact_url,No verified human-readable deep link showing the exact filtered data is currently stored; category remains non-playable.
FAOSTAT,QCL:'01312:5412,Highest bananas yield,approved,approved,Highest bananas yield,,94,91,86,Approved after title-by-title comprehension and gameplay review; the measure is understandable without specialized statistical knowledge.,needs_exact_url,No verified human-readable deep link showing the exact filtered data is currently stored; category remains non-playable.
FAOSTAT,QCL:'01323:5412,Highest oranges yield,approved,approved,Highest oranges yield,,94,86,86,Approved after title-by-title comprehension and gameplay review; the measure is understandable without specialized statistical knowledge.,needs_exact_url,No verified human-readable deep link showing the exact filtered data is currently stored; category remains non-playable.
FAOSTAT,QCL:'01709.90:5312,Largest Other pulses n.e.c. harvested area,excluded,excluded,,,,,,Harvested-area variant removed in favor of production or yield.,not_applicable,Previously excluded from the catalog.
FAOSTAT,QCL:'0142:5412,Highest peanuts yield,approved,approved,Highest peanuts yield,,94,86,86,Approved after title-by-title comprehension and gameplay review; the measure is understandable without specialized statistical knowledge.,needs_exact_url,No verified human-readable deep link showing the exact filtered data is currently stored; category remains non-playable.
FAOSTAT,QCL:'01252:5510,Largest Green garlic production,excluded,excluded,,,,,,"Obscure, redundant, narrowly processed, or weaker than a retained measure.",not_applicable,Previously excluded from the catalog.
FAOSTAT,QCL:'01214:5510,Largest lettuce and chicory production,approved,approved,Largest lettuce and chicory production,,94,86,86,Approved after title-by-title comprehension and gameplay review; the measure is understandable without specialized statistical knowledge.,needs_exact_url,No verified human-readable deep link showing the exact filtered data is currently stored; category remains non-playable.
FAOSTAT,QCL:'02292:5417,Highest Raw milk of goats yield,excluded,excluded,,,,,,"Obscure, redundant, narrowly processed, or weaker than a retained measure.",not_applicable,Previously excluded from the catalog.
FAOSTAT,QCL:'01252:5312,Largest Green garlic harvested area,excluded,excluded,,,,,,Harvested-area variant removed in favor of production or yield.,not_applicable,Previously excluded from the catalog.
FAOSTAT,QCL:'01705:5312,"Largest Peas, dry harvested area",excluded,excluded,,,,,,Harvested-area variant removed in favor of production or yield.,not_applicable,Previously excluded from the catalog.
FAOSTAT,QCL:'01705:5412,Highest dry peas yield,approved,approved,Highest dry peas yield,,94,86,86,Approved after title-by-title comprehension and gameplay review; the measure is understandable without specialized statistical knowledge.,needs_exact_url,No verified human-readable deep link showing the exact filtered data is currently stored; category remains non-playable.
FAOSTAT,QCL:'01213:5412,Highest cauliflower and broccoli yield,approved,approved,Highest cauliflower and broccoli yield,,94,86,86,Approved after title-by-title comprehension and gameplay review; the measure is understandable without specialized statistical knowledge.,needs_exact_url,No verified human-readable deep link showing the exact filtered data is currently stored; category remains non-playable.
FAOSTAT,QCL:'01341:5412,Highest apples yield,approved,approved,Highest apples yield,,94,86,86,Approved after title-by-title comprehension and gameplay review; the measure is understandable without specialized statistical knowledge.,needs_exact_url,No verified human-readable deep link showing the exact filtered data is currently stored; category remains non-playable.
World Bank,NV.SRV.TOTL.ZS,Highest services share of GDP,excluded,excluded,,,,,,Complementary near-duplicate of industry share of GDP.,not_applicable,Previously excluded from the catalog.
FAOSTAT,QCL:'F1738:5312,Largest Fruit Primary harvested area,excluded,excluded,,,,,,Harvested-area variant removed in favor of production or yield.,not_applicable,Previously excluded from the catalog.
FAOSTAT,QCL:'F1738:5510,Largest fruit production,approved,approved,Largest fruit production,,94,86,86,Approved after title-by-title comprehension and gameplay review; the measure is understandable without specialized statistical knowledge.,needs_exact_url,No verified human-readable deep link showing the exact filtered data is currently stored; category remains non-playable.
FAOSTAT,QCL:'F1765:5510,"Largest Meat, Total production",excluded,excluded,,,,,,"Obscure, redundant, narrowly processed, or weaker than a retained measure.",not_applicable,Previously excluded from the catalog.
FAOSTAT,QCL:'F1735:5510,Largest vegetables production,approved,approved,Largest vegetables production,,94,86,86,Approved after title-by-title comprehension and gameplay review; the measure is understandable without specialized statistical knowledge.,needs_exact_url,No verified human-readable deep link showing the exact filtered data is currently stored; category remains non-playable.
FAOSTAT,QCL:'F1720:5312,"Largest Roots and Tubers, Total harvested area",excluded,excluded,,,,,,Harvested-area variant removed in favor of production or yield.,not_applicable,Previously excluded from the catalog.
FAOSTAT,QCL:'F1735:5312,Largest Vegetables Primary harvested area,excluded,excluded,,,,,,Harvested-area variant removed in favor of production or yield.,not_applicable,Previously excluded from the catalog.
FAOSTAT,QCL:'F1806:5510,Largest beef and buffalo meat production,approved,approved,Largest beef and buffalo meat production,,94,86,86,Approved after title-by-title comprehension and gameplay review; the measure is understandable without specialized statistical knowledge.,needs_exact_url,No verified human-readable deep link showing the exact filtered data is currently stored; category remains non-playable.
FAOSTAT,QCL:'F1746:5111,Largest Cattle and Buffaloes stocks,excluded,excluded,,,,,,"Obscure, redundant, narrowly processed, or weaker than a retained measure.",not_applicable,Previously excluded from the catalog.
FAOSTAT,QCL:'21121:5510,Largest chicken meat production,approved,approved,Largest chicken meat production,,94,86,86,Approved after title-by-title comprehension and gameplay review; the measure is understandable without specialized statistical knowledge.,needs_exact_url,No verified human-readable deep link showing the exact filtered data is currently stored; category remains non-playable.
FAOSTAT,QCL:'F1808:5510,"Largest Meat, Poultry production",excluded,excluded,,,,,,"Obscure, redundant, narrowly processed, or weaker than a retained measure.",not_applicable,Previously excluded from the catalog.
