tracker_id,scope_type,category_title,domain,experience_bucket,semantic_family,source_candidate,source_indicator,common_year,country_coverage,integrity,user_note,requested_action,research_status,implementation_status,final_disposition,blocker_or_reason,source_url,validation_requirements,generation_priority_candidate
existing:FBS:onions,existing_playable,Highest estimated onion consumption per person,Food consumption,,,FAOSTAT Food Balances,FBS:onions,2023,166,verified,,retain_and_audit,existing_validated,pending_v16_2_6_reconciliation,,,https://www.fao.org/faostat/en/#data/FBS,"Revalidate provenance, semantics, measurement metadata, player copy, family/domain, and generator priority.",
existing:FBS:pork,existing_playable,Highest estimated pork consumption per person,Food consumption,,,FAOSTAT Food Balances,FBS:pork,2023,170,verified,,retain_and_audit,existing_validated,pending_v16_2_6_reconciliation,,,https://www.fao.org/faostat/en/#data/FBS,"Revalidate provenance, semantics, measurement metadata, player copy, family/domain, and generator priority.",
existing:FBS:potatoes,existing_playable,Highest estimated potato consumption per person,Food consumption,,,FAOSTAT Food Balances,FBS:potatoes,2023,171,verified,,retain_and_audit,existing_validated,pending_v16_2_6_reconciliation,,,https://www.fao.org/faostat/en/#data/FBS,"Revalidate provenance, semantics, measurement metadata, player copy, family/domain, and generator priority.",
existing:FBS:poultry,existing_playable,Highest estimated poultry consumption per person,Food consumption,,,FAOSTAT Food Balances,FBS:poultry,2023,171,verified,,retain_and_audit,existing_validated,pending_v16_2_6_reconciliation,,,https://www.fao.org/faostat/en/#data/FBS,"Revalidate provenance, semantics, measurement metadata, player copy, family/domain, and generator priority.",
existing:FBS:protein,existing_playable,Highest estimated protein intake per person,Food consumption,,,FAOSTAT Food Balances,FBS:protein,2023,171,verified,,retain_and_audit,existing_validated,pending_v16_2_6_reconciliation,,,https://www.fao.org/faostat/en/#data/FBS,"Revalidate provenance, semantics, measurement metadata, player copy, family/domain, and generator priority.",
existing:FBS:pulses,existing_playable,Highest estimated pulse consumption per person,Food consumption,,,FAOSTAT Food Balances,FBS:pulses,2023,171,verified,,retain_and_audit,existing_validated,pending_v16_2_6_reconciliation,,,https://www.fao.org/faostat/en/#data/FBS,"Revalidate provenance, semantics, measurement metadata, player copy, family/domain, and generator priority.",
existing:FBS:rice,existing_playable,Highest estimated rice consumption per person,Food consumption,,,FAOSTAT Food Balances,FBS:rice,2023,171,verified,,retain_and_audit,existing_validated,pending_v16_2_6_reconciliation,,,https://www.fao.org/faostat/en/#data/FBS,"Revalidate provenance, semantics, measurement metadata, player copy, family/domain, and generator priority.",
existing:FBS:sugar,existing_playable,Highest estimated sugar consumption per person,Food consumption,,,FAOSTAT Food Balances,FBS:sugar,2023,171,verified,,retain_and_audit,existing_validated,pending_v16_2_6_reconciliation,,,https://www.fao.org/faostat/en/#data/FBS,"Revalidate provenance, semantics, measurement metadata, player copy, family/domain, and generator priority.",
existing:FBS:tea,existing_playable,Highest estimated tea consumption per person,Food consumption,,,FAOSTAT Food Balances,FBS:tea,2023,170,verified,,retain_and_audit,existing_validated,pending_v16_2_6_reconciliation,,,https://www.fao.org/faostat/en/#data/FBS,"Revalidate provenance, semantics, measurement metadata, player copy, family/domain, and generator priority.",
existing:FBS:tomatoes,existing_playable,Highest estimated tomato consumption per person,Food consumption,,,FAOSTAT Food Balances,FBS:tomatoes,2023,171,verified,,retain_and_audit,existing_validated,pending_v16_2_6_reconciliation,,,https://www.fao.org/faostat/en/#data/FBS,"Revalidate provenance, semantics, measurement metadata, player copy, family/domain, and generator priority.",
existing:FBS:vegetables,existing_playable,Highest estimated vegetable consumption per person,Food consumption,,,FAOSTAT Food Balances,FBS:vegetables,2023,171,verified,,retain_and_audit,existing_validated,pending_v16_2_6_reconciliation,,,https://www.fao.org/faostat/en/#data/FBS,"Revalidate provenance, semantics, measurement metadata, player copy, family/domain, and generator priority.",
existing:FBS:vegetable-oil,existing_playable,Highest estimated vegetable oil consumption per person,Food consumption,,,FAOSTAT Food Balances,FBS:vegetable-oil,2023,171,verified,,retain_and_audit,existing_validated,pending_v16_2_6_reconciliation,,,https://www.fao.org/faostat/en/#data/FBS,"Revalidate provenance, semantics, measurement metadata, player copy, family/domain, and generator priority.",
existing:FBS:wheat-products,existing_playable,Highest estimated wheat consumption per person,Food consumption,,,FAOSTAT Food Balances,FBS:wheat-products,2023,171,verified,,retain_and_audit,existing_validated,pending_v16_2_6_reconciliation,,,https://www.fao.org/faostat/en/#data/FBS,"Revalidate provenance, semantics, measurement metadata, player copy, family/domain, and generator priority.",
existing:FBS:wine,existing_playable,Highest estimated wine consumption per person,Food consumption,,,FAOSTAT Food Balances,FBS:wine,2023,171,verified,,retain_and_audit,existing_validated,pending_v16_2_6_reconciliation,,,https://www.fao.org/faostat/en/#data/FBS,"Revalidate provenance, semantics, measurement metadata, player copy, family/domain, and generator priority.",
existing:EN.GHG.FGAS.IP.MT.CE.AR5,existing_playable,Highest f-gases emissions from Industrial Processes,Environment,,,World Bank,EN.GHG.FGAS.IP.MT.CE.AR5,2024,153,verified,Remove,remove,existing_validated,pending_v16_2_6_reconciliation,,,https://data.worldbank.org/indicator/EN.GHG.FGAS.IP.MT.CE.AR5,"Revalidate provenance, semantics, measurement metadata, player copy, family/domain, and generator priority.",
existing:SL.TLF.CACT.FE.ZS,existing_playable,Highest female labor-force participation rate,Labor,,,World Bank,SL.TLF.CACT.FE.ZS,2025,174,verified,,retain_and_audit,existing_validated,pending_v16_2_6_reconciliation,,,https://data.worldbank.org/indicator/SL.TLF.CACT.FE.ZS,"Revalidate provenance, semantics, measurement metadata, player copy, family/domain, and generator priority.",
existing:SP.DYN.TFRT.IN,existing_playable,Highest fertility rate,Health,,,World Bank,SP.DYN.TFRT.IN,2024,194,verified,,retain_and_audit,existing_validated,pending_v16_2_6_reconciliation,,,https://data.worldbank.org/indicator/SP.DYN.TFRT.IN,"Revalidate provenance, semantics, measurement metadata, player copy, family/domain, and generator priority.",
existing:EN.ATM.PM25.MC.M3,existing_playable,Highest fine-particle air pollution,Infrastructure,,,World Bank,EN.ATM.PM25.MC.M3,2023,193,verified,,retain_and_audit,existing_validated,pending_v16_2_6_reconciliation,,,https://data.worldbank.org/indicator/EN.ATM.PM25.MC.M3,"Revalidate provenance, semantics, measurement metadata, player copy, family/domain, and generator priority.",
existing:IT.NET.BBND,existing_playable,Highest fixed broadband subscriptions,Infrastructure,,,World Bank,IT.NET.BBND,2024,146,verified,,retain_and_audit,existing_validated,pending_v16_2_6_reconciliation,,,https://data.worldbank.org/indicator/IT.NET.BBND,"Revalidate provenance, semantics, measurement metadata, player copy, family/domain, and generator priority.",
existing:IT.NET.BBND.P2,existing_playable,Highest fixed broadband subscriptions per 100 people,Technology,,,World Bank,IT.NET.BBND.P2,2024,146,verified,,retain_and_audit,existing_validated,pending_v16_2_6_reconciliation,,,https://data.worldbank.org/indicator/IT.NET.BBND.P2,"Revalidate provenance, semantics, measurement metadata, player copy, family/domain, and generator priority.",
existing:IT.MLT.MAIN,existing_playable,Highest fixed telephone subscriptions,Infrastructure,,,World Bank,IT.MLT.MAIN,2024,141,verified,,retain_and_audit,existing_validated,pending_v16_2_6_reconciliation,,,https://data.worldbank.org/indicator/IT.MLT.MAIN,"Revalidate provenance, semantics, measurement metadata, player copy, family/domain, and generator priority.",
existing:TX.VAL.FOOD.ZS.UN,existing_playable,Highest food share of exports,Trade,,,World Bank,TX.VAL.FOOD.ZS.UN,2024,126,verified,"Great Category, never seen it in gameplay",retain_priority_exposure,existing_validated,pending_v16_2_6_reconciliation,,,https://data.worldbank.org/indicator/TX.VAL.FOOD.ZS.UN,"Revalidate provenance, semantics, measurement metadata, player copy, family/domain, and generator priority.",
existing:TM.VAL.FOOD.ZS.UN,existing_playable,Highest food share of imports,Trade,,,World Bank,TM.VAL.FOOD.ZS.UN,2024,126,verified,"Great Category, never seen it in gameplay",retain_priority_exposure,existing_validated,pending_v16_2_6_reconciliation,,,https://data.worldbank.org/indicator/TM.VAL.FOOD.ZS.UN,"Revalidate provenance, semantics, measurement metadata, player copy, family/domain, and generator priority.",
existing:BN.KLT.DINV.CD,existing_playable,"Highest foreign direct investment, net",Economy,,,World Bank,BN.KLT.DINV.CD,2024,161,verified,,retain_and_audit,existing_validated,pending_v16_2_6_reconciliation,,,https://data.worldbank.org/indicator/BN.KLT.DINV.CD,"Revalidate provenance, semantics, measurement metadata, player copy, family/domain, and generator priority.",
existing:BX.KLT.DINV.CD.WD,existing_playable,"Highest foreign direct investment, net inflows",Economy,,,World Bank,BX.KLT.DINV.CD.WD,2024,183,verified,Remove,remove,existing_validated,pending_v16_2_6_reconciliation,,,https://data.worldbank.org/indicator/BX.KLT.DINV.CD.WD,"Revalidate provenance, semantics, measurement metadata, player copy, family/domain, and generator priority.",
existing:BM.KLT.DINV.CD.WD,existing_playable,"Highest foreign direct investment, net outflows",Economy,,,World Bank,BM.KLT.DINV.CD.WD,2024,160,verified,Remove,remove,existing_validated,pending_v16_2_6_reconciliation,,,https://data.worldbank.org/indicator/BM.KLT.DINV.CD.WD,"Revalidate provenance, semantics, measurement metadata, player copy, family/domain, and generator priority.",
existing:EG.GDP.PUSE.KO.PP,existing_playable,Highest gDP per unit of energy use,Energy,,,World Bank,EG.GDP.PUSE.KO.PP,2023,139,verified,Like this but a bit confusing name,clarify_or_remove,existing_validated,pending_v16_2_6_reconciliation,,,https://data.worldbank.org/indicator/EG.GDP.PUSE.KO.PP,"Revalidate provenance, semantics, measurement metadata, player copy, family/domain, and generator priority.",
existing:BX.GRT.EXTA.CD.WD,existing_playable,"Highest grants, excluding technical cooperation",Economy,,,World Bank,BX.GRT.EXTA.CD.WD,2023,135,verified,What does the mean,clarify_or_remove,existing_validated,pending_v16_2_6_reconciliation,,,https://data.worldbank.org/indicator/BX.GRT.EXTA.CD.WD,"Revalidate provenance, semantics, measurement metadata, player copy, family/domain, and generator priority.",
existing:EN.GHG.ALL.PC.CE.AR5,existing_playable,Highest greenhouse-gas emissions per person,Environment,,,World Bank,EN.GHG.ALL.PC.CE.AR5,2024,186,verified,"Great Category, never seen it in gameplay",retain_priority_exposure,existing_validated,pending_v16_2_6_reconciliation,,,https://data.worldbank.org/indicator/EN.GHG.ALL.PC.CE.AR5,"Revalidate provenance, semantics, measurement metadata, player copy, family/domain, and generator priority.",
existing:NE.GDI.TOTL.CN,existing_playable,Highest gross capital formation,Economy,,,World Bank,NE.GDI.TOTL.CN,2025,127,verified,Like this but a bit confusing name,clarify_or_remove,existing_validated,pending_v16_2_6_reconciliation,,,https://data.worldbank.org/indicator/NE.GDI.TOTL.CN,"Revalidate provenance, semantics, measurement metadata, player copy, family/domain, and generator priority.",
existing:SH.XPD.CHEX.GD.ZS,existing_playable,Highest health-spending share of GDP,Health,,,World Bank,SH.XPD.CHEX.GD.ZS,2023,192,verified,,retain_and_audit,existing_validated,pending_v16_2_6_reconciliation,,,https://data.worldbank.org/indicator/SH.XPD.CHEX.GD.ZS,"Revalidate provenance, semantics, measurement metadata, player copy, family/domain, and generator priority.",
existing:PEW_RELIGION_2020_HINDU_SHARE,existing_playable,Highest Hindu share,Religion,,,Pew Research Center,PEW_RELIGION_2020_HINDU_SHARE,2020,179,verified,"Great Category, never seen it in gameplay",retain_priority_exposure,existing_validated,pending_v16_2_6_reconciliation,,,https://www.pewresearch.org/religion/feature/religious-composition-by-country-2010-2020/,"Revalidate provenance, semantics, measurement metadata, player copy, family/domain, and generator priority.",
existing:DT.DOD.MWBG.CD,existing_playable,Highest iBRD loans and IDA credits,Economy,,,World Bank,DT.DOD.MWBG.CD,2024,115,verified,Remove,remove,existing_validated,pending_v16_2_6_reconciliation,,,https://data.worldbank.org/indicator/DT.DOD.MWBG.CD,"Revalidate provenance, semantics, measurement metadata, player copy, family/domain, and generator priority.",
existing:DT.TDS.DIMF.CD,existing_playable,Highest iMF repurchases and charges,Economy,,,World Bank,DT.TDS.DIMF.CD,2024,118,verified,Remove,remove,existing_validated,pending_v16_2_6_reconciliation,,,https://data.worldbank.org/indicator/DT.TDS.DIMF.CD,"Revalidate provenance, semantics, measurement metadata, player copy, family/domain, and generator priority.",
existing:PEW_RELIGION_2020_JEWISH_SHARE,existing_playable,Highest Jewish share,Religion,,,Pew Research Center,PEW_RELIGION_2020_JEWISH_SHARE,2020,179,verified,"Great Category, never seen it in gameplay",retain_priority_exposure,existing_validated,pending_v16_2_6_reconciliation,,,https://www.pewresearch.org/religion/feature/religious-composition-by-country-2010-2020/,"Revalidate provenance, semantics, measurement metadata, player copy, family/domain, and generator priority.",
existing:EN.MAM.THRD.NO,existing_playable,"Highest mammal species, threatened",Environment,,,World Bank,EN.MAM.THRD.NO,2022,194,verified,Never seen this in game play,retain_exposure_review,existing_validated,pending_v16_2_6_reconciliation,,,https://data.worldbank.org/indicator/EN.MAM.THRD.NO,"Revalidate provenance, semantics, measurement metadata, player copy, family/domain, and generator priority.",
existing:EN.GHG.CH4.AG.MT.CE.AR5,existing_playable,Highest methane (CH4) emissions from Agriculture,Environment,,,World Bank,EN.GHG.CH4.AG.MT.CE.AR5,2024,184,verified,,retain_and_audit,existing_validated,pending_v16_2_6_reconciliation,,,https://data.worldbank.org/indicator/EN.GHG.CH4.AG.MT.CE.AR5,"Revalidate provenance, semantics, measurement metadata, player copy, family/domain, and generator priority.",
existing:EN.GHG.CH4.BU.MT.CE.AR5,existing_playable,Highest methane (CH4) emissions from Building (Energy),Environment,,,World Bank,EN.GHG.CH4.BU.MT.CE.AR5,2024,182,verified,,retain_and_audit,existing_validated,pending_v16_2_6_reconciliation,,,https://data.worldbank.org/indicator/EN.GHG.CH4.BU.MT.CE.AR5,"Revalidate provenance, semantics, measurement metadata, player copy, family/domain, and generator priority.",
existing:EN.GHG.CH4.TR.MT.CE.AR5,existing_playable,Highest methane (CH4) emissions from Transport (Energy),Environment,,,World Bank,EN.GHG.CH4.TR.MT.CE.AR5,2024,182,verified,,retain_and_audit,existing_validated,pending_v16_2_6_reconciliation,,,https://data.worldbank.org/indicator/EN.GHG.CH4.TR.MT.CE.AR5,"Revalidate provenance, semantics, measurement metadata, player copy, family/domain, and generator priority.",
existing:EN.GHG.CH4.WA.MT.CE.AR5,existing_playable,Highest methane (CH4) emissions from Waste,Environment,,,World Bank,EN.GHG.CH4.WA.MT.CE.AR5,2024,186,verified,,retain_and_audit,existing_validated,pending_v16_2_6_reconciliation,,,https://data.worldbank.org/indicator/EN.GHG.CH4.WA.MT.CE.AR5,"Revalidate provenance, semantics, measurement metadata, player copy, family/domain, and generator priority.",
existing:EN.GHG.CH4.MT.CE.AR5,existing_playable,Highest methane emissions,Environment,,,World Bank,EN.GHG.CH4.MT.CE.AR5,2024,186,verified,,retain_and_audit,existing_validated,pending_v16_2_6_reconciliation,,,https://data.worldbank.org/indicator/EN.GHG.CH4.MT.CE.AR5,"Revalidate provenance, semantics, measurement metadata, player copy, family/domain, and generator priority.",
existing:MS.MIL.XPND.CD,existing_playable,Highest military spending,Government,,,World Bank,MS.MIL.XPND.CD,2024,150,verified,Great Category,retain_priority,existing_validated,pending_v16_2_6_reconciliation,,,https://data.worldbank.org/indicator/MS.MIL.XPND.CD,"Revalidate provenance, semantics, measurement metadata, player copy, family/domain, and generator priority.",
existing:MS.MIL.XPND.GD.ZS,existing_playable,Highest military spending share,Government,,,World Bank,MS.MIL.XPND.GD.ZS,2024,146,verified,Great Category,retain_priority,existing_validated,pending_v16_2_6_reconciliation,,,https://data.worldbank.org/indicator/MS.MIL.XPND.GD.ZS,"Revalidate provenance, semantics, measurement metadata, player copy, family/domain, and generator priority.",
existing:IT.CEL.SETS,existing_playable,Highest mobile cellular subscriptions,Infrastructure,,,World Bank,IT.CEL.SETS,2024,146,verified,,retain_and_audit,existing_validated,pending_v16_2_6_reconciliation,,,https://data.worldbank.org/indicator/IT.CEL.SETS,"Revalidate provenance, semantics, measurement metadata, player copy, family/domain, and generator priority.",
existing:IT.CEL.SETS.P2,existing_playable,Highest mobile subscriptions per 100 people,Technology,,,World Bank,IT.CEL.SETS.P2,2024,146,verified,,retain_and_audit,existing_validated,pending_v16_2_6_reconciliation,,,https://data.worldbank.org/indicator/IT.CEL.SETS.P2,"Revalidate provenance, semantics, measurement metadata, player copy, family/domain, and generator priority.",
