category_title,source,domain_and_series,source_line,legacy_rejection_basis_seed,required_v16_2_6_action
"Most Edible offal of pigs, fresh, chilled or frozen producing animals",FAOSTAT,Livestock · QCL:'21153:5320,698,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Most Fat of pigs producing animals,FAOSTAT,Livestock · QCL:'21511.01:5320,699,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Most Meat of pig with the bone, fresh or chilled producing animals",FAOSTAT,Livestock · QCL:'21113.01:5320,700,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest Eggs Primary yield,FAOSTAT,Agriculture · QCL:'F1783:5424,702,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Highest Hen eggs in shell, fresh yield",FAOSTAT,Agriculture · QCL:'0231:5424,703,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Largest Tomatoes harvested area,FAOSTAT,Vegetables · QCL:'01234:5312,704,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Highest Oilcrops, Oil Equivalent yield",FAOSTAT,Crops · QCL:'F1732:5412,705,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Highest Oilcrops, Cake Equivalent yield",FAOSTAT,Crops · QCL:'F1841:5412,706,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Largest Cabbages harvested area,FAOSTAT,Vegetables · QCL:'01212:5312,707,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Largest Sugar Crops Primary harvested area,FAOSTAT,Crops · QCL:'F1723:5312,708,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Most sugar Crops Primary produced,FAOSTAT,Crops · QCL:'F1723:5510,709,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Largest Rice harvested area,FAOSTAT,Crops · QCL:'0113:5312,711,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Largest Cucumbers and gherkins harvested area,FAOSTAT,Vegetables · QCL:'01232:5312,713,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Largest Watermelons harvested area,FAOSTAT,Agriculture · QCL:'01221:5312,715,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Largest Carrots and turnips harvested area,FAOSTAT,Vegetables · QCL:'01251:5312,716,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Largest Chillies and peppers, green (Capsicum spp. and Pimenta spp.) harvested area",FAOSTAT,Vegetables · QCL:'01231:5312,717,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest Unmanufactured tobacco yield,FAOSTAT,Agriculture · QCL:'01970:5412,719,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Largest Sorghum harvested area,FAOSTAT,Agriculture · QCL:'0114:5312,720,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Largest Soya beans harvested area,FAOSTAT,Crops · QCL:'0141:5312,722,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Most other pulses n.e.c. produced,FAOSTAT,Agriculture · QCL:'01709.90:5510,723,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest sorghum yield,FAOSTAT,Agriculture · QCL:'0114:5412,725,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Largest Groundnuts, excluding shelled harvested area",FAOSTAT,Agriculture · QCL:'0142:5312,726,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest sweet potatoes yield,FAOSTAT,Crops · QCL:'01530:5412,728,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest dry beans yield,FAOSTAT,Crops · QCL:'01701:5412,730,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Largest Beans, dry harvested area",FAOSTAT,Crops · QCL:'01701:5312,731,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Most other beans, green produced",FAOSTAT,Crops · QCL:'01241.90:5510,733,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Largest Other beans, green harvested area",FAOSTAT,Crops · QCL:'01241.90:5312,734,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Most Raw milk of goats milk-producing animals,FAOSTAT,Livestock · QCL:'02292:5318,736,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Largest Cantaloupes and other melons harvested area,FAOSTAT,Agriculture · QCL:'01229:5312,737,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Largest Lettuce and chicory harvested area,FAOSTAT,Agriculture · QCL:'01214:5312,738,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Highest mangoes, guavas, and mangosteens yield",FAOSTAT,Fruit · QCL:'01316:5412,740,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Largest Grapes harvested area,FAOSTAT,Fruit · QCL:'01330:5312,741,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest grapes yield,FAOSTAT,Fruit · QCL:'01330:5412,745,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest melons yield,FAOSTAT,Agriculture · QCL:'01229:5412,746,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Most Meat of chickens, fresh or chilled producing animals",FAOSTAT,Livestock · QCL:'21121:5321,747,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Most Meat, Poultry producing animals",FAOSTAT,Livestock · QCL:'F1808:5321,748,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Most Sheep and Goat Meat producing animals,FAOSTAT,Livestock · QCL:'F1807:5320,749,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Most other vegetables, fresh n.e.c. produced",FAOSTAT,Vegetables · QCL:'01290.90:5510,750,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Largest Other vegetables, fresh n.e.c. harvested area",FAOSTAT,Vegetables · QCL:'01290.90:5312,751,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Largest Poultry Birds stocks,FAOSTAT,Livestock · QCL:'F2029:5112,753,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Most Edible offal of sheep, fresh, chilled or frozen producing animals",FAOSTAT,Livestock · QCL:'21155:5320,754,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Most Meat of sheep, fresh or chilled producing animals",FAOSTAT,Livestock · QCL:'21115:5320,755,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Most Raw hides and skins of sheep or lambs producing animals,FAOSTAT,Livestock · QCL:'02953:5320,756,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Most Sheep fat, unrendered producing animals",FAOSTAT,Livestock · QCL:'21514:5320,757,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Highest Hen eggs in shell, fresh yield",FAOSTAT,Agriculture · QCL:'0231:5413,758,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Most Edible offal of goat, fresh, chilled or frozen producing animals",FAOSTAT,Livestock · QCL:'21156:5320,760,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Most Goat fat, unrendered producing animals",FAOSTAT,Livestock · QCL:'21515:5320,761,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Most Meat of goat, fresh or chilled producing animals",FAOSTAT,Livestock · QCL:'21116:5320,762,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Most Raw hides and skins of goats or kids producing animals,FAOSTAT,Livestock · QCL:'02954:5320,763,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Most meat of goat, fresh or chilled produced",FAOSTAT,Livestock · QCL:'21116:5510,764,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Most eggs Primary produced,FAOSTAT,Agriculture · QCL:'F1783:5510,765,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Most hen eggs in shell, fresh produced",FAOSTAT,Agriculture · QCL:'0231:5510,766,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Highest Meat of pig with the bone, fresh or chilled yield",FAOSTAT,Livestock · QCL:'21113.01:5417,767,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Largest Citrus Fruit, Total harvested area",FAOSTAT,Fruit · QCL:'F1804:5312,768,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Most citrus Fruit, Total produced",FAOSTAT,Fruit · QCL:'F1804:5510,769,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Largest Bananas harvested area,FAOSTAT,Fruit · QCL:'01312:5312,770,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Highest Other fruits, n.e.c. yield",FAOSTAT,Fruit · QCL:'01359.90:5412,773,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Largest Oranges harvested area,FAOSTAT,Fruit · QCL:'01323:5312,774,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Largest Unmanufactured tobacco harvested area,FAOSTAT,Agriculture · QCL:'01970:5312,775,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Largest Lemons and limes harvested area,FAOSTAT,Fruit · QCL:'01322:5312,778,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest Other pulses n.e.c. yield,FAOSTAT,Agriculture · QCL:'01709.90:5412,780,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Largest Sweet potatoes harvested area,FAOSTAT,Crops · QCL:'01530:5312,781,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Highest Fibre Crops, Fibre Equivalent yield",FAOSTAT,Crops · QCL:'F17530:5412,783,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Largest Eggplants (aubergines) harvested area,FAOSTAT,Agriculture · QCL:'01233:5312,784,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Largest Cauliflowers and broccoli harvested area,FAOSTAT,Agriculture · QCL:'01213:5312,786,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest sugarcane yield,FAOSTAT,Crops · QCL:'01802:5412,788,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Largest Apples harvested area,FAOSTAT,Fruit · QCL:'01341:5312,789,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest cassava yield,FAOSTAT,Crops · QCL:'01520.01:5412,790,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest eggplants yield,FAOSTAT,Agriculture · QCL:'01233:5412,791,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest urban population share,World Bank,Population · SP.URB.TOTL.IN.ZS,795,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Largest rural population,World Bank,Population · SP.RUR.TOTL,797,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Largest urban population,World Bank,Population · SP.URB.TOTL,798,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Farthest from the equator,Natural Earth,Geography · farthest-from-equator,801,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Largest east-west span,Natural Earth,Geography · largest-east-west-span,805,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Largest geographic span,Natural Earth,Geography · largest-geographic-span,806,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Largest north-south span,Natural Earth,Geography · largest-north-south-span,807,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Largest protected share of land and sea,World Bank,Climate · ER.PTD.TOTL.ZS,808,category_specific_or_product_decision,presume authoritative; verify exact rationale and preserve unless explicitly reversed
Northernmost country,Natural Earth,Geography · northernmost-country,809,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Southernmost country,Natural Earth,Geography · southernmost-country,810,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest clean-cooking-fuel access,WHO,Infrastructure · PHE_HHAIR_POP_CLEAN_FUELS,813,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest employment-to-population ratio,ILOSTAT,Labor · EMP_2WAP_SEX_AGE_RT_A,816,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest labor-income share of GDP,ILOSTAT,Labor · SDG_1041_NOC_RT_A,817,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest output per worker,ILOSTAT,Economy · GDP_205U_NOC_NB_A,818,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Lowest unemployment,World Bank,Labor · SL.UEM.TOTL.ZS,820,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Most Eggs Primary laying animals,FAOSTAT,Agriculture · QCL:'F1783:5313,822,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Most Hen eggs in shell, fresh laying animals",FAOSTAT,Agriculture · QCL:'0231:5313,823,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Largest Oilcrops, Oil Equivalent harvested area",FAOSTAT,Crops · QCL:'F1732:5312,825,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Most oilcrops, Oil Equivalent produced",FAOSTAT,Crops · QCL:'F1732:5510,826,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Largest Oilcrops, Cake Equivalent harvested area",FAOSTAT,Crops · QCL:'F1841:5312,827,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Most cattle fat, unrendered produced",FAOSTAT,Livestock · QCL:'21512:5510,828,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Most edible offal of cattle, fresh, chilled or frozen produced",FAOSTAT,Livestock · QCL:'21151:5510,829,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Most oilcrops, Cake Equivalent produced",FAOSTAT,Crops · QCL:'F1841:5510,830,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Most raw hides and skins of cattle produced,FAOSTAT,Livestock · QCL:'02951.01:5510,831,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Most edible offal of sheep, fresh, chilled or frozen produced",FAOSTAT,Livestock · QCL:'21155:5510,832,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Most raw hides and skins of sheep or lambs produced,FAOSTAT,Livestock · QCL:'02953:5510,833,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Most sheep fat, unrendered produced",FAOSTAT,Livestock · QCL:'21514:5510,834,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Most edible offal of goat, fresh, chilled or frozen produced",FAOSTAT,Livestock · QCL:'21156:5510,836,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Most goat fat, unrendered produced",FAOSTAT,Livestock · QCL:'21515:5510,837,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Most raw hides and skins of goats or kids produced,FAOSTAT,Livestock · QCL:'02954:5510,838,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Highest account ownership at a financial institution or with a mobile-money-service provider, young adults",World Bank,Economy · FX.OWN.TOTL.YG.ZS,846,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Most edible offal of pigs, fresh, chilled or frozen produced",FAOSTAT,Livestock · QCL:'21153:5510,847,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Most fat of pigs produced,FAOSTAT,Livestock · QCL:'21511.01:5510,848,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Largest Other fruits, n.e.c. harvested area",FAOSTAT,Fruit · QCL:'01359.90:5312,849,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Most other fruits, n.e.c. produced",FAOSTAT,Fruit · QCL:'01359.90:5510,850,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
