source_line,category_title,domain_and_series,source,quality,legacy_rejection_basis_seed,integrity_status,editorial_disposition,legacy_guard_action,reason_class,first_principles_rationale,recommended_next_action,linked_tracker_ids,linked_tracker_dispositions
635,"Highest Cereals, primary yield",Crops · QCL:'F1717:5412,FAOSTAT,,generic_v15_rejected_only,verified,retain_exclusion,confirm_reasoned_exclusion,agriculture_item_matrix_overproliferation,"The concept comes from the legacy FAOSTAT item-by-element expansion matrix. Even when source-valid, the remaining yield/area/production/animal-count slices add low marginal variety and would re-saturate an already agriculture-heavy catalog; v16.2.6 deliberately prefers a small set of recognizable representative food/agriculture anchors.",Keep excluded from the playable core. Reconsider only if a future category is both highly recognizable and demonstrably distinct from retained crop/livestock/food anchors.,,
637,"Highest Other vegetables, fresh n.e.c. yield",Vegetables · QCL:'01290.90:5412,FAOSTAT,,generic_v15_rejected_only,verified,retain_exclusion,confirm_reasoned_exclusion,agriculture_item_matrix_overproliferation,"The concept comes from the legacy FAOSTAT item-by-element expansion matrix. Even when source-valid, the remaining yield/area/production/animal-count slices add low marginal variety and would re-saturate an already agriculture-heavy catalog; v16.2.6 deliberately prefers a small set of recognizable representative food/agriculture anchors.",Keep excluded from the playable core. Reconsider only if a future category is both highly recognizable and demonstrably distinct from retained crop/livestock/food anchors.,,
640,Highest tomatoes yield,Vegetables · QCL:'01234:5412,FAOSTAT,,generic_v15_rejected_only,verified,retain_exclusion,confirm_reasoned_exclusion,agriculture_item_matrix_overproliferation,"The concept comes from the legacy FAOSTAT item-by-element expansion matrix. Even when source-valid, the remaining yield/area/production/animal-count slices add low marginal variety and would re-saturate an already agriculture-heavy catalog; v16.2.6 deliberately prefers a small set of recognizable representative food/agriculture anchors.",Keep excluded from the playable core. Reconsider only if a future category is both highly recognizable and demonstrably distinct from retained crop/livestock/food anchors.,,
641,Largest Potatoes harvested area,Crops · QCL:'01510:5312,FAOSTAT,,generic_v15_rejected_only,verified,retain_exclusion,confirm_reasoned_exclusion,agriculture_item_matrix_overproliferation,"The concept comes from the legacy FAOSTAT item-by-element expansion matrix. Even when source-valid, the remaining yield/area/production/animal-count slices add low marginal variety and would re-saturate an already agriculture-heavy catalog; v16.2.6 deliberately prefers a small set of recognizable representative food/agriculture anchors.",Keep excluded from the playable core. Reconsider only if a future category is both highly recognizable and demonstrably distinct from retained crop/livestock/food anchors.,,
644,"Largest Onions and shallots, dry (excluding dehydrated) harvested area",Vegetables · QCL:'01253.02:5312,FAOSTAT,,generic_v15_rejected_only,verified,retain_exclusion,confirm_reasoned_exclusion,agriculture_item_matrix_overproliferation,"The concept comes from the legacy FAOSTAT item-by-element expansion matrix. Even when source-valid, the remaining yield/area/production/animal-count slices add low marginal variety and would re-saturate an already agriculture-heavy catalog; v16.2.6 deliberately prefers a small set of recognizable representative food/agriculture anchors.",Keep excluded from the playable core. Reconsider only if a future category is both highly recognizable and demonstrably distinct from retained crop/livestock/food anchors.,,
647,"Highest Citrus Fruit, Total yield",Fruit · QCL:'F1804:5412,FAOSTAT,,generic_v15_rejected_only,verified,retain_exclusion,confirm_reasoned_exclusion,agriculture_item_matrix_overproliferation,"The concept comes from the legacy FAOSTAT item-by-element expansion matrix. Even when source-valid, the remaining yield/area/production/animal-count slices add low marginal variety and would re-saturate an already agriculture-heavy catalog; v16.2.6 deliberately prefers a small set of recognizable representative food/agriculture anchors.",Keep excluded from the playable core. Reconsider only if a future category is both highly recognizable and demonstrably distinct from retained crop/livestock/food anchors.,,
649,"Largest Treenuts, Total harvested area",Agriculture · QCL:'F1729:5312,FAOSTAT,,generic_v15_rejected_only,verified,retain_exclusion,confirm_reasoned_exclusion,agriculture_item_matrix_overproliferation,"The concept comes from the legacy FAOSTAT item-by-element expansion matrix. Even when source-valid, the remaining yield/area/production/animal-count slices add low marginal variety and would re-saturate an already agriculture-heavy catalog; v16.2.6 deliberately prefers a small set of recognizable representative food/agriculture anchors.",Keep excluded from the playable core. Reconsider only if a future category is both highly recognizable and demonstrably distinct from retained crop/livestock/food anchors.,,
652,"Largest Pumpkins, squash and gourds harvested area",Agriculture · QCL:'01235:5312,FAOSTAT,,generic_v15_rejected_only,verified,retain_exclusion,confirm_reasoned_exclusion,agriculture_item_matrix_overproliferation,"The concept comes from the legacy FAOSTAT item-by-element expansion matrix. Even when source-valid, the remaining yield/area/production/animal-count slices add low marginal variety and would re-saturate an already agriculture-heavy catalog; v16.2.6 deliberately prefers a small set of recognizable representative food/agriculture anchors.",Keep excluded from the playable core. Reconsider only if a future category is both highly recognizable and demonstrably distinct from retained crop/livestock/food anchors.,,
653,"Highest pumpkins, squash, and gourds yield",Agriculture · QCL:'01235:5412,FAOSTAT,,generic_v15_rejected_only,verified,retain_exclusion,confirm_reasoned_exclusion,agriculture_item_matrix_overproliferation,"The concept comes from the legacy FAOSTAT item-by-element expansion matrix. Even when source-valid, the remaining yield/area/production/animal-count slices add low marginal variety and would re-saturate an already agriculture-heavy catalog; v16.2.6 deliberately prefers a small set of recognizable representative food/agriculture anchors.",Keep excluded from the playable core. Reconsider only if a future category is both highly recognizable and demonstrably distinct from retained crop/livestock/food anchors.,,
654,Highest watermelons yield,Agriculture · QCL:'01221:5412,FAOSTAT,,generic_v15_rejected_only,verified,retain_exclusion,confirm_reasoned_exclusion,agriculture_item_matrix_overproliferation,"The concept comes from the legacy FAOSTAT item-by-element expansion matrix. Even when source-valid, the remaining yield/area/production/animal-count slices add low marginal variety and would re-saturate an already agriculture-heavy catalog; v16.2.6 deliberately prefers a small set of recognizable representative food/agriculture anchors.",Keep excluded from the playable core. Reconsider only if a future category is both highly recognizable and demonstrably distinct from retained crop/livestock/food anchors.,,
655,"Highest Treenuts, Total yield",Agriculture · QCL:'F1729:5412,FAOSTAT,,generic_v15_rejected_only,verified,retain_exclusion,confirm_reasoned_exclusion,agriculture_item_matrix_overproliferation,"The concept comes from the legacy FAOSTAT item-by-element expansion matrix. Even when source-valid, the remaining yield/area/production/animal-count slices add low marginal variety and would re-saturate an already agriculture-heavy catalog; v16.2.6 deliberately prefers a small set of recognizable representative food/agriculture anchors.",Keep excluded from the playable core. Reconsider only if a future category is both highly recognizable and demonstrably distinct from retained crop/livestock/food anchors.,,
657,Highest bananas yield,Fruit · QCL:'01312:5412,FAOSTAT,,generic_v15_rejected_only,verified,retain_exclusion,confirm_reasoned_exclusion,agriculture_item_matrix_overproliferation,"The concept comes from the legacy FAOSTAT item-by-element expansion matrix. Even when source-valid, the remaining yield/area/production/animal-count slices add low marginal variety and would re-saturate an already agriculture-heavy catalog; v16.2.6 deliberately prefers a small set of recognizable representative food/agriculture anchors.",Keep excluded from the playable core. Reconsider only if a future category is both highly recognizable and demonstrably distinct from retained crop/livestock/food anchors.,,
658,Highest oranges yield,Fruit · QCL:'01323:5412,FAOSTAT,,generic_v15_rejected_only,verified,retain_exclusion,confirm_reasoned_exclusion,agriculture_item_matrix_overproliferation,"The concept comes from the legacy FAOSTAT item-by-element expansion matrix. Even when source-valid, the remaining yield/area/production/animal-count slices add low marginal variety and would re-saturate an already agriculture-heavy catalog; v16.2.6 deliberately prefers a small set of recognizable representative food/agriculture anchors.",Keep excluded from the playable core. Reconsider only if a future category is both highly recognizable and demonstrably distinct from retained crop/livestock/food anchors.,,
659,Largest Other pulses n.e.c. harvested area,Agriculture · QCL:'01709.90:5312,FAOSTAT,,generic_v15_rejected_only,verified,retain_exclusion,confirm_reasoned_exclusion,agriculture_item_matrix_overproliferation,"The concept comes from the legacy FAOSTAT item-by-element expansion matrix. Even when source-valid, the remaining yield/area/production/animal-count slices add low marginal variety and would re-saturate an already agriculture-heavy catalog; v16.2.6 deliberately prefers a small set of recognizable representative food/agriculture anchors.",Keep excluded from the playable core. Reconsider only if a future category is both highly recognizable and demonstrably distinct from retained crop/livestock/food anchors.,,
660,Highest peanuts yield,Agriculture · QCL:'0142:5412,FAOSTAT,,generic_v15_rejected_only,verified,retain_exclusion,confirm_reasoned_exclusion,agriculture_item_matrix_overproliferation,"The concept comes from the legacy FAOSTAT item-by-element expansion matrix. Even when source-valid, the remaining yield/area/production/animal-count slices add low marginal variety and would re-saturate an already agriculture-heavy catalog; v16.2.6 deliberately prefers a small set of recognizable representative food/agriculture anchors.",Keep excluded from the playable core. Reconsider only if a future category is both highly recognizable and demonstrably distinct from retained crop/livestock/food anchors.,,
661,Most green garlic produced,Agriculture · QCL:'01252:5510,FAOSTAT,,generic_v15_rejected_only,verified,retain_exclusion,confirm_reasoned_exclusion,agriculture_item_matrix_overproliferation,"The concept comes from the legacy FAOSTAT item-by-element expansion matrix. Even when source-valid, the remaining yield/area/production/animal-count slices add low marginal variety and would re-saturate an already agriculture-heavy catalog; v16.2.6 deliberately prefers a small set of recognizable representative food/agriculture anchors.",Keep excluded from the playable core. Reconsider only if a future category is both highly recognizable and demonstrably distinct from retained crop/livestock/food anchors.,,
663,Highest Raw milk of goats yield,Livestock · QCL:'02292:5417,FAOSTAT,,generic_v15_rejected_only,verified,retain_exclusion,confirm_reasoned_exclusion,agriculture_item_matrix_overproliferation,"The concept comes from the legacy FAOSTAT item-by-element expansion matrix. Even when source-valid, the remaining yield/area/production/animal-count slices add low marginal variety and would re-saturate an already agriculture-heavy catalog; v16.2.6 deliberately prefers a small set of recognizable representative food/agriculture anchors.",Keep excluded from the playable core. Reconsider only if a future category is both highly recognizable and demonstrably distinct from retained crop/livestock/food anchors.,,
664,Largest Green garlic harvested area,Agriculture · QCL:'01252:5312,FAOSTAT,,generic_v15_rejected_only,verified,retain_exclusion,confirm_reasoned_exclusion,agriculture_item_matrix_overproliferation,"The concept comes from the legacy FAOSTAT item-by-element expansion matrix. Even when source-valid, the remaining yield/area/production/animal-count slices add low marginal variety and would re-saturate an already agriculture-heavy catalog; v16.2.6 deliberately prefers a small set of recognizable representative food/agriculture anchors.",Keep excluded from the playable core. Reconsider only if a future category is both highly recognizable and demonstrably distinct from retained crop/livestock/food anchors.,,
665,"Largest Peas, dry harvested area",Agriculture · QCL:'01705:5312,FAOSTAT,,generic_v15_rejected_only,verified,retain_exclusion,confirm_reasoned_exclusion,agriculture_item_matrix_overproliferation,"The concept comes from the legacy FAOSTAT item-by-element expansion matrix. Even when source-valid, the remaining yield/area/production/animal-count slices add low marginal variety and would re-saturate an already agriculture-heavy catalog; v16.2.6 deliberately prefers a small set of recognizable representative food/agriculture anchors.",Keep excluded from the playable core. Reconsider only if a future category is both highly recognizable and demonstrably distinct from retained crop/livestock/food anchors.,,
666,Highest dry peas yield,Agriculture · QCL:'01705:5412,FAOSTAT,,generic_v15_rejected_only,verified,retain_exclusion,confirm_reasoned_exclusion,agriculture_item_matrix_overproliferation,"The concept comes from the legacy FAOSTAT item-by-element expansion matrix. Even when source-valid, the remaining yield/area/production/animal-count slices add low marginal variety and would re-saturate an already agriculture-heavy catalog; v16.2.6 deliberately prefers a small set of recognizable representative food/agriculture anchors.",Keep excluded from the playable core. Reconsider only if a future category is both highly recognizable and demonstrably distinct from retained crop/livestock/food anchors.,,
667,Highest cauliflower and broccoli yield,Agriculture · QCL:'01213:5412,FAOSTAT,,generic_v15_rejected_only,verified,retain_exclusion,confirm_reasoned_exclusion,agriculture_item_matrix_overproliferation,"The concept comes from the legacy FAOSTAT item-by-element expansion matrix. Even when source-valid, the remaining yield/area/production/animal-count slices add low marginal variety and would re-saturate an already agriculture-heavy catalog; v16.2.6 deliberately prefers a small set of recognizable representative food/agriculture anchors.",Keep excluded from the playable core. Reconsider only if a future category is both highly recognizable and demonstrably distinct from retained crop/livestock/food anchors.,,
668,Highest apples yield,Fruit · QCL:'01341:5412,FAOSTAT,,generic_v15_rejected_only,verified,retain_exclusion,confirm_reasoned_exclusion,agriculture_item_matrix_overproliferation,"The concept comes from the legacy FAOSTAT item-by-element expansion matrix. Even when source-valid, the remaining yield/area/production/animal-count slices add low marginal variety and would re-saturate an already agriculture-heavy catalog; v16.2.6 deliberately prefers a small set of recognizable representative food/agriculture anchors.",Keep excluded from the playable core. Reconsider only if a future category is both highly recognizable and demonstrably distinct from retained crop/livestock/food anchors.,,
670,Most fruit produced,Fruit · QCL:'F1738:5312,FAOSTAT,,generic_v15_rejected_only,verified,clear_legacy_block_current_path_governs,clear_generic_legacy_block,current_canonical_path_governs,"This legacy row collides with a current retained/validated-path concept (Most fruit produced). The old rejected source/path must remain dead, but its title-level legacy veto must not disable the current canonical path.","Clear only the historical title/semantic veto. Keep the old source row excluded and let the current category pass the normal source, quality, duplicate and editorial gates.",existing:QCL:'F1738:5510,retained_existing_subject_to_shared_gate
