source_line,category_title,domain_and_series,source,quality,legacy_rejection_basis_seed,integrity_status
951,Highest nitrous oxide (N2O) emissions (total) excluding LULUCF,Environment · EN.GHG.N2O.ZG.AR5,World Bank,86,generic_v15_rejected_only,verified
956,Highest total greenhouse gas emissions excluding LULUCF,Environment · EN.GHG.TOT.ZG.AR5,World Bank,86,generic_v15_rejected_only,verified
959,Highest carbon dioxide (CO2) emissions (total) excluding LULUCF,Environment · EN.GHG.CO2.ZG.AR5,World Bank,86,generic_v15_rejected_only,verified
966,Highest internet usage,Technology · IT.NET.USER.ZS,World Bank,86,generic_v15_rejected_only,verified
968,Highest methane (CH4) emissions from Fugitive Emissions (Energy),Environment · EN.GHG.CH4.FE.MT.CE.AR5,World Bank,86,generic_v15_rejected_only,verified
969,Highest methane (CH4) emissions from Industrial Combustion (Energy),Environment · EN.GHG.CH4.IC.MT.CE.AR5,World Bank,86,generic_v15_rejected_only,verified
970,Highest methane (CH4) emissions from Power Industry (Energy),Environment · EN.GHG.CH4.PI.MT.CE.AR5,World Bank,86,generic_v15_rejected_only,verified
972,Highest nitrous oxide (N2O) emissions from Building (Energy),Environment · EN.GHG.N2O.BU.MT.CE.AR5,World Bank,86,generic_v15_rejected_only,verified
973,Highest nitrous oxide (N2O) emissions from Industrial Combustion (Energy),Environment · EN.GHG.N2O.IC.MT.CE.AR5,World Bank,86,generic_v15_rejected_only,verified
974,Highest nitrous oxide (N2O) emissions from Power Industry (Energy),Environment · EN.GHG.N2O.PI.MT.CE.AR5,World Bank,86,generic_v15_rejected_only,verified
975,Highest nitrous oxide (N2O) emissions from Transport (Energy),Environment · EN.GHG.N2O.TR.MT.CE.AR5,World Bank,86,generic_v15_rejected_only,verified
976,Highest carbon intensity of GDP,Environment · EN.GHG.CO2.RT.GDP.PP.KD,World Bank,86,generic_v15_rejected_only,verified
1016,Highest nitrous oxide (N2O) emissions from Fugitive Emissions (Energy),Environment · EN.GHG.N2O.FE.MT.CE.AR5,World Bank,85,generic_v15_rejected_only,verified
1045,Largest exports,Economy · NE.EXP.GNFS.CD,World Bank,84,generic_v15_rejected_only,verified
1046,Largest imports,Economy · NE.IMP.GNFS.CD,World Bank,84,generic_v15_rejected_only,verified
1075,Highest carbon dioxide (CO2) emissions from Fugitive Emissions (Energy),Environment · EN.GHG.CO2.FE.MT.CE.AR5,World Bank,83,generic_v15_rejected_only,verified
1105,Highest final consumption expenditure,Economy · NE.CON.TOTL.ZS,World Bank,83,generic_v15_rejected_only,verified
1106,Highest general government final consumption expenditure,Economy · NE.CON.GOVT.ZS,World Bank,83,generic_v15_rejected_only,verified
1107,Highest final consumption expenditure,Economy · NE.CON.TOTL.CD,World Bank,83,generic_v15_rejected_only,verified
1108,Highest government consumption,Government · NE.CON.GOVT.CD,World Bank,83,generic_v15_rejected_only,verified
1109,Highest gross national expenditure,Economy · NE.DAB.TOTL.ZS,World Bank,83,generic_v15_rejected_only,verified
1110,Highest households and NPISHs final consumption expenditure,Economy · NE.CON.PRVT.ZS,World Bank,83,generic_v15_rejected_only,verified
1111,Highest gross national expenditure,Economy · NE.DAB.TOTL.CD,World Bank,83,generic_v15_rejected_only,verified
1112,Highest household consumption,Economy · NE.CON.PRVT.CD,World Bank,83,generic_v15_rejected_only,verified
1113,Highest final consumption expenditure,Economy · NE.CON.TOTL.KD,World Bank,83,generic_v15_rejected_only,failed
1115,"Highest households and NPISHs Final consumption expenditure per capita, PPP",Development · NE.CON.PCAP.PP.KD,World Bank,83,generic_v15_rejected_only,verified
1116,"Highest households and NPISHs Final consumption expenditure, PPP",Economy · NE.CON.PRVT.PP.KD,World Bank,83,generic_v15_rejected_only,verified
1154,Highest fixed telephone subscriptions per 100 people,Technology · IT.MLT.MAIN.P2,World Bank,82,generic_v15_rejected_only,verified
1155,Largest agricultural land area,Agriculture · AG.LND.AGRI.K2,World Bank,82,generic_v15_rejected_only,verified
1157,Most separate land areas,Geography · most-separate-land-areas,Natural Earth,82,generic_v15_rejected_only,
1163,Highest primary-school enrollment,Education · GER.1,UNESCO UIS,82,generic_v15_rejected_only,verified
1166,Highest carbon dioxide (CO2) net fluxes from LULUCF - Forest Land,Environment · EN.GHG.CO2.LU.FL.MT.CE.AR5,World Bank,82,generic_v15_rejected_only,verified
1168,Most cereal produced,Agriculture · AG.PRD.CREL.MT,World Bank,82,generic_v15_rejected_only,verified
1169,Highest cereal yield,Agriculture · AG.YLD.CREL.KG,World Bank,82,generic_v15_rejected_only,verified
1170,Highest total greenhouse gas emissions including LULUCF,Environment · EN.GHG.ALL.LU.MT.CE.AR5,World Bank,82,generic_v15_rejected_only,verified
1173,Highest final consumption expenditure,Economy · NE.CON.TOTL.CN,World Bank,82,generic_v15_rejected_only,verified
1174,Highest general government final consumption expenditure,Economy · NE.CON.GOVT.CN,World Bank,82,generic_v15_rejected_only,verified
1177,Highest investment share,Economy · NE.GDI.TOTL.ZS,World Bank,82,generic_v15_rejected_only,verified
1178,Highest gross capital formation,Economy · NE.GDI.TOTL.CD,World Bank,82,generic_v15_rejected_only,verified
1179,Highest gross national expenditure,Economy · NE.DAB.TOTL.CN,World Bank,82,generic_v15_rejected_only,verified
1180,Highest households and NPISHs Final consumption expenditure,Economy · NE.CON.PRVT.CN,World Bank,82,generic_v15_rejected_only,verified
1181,Highest households and NPISHs final consumption expenditure: linked series,Economy · NE.CON.PRVT.CN.AD,World Bank,82,generic_v15_rejected_only,verified
1182,Highest final consumption expenditure,Economy · NE.CON.TOTL.KN,World Bank,82,generic_v15_rejected_only,verified
1184,Highest general government final consumption expenditure,Economy · NE.CON.GOVT.KN,World Bank,82,generic_v15_rejected_only,verified
1185,Highest households and NPISHs Final consumption expenditure,Economy · NE.CON.PRVT.KN,World Bank,82,generic_v15_rejected_only,verified
1187,Highest households and NPISHs Final consumption expenditure,Economy · NE.CON.PRVT.KD,World Bank,82,generic_v15_rejected_only,failed
1188,Highest households and NPISHs Final consumption expenditure per capita,Economy · NE.CON.PRVT.PC.KD,World Bank,82,generic_v15_rejected_only,failed
1189,Highest general government final consumption expenditure,Economy · NE.CON.GOVT.KD,World Bank,82,generic_v15_rejected_only,failed
1190,Highest gross national expenditure deflator,Economy · NE.DAB.DEFL.ZS,World Bank,82,generic_v15_rejected_only,failed
1193,"Highest households and NPISHs Final consumption expenditure per capita, PPP",Development · NE.CON.PCAP.PP.CD,World Bank,82,generic_v15_rejected_only,verified
1194,"Highest households and NPISHs Final consumption expenditure, PPP",Economy · NE.CON.PRVT.PP.CD,World Bank,82,generic_v15_rejected_only,verified
1196,Highest gross savings rate,Economy · NY.GNS.ICTR.ZS,World Bank,82,generic_v15_rejected_only,verified
1209,Highest carbon dioxide (CO2) net fluxes from LULUCF - Total excluding non-tropical fires,Environment · EN.GHG.CO2.LU.MT.CE.AR5,World Bank,81,generic_v15_rejected_only,verified
1212,Highest gross fixed capital formation,Economy · NE.GDI.FTOT.ZS,World Bank,81,generic_v15_rejected_only,verified
1213,Highest gross fixed capital formation,Economy · NE.GDI.FTOT.CN,World Bank,81,generic_v15_rejected_only,verified
1214,Highest gross fixed capital formation,Economy · NE.GDI.FTOT.CD,World Bank,81,generic_v15_rejected_only,verified
1215,Highest gross national expenditure,Economy · NE.DAB.TOTL.KN,World Bank,81,generic_v15_rejected_only,verified
1217,Highest gross national expenditure,Economy · NE.DAB.TOTL.KD,World Bank,81,generic_v15_rejected_only,failed
1255,Most large separate land areas,Geography · most-large-land-areas,Natural Earth,80,generic_v15_rejected_only,
1256,Highest final consumption expenditure,Economy · NE.CON.TOTL.KD.ZG,World Bank,80,generic_v15_rejected_only,verified
1257,Highest households and NPISHs Final consumption expenditure,Economy · NE.CON.PRVT.KD.ZG,World Bank,80,generic_v15_rejected_only,verified
1258,Highest gross fixed capital formation,Economy · NE.GDI.FTOT.KN,World Bank,80,generic_v15_rejected_only,verified
1259,Highest gross capital formation,Economy · NE.GDI.TOTL.KD,World Bank,80,generic_v15_rejected_only,failed
1260,Highest gross fixed capital formation,Economy · NE.GDI.FTOT.KD,World Bank,80,generic_v15_rejected_only,failed
1288,Highest carbon dioxide (CO2) net fluxes from LULUCF - Deforestation,Environment · EN.GHG.CO2.LU.DF.MT.CE.AR5,World Bank,79,generic_v15_rejected_only,verified
1289,Highest general government final consumption expenditure,Economy · NE.CON.GOVT.KD.ZG,World Bank,79,generic_v15_rejected_only,verified
1290,Fastest households and NPISHs Final consumption expenditure per capita growth,Economy · NE.CON.PRVT.PC.KD.ZG,World Bank,79,generic_v15_rejected_only,verified
1324,Lowest primary out-of-school rate,Education · ROFST.1.CP,UNESCO UIS,78,generic_v15_rejected_only,verified
1357,Highest secondary-school enrollment,Education · GER.2T3,UNESCO UIS,77,generic_v15_rejected_only,verified
1359,Highest gross fixed capital formation,Economy · NE.GDI.FTOT.KD.ZG,World Bank,77,generic_v15_rejected_only,verified
1442,Highest education spending share of GDP,Government · XGDP.FSGOV,UNESCO UIS,75,generic_v15_rejected_only,verified
1443,Highest tertiary enrollment,Education · GER.5T8,UNESCO UIS,75,generic_v15_rejected_only,verified
1455,Largest sports-equipment exports,Trade · 9506,UN Comtrade,75,generic_v15_rejected_only,verified
1488,Highest universal-health-coverage score,Healthcare · UHC_AVAILABILITY_SCORE,WHO,74,generic_v15_rejected_only,failed
1492,Lowest average rainfall,Climate · AG.LND.PRCP.MM,World Bank,74,generic_v15_rejected_only,failed
1547,Lowest youth NEET rate,Labor · EIP_NEET_SEX_RT_A,ILOSTAT,72,generic_v15_rejected_only,verified
1548,Highest outbound student mobility,Education · MOR.5T8.40505,UNESCO UIS,72,generic_v15_rejected_only,verified
1557,Highest carbon dioxide (CO2) net fluxes from LULUCF - Other Land,Environment · EN.GHG.CO2.LU.OL.MT.CE.AR5,World Bank,72,generic_v15_rejected_only,verified
1602,Lowest diabetes death rate,Health · SA_0000001440,WHO,70,generic_v15_rejected_only,verified
1604,Lowest time-related underemployment,Labor · EMP_XTRU_SEX_RT_A,ILOSTAT,70,generic_v15_rejected_only,verified
1636,Lowest primary-school repetition rate,Education · REPR.1.G1.CP,UNESCO UIS,69,generic_v15_rejected_only,verified
1637,Highest share of women in management,Labor · SDG_0552_NOC_RT_A,ILOSTAT,69,generic_v15_rejected_only,verified
1638,Highest school internet access,Technology · SCHBSP.1.WINTERN,UNESCO UIS,69,generic_v15_rejected_only,verified
1671,Highest school computer access,Technology · SCHBSP.1.WCOMPUT,UNESCO UIS,68,generic_v15_rejected_only,verified
1672,Lowest cancer death rate,Health · SA_0000001438,WHO,68,generic_v15_rejected_only,verified
1673,Lowest informal-employment rate,Labor · EMP_NIFL_SEX_RT_A,ILOSTAT,68,generic_v15_rejected_only,verified
1682,Most internally displaced people,Displacement · population:coa:idps,UNHCR,68,generic_v15_rejected_only,verified
1687,Longest average working week,Labor · HOW_UEES_SEX_NB_A,ILOSTAT,67,generic_v15_rejected_only,verified
1688,Most researchers per million people,Science · RESDEN.INHAB.TFTE,UNESCO UIS,67,generic_v15_rejected_only,verified
1701,Highest school electricity access,Infrastructure · SCHBSP.1.WELEC,UNESCO UIS,66,generic_v15_rejected_only,verified
1720,Highest school drinking-water access,Infrastructure · SCHBSP.1.WWATA,UNESCO UIS,65,generic_v15_rejected_only,verified
1721,Highest school handwashing access,Infrastructure · SCHBSP.1.WWASH,UNESCO UIS,65,generic_v15_rejected_only,verified
1729,"Highest individuals using the Internet, female",Infrastructure · IT.NET.USER.FE.ZS,World Bank,65,generic_v15_rejected_only,
1730,"Highest individuals using the Internet, male",Infrastructure · IT.NET.USER.MA.ZS,World Bank,65,generic_v15_rejected_only,
1775,Most refugees returned home,Displacement · solutions:coo:returned_refugees,UNHCR,64,generic_v15_rejected_only,verified
1783,Highest school sanitation access,Infrastructure · SCHBSP.1.WTOILA,UNESCO UIS,63,generic_v15_rejected_only,verified
1784,Lowest youth unemployment rate,Labor · UNE_3EAP_SEX_AGE_DSB_RT_A,ILOSTAT,63,generic_v15_rejected_only,
1796,Highest skilled birth-attendance rate,Maternal Health · MDG_0000000025,WHO,62,generic_v15_rejected_only,
1805,"Highest gross fixed capital formation, private sector",Economy · NE.GDI.FPRV.CN,World Bank,62,generic_v15_rejected_only,
1806,"Highest gross fixed capital formation, private sector",Economy · NE.GDI.FPRV.ZS,World Bank,62,generic_v15_rejected_only,
1816,Most other people needing international protection,Displacement · population:coa:oip,UNHCR,61,generic_v15_rejected_only,
1817,Highest survival to the last grade of primary school,Education · SR.1.GLAST.CP,UNESCO UIS,60,generic_v15_rejected_only,verified
1819,Highest lower-secondary reading proficiency,Education · READ.LOWERSEC,UNESCO UIS,60,generic_v15_rejected_only,verified
1826,Most internally displaced people returned,Displacement · solutions:coa:returned_idps,UNHCR,60,generic_v15_rejected_only,
1827,Highest youth literacy rate,Education · LR.AG15T24,UNESCO UIS,59,generic_v15_rejected_only,
1830,Highest primary mathematics proficiency,Education · MATH.PRIMARY,UNESCO UIS,58,generic_v15_rejected_only,verified
1832,Highest lower-secondary mathematics proficiency,Education · MATH.LOWERSEC,UNESCO UIS,58,generic_v15_rejected_only,verified
1857,Highest adult literacy rate,Education · LR.AG15T99,UNESCO UIS,57,generic_v15_rejected_only,
1878,Highest carbon dioxide (CO2) net fluxes from LULUCF - Organic Soil,Environment · EN.GHG.CO2.LU.OS.MT.CE.AR5,World Bank,55,generic_v15_rejected_only,
1893,Lowest alcohol-attributable death rate,Health · SA_0000001807_AA,WHO,52,generic_v15_rejected_only,
1895,Highest renewable energy consumption,Energy · EG.FEC.RNEW\.ZS,World Bank,51,generic_v15_rejected_only,
1898,Highest primary reading proficiency,Education · READ.PRIMARY,UNESCO UIS,50,generic_v15_rejected_only,verified
1902,Highest collective-bargaining coverage,Labor · ILR_CBCT_NOC_RT_A,ILOSTAT,48,generic_v15_rejected_only,verified
1908,Highest doctor density,Healthcare · HWF_0001,WHO,45,generic_v15_rejected_only,
1909,Lowest cigarette-smoking rate,Health · Yth_curr_cig_smoking,WHO,45,generic_v15_rejected_only,
1910,Highest pharmacist density,Healthcare · HWF_0014,WHO,45,generic_v15_rejected_only,
1911,Highest antenatal-care coverage,Maternal Health · WHS4_154,WHO,45,generic_v15_rejected_only,
1914,Highest life expectancy,Health · WHOSIS_000001,WHO,42,generic_v15_rejected_only,
1917,Highest handwashing access,Infrastructure · WSH_HYGIENE_BASIC,WHO,39,generic_v15_rejected_only,
1918,Highest healthy life expectancy,Health · WHOSIS_000002,WHO,38,generic_v15_rejected_only,
1919,Lowest high-blood-pressure rate,Health · NCD_HYP_PREVALENCE_A,WHO,38,generic_v15_rejected_only,failed
1922,Highest hospital-bed density,Healthcare · GDO_q9x1_3,WHO,33,generic_v15_rejected_only,
1924,Lowest suicide rate,Health · MH_12,WHO,25,generic_v15_rejected_only,
