tracker_id,scope_type,tracker_title,tracker_source_candidate,tracker_source_indicator,legacy_source,legacy_domain_series,legacy_source_line,legacy_rejection_basis_seed,same_provider_heuristic,tracker_final_disposition,tracker_implementation_status
family:who:highest-doctor-density,new_source_family_candidate,Highest doctor density,WHO Global Health Observatory,source-family rule highest-doctor-density; exact official indicator/series resolved and snapshotted by importer discovery,WHO,Healthcare · HWF_0001,1908,generic_v15_rejected_only,True,ready_for_source_family_validation,implemented_fail_closed_source_family_importer
family:who:highest-pharmacist-density,new_source_family_candidate,Highest pharmacist density,WHO Global Health Observatory,source-family rule highest-pharmacist-density; exact official indicator/series resolved and snapshotted by importer discovery,WHO,Healthcare · HWF_0014,1910,generic_v15_rejected_only,True,ready_for_source_family_validation,implemented_fail_closed_source_family_importer
family:who:highest-hospital-bed-density,new_source_family_candidate,Highest hospital-bed density,WHO Global Health Observatory,source-family rule highest-hospital-bed-density; exact official indicator/series resolved and snapshotted by importer discovery,WHO,Healthcare · GDO_q9x1_3,1922,generic_v15_rejected_only,True,ready_for_source_family_validation,implemented_fail_closed_source_family_importer
family:who:highest-uhc-service-coverage,new_source_family_candidate,Highest universal-health-coverage score,WHO Global Health Observatory,source-family rule highest-uhc-service-coverage; exact official indicator/series resolved and snapshotted by importer discovery,WHO,Healthcare · UHC_AVAILABILITY_SCORE,1488,generic_v15_rejected_only,True,ready_for_source_family_validation,implemented_fail_closed_source_family_importer
family:who:highest-skilled-birth-attendance,new_source_family_candidate,Highest skilled birth-attendance rate,WHO Global Health Observatory,source-family rule highest-skilled-birth-attendance; exact official indicator/series resolved and snapshotted by importer discovery,WHO,Maternal Health · MDG_0000000025,1796,generic_v15_rejected_only,True,ready_for_source_family_validation,implemented_fail_closed_source_family_importer
family:who:highest-antenatal-care,new_source_family_candidate,Highest antenatal-care coverage,WHO Global Health Observatory,source-family rule highest-antenatal-care; exact official indicator/series resolved and snapshotted by importer discovery,WHO,Maternal Health · WHS4_154,1911,generic_v15_rejected_only,True,ready_for_source_family_validation,implemented_fail_closed_source_family_importer
family:who:highest-handwashing-access,new_source_family_candidate,Highest handwashing access,WHO Global Health Observatory,source-family rule highest-handwashing-access; exact official indicator/series resolved and snapshotted by importer discovery,WHO,Infrastructure · WSH_HYGIENE_BASIC,1917,generic_v15_rejected_only,True,ready_for_source_family_validation,implemented_fail_closed_source_family_importer
family:ilostat:highest-employment-population-ratio,new_source_family_candidate,Highest employment-to-population ratio,ILOSTAT,source-family rule highest-employment-population-ratio; exact official indicator/series resolved and snapshotted by importer discovery,ILOSTAT,Labor · EMP_2WAP_SEX_AGE_RT_A,816,generic_v15_rejected_only,True,ready_for_source_family_validation,implemented_fail_closed_source_family_importer
family:ilostat:lowest-youth-unemployment,new_source_family_candidate,Lowest youth unemployment rate,ILOSTAT,source-family rule lowest-youth-unemployment; exact official indicator/series resolved and snapshotted by importer discovery,ILOSTAT,Labor · UNE_3EAP_SEX_AGE_DSB_RT_A,1784,generic_v15_rejected_only,True,ready_for_source_family_validation,implemented_fail_closed_source_family_importer
family:ilostat:lowest-neet-rate,new_source_family_candidate,Lowest youth NEET rate,ILOSTAT,source-family rule lowest-neet-rate; exact official indicator/series resolved and snapshotted by importer discovery,ILOSTAT,Labor · EIP_NEET_SEX_RT_A,1547,generic_v15_rejected_only,True,ready_for_source_family_validation,implemented_fail_closed_source_family_importer
family:ilostat:lowest-labor-underutilization,new_source_family_candidate,Lowest labor underutilization,ILOSTAT,source-family rule lowest-labor-underutilization; exact official indicator/series resolved and snapshotted by importer discovery,ILOSTAT,Labor · LUU_XLU2_SEX_RT_A,1603,category_specific_or_product_decision,True,hold_for_individual_editorial_review,implemented_fail_closed_source_family_importer
family:ilostat:lowest-time-underemployment,new_source_family_candidate,Lowest time-related underemployment,ILOSTAT,source-family rule lowest-time-underemployment; exact official indicator/series resolved and snapshotted by importer discovery,ILOSTAT,Labor · EMP_XTRU_SEX_RT_A,1604,generic_v15_rejected_only,True,hold_for_individual_editorial_review,implemented_fail_closed_source_family_importer
family:ilostat:lowest-informal-employment,new_source_family_candidate,Lowest informal-employment rate,ILOSTAT,source-family rule lowest-informal-employment; exact official indicator/series resolved and snapshotted by importer discovery,ILOSTAT,Labor · EMP_NIFL_SEX_RT_A,1673,generic_v15_rejected_only,True,ready_for_source_family_validation,implemented_fail_closed_source_family_importer
family:ilostat:highest-women-management,new_source_family_candidate,Highest share of women in management,ILOSTAT,source-family rule highest-women-management; exact official indicator/series resolved and snapshotted by importer discovery,ILOSTAT,Labor · SDG_0552_NOC_RT_A,1637,generic_v15_rejected_only,True,ready_for_source_family_validation,implemented_fail_closed_source_family_importer
family:ilostat:highest-labor-income-share,new_source_family_candidate,Highest labor-income share of GDP,ILOSTAT,source-family rule highest-labor-income-share; exact official indicator/series resolved and snapshotted by importer discovery,ILOSTAT,Labor · SDG_1041_NOC_RT_A,817,generic_v15_rejected_only,True,ready_for_source_family_validation,implemented_fail_closed_source_family_importer
family:ilostat:highest-output-per-worker,new_source_family_candidate,Highest output per worker,ILOSTAT,source-family rule highest-output-per-worker; exact official indicator/series resolved and snapshotted by importer discovery,ILOSTAT,Economy · GDP_205U_NOC_NB_A,818,generic_v15_rejected_only,True,ready_for_source_family_validation,implemented_fail_closed_source_family_importer
family:ilostat:fastest-productivity-growth,new_source_family_candidate,Fastest labor-productivity growth,ILOSTAT,source-family rule fastest-productivity-growth; exact official indicator/series resolved and snapshotted by importer discovery,ILOSTAT,Economy · SDG_0821_NOC_RT_A,899,generic_v15_rejected_only,True,ready_for_source_family_validation,implemented_fail_closed_source_family_importer
family:ilostat:longest-working-week,new_source_family_candidate,Longest average working week,ILOSTAT,source-family rule longest-working-week; exact official indicator/series resolved and snapshotted by importer discovery,ILOSTAT,Labor · HOW_UEES_SEX_NB_A,1687,generic_v15_rejected_only,True,ready_for_source_family_validation,implemented_fail_closed_source_family_importer
family:ilostat:highest-collective-bargaining,new_source_family_candidate,Highest collective-bargaining coverage,ILOSTAT,source-family rule highest-collective-bargaining; exact official indicator/series resolved and snapshotted by importer discovery,ILOSTAT,Labor · ILR_CBCT_NOC_RT_A,1902,generic_v15_rejected_only,True,hold_for_individual_editorial_review,implemented_fail_closed_source_family_importer
family:unwup:rural-population,new_source_family_candidate,Largest rural population,UN World Urbanization Prospects 2025,WUP2025-F01:Rural:2025,World Bank,Population · SP.RUR.TOTL,797,generic_v15_rejected_only,False,ready_for_source_family_validation,implemented_fail_closed_source_family_importer
family:unesco:highest-adult-literacy,new_source_family_candidate,Highest adult literacy rate,UNESCO Institute for Statistics,source-family rule highest-adult-literacy; exact official indicator/series resolved and snapshotted by importer discovery,UNESCO UIS,Education · LR.AG15T99,1857,generic_v15_rejected_only,True,ready_for_source_family_validation,implemented_fail_closed_source_family_importer
family:unesco:highest-youth-literacy,new_source_family_candidate,Highest youth literacy rate,UNESCO Institute for Statistics,source-family rule highest-youth-literacy; exact official indicator/series resolved and snapshotted by importer discovery,UNESCO UIS,Education · LR.AG15T24,1827,generic_v15_rejected_only,True,ready_for_source_family_validation,implemented_fail_closed_source_family_importer
family:unesco:highest-primary-enrollment,new_source_family_candidate,Highest primary-school enrollment,UNESCO Institute for Statistics,source-family rule highest-primary-enrollment; exact official indicator/series resolved and snapshotted by importer discovery,UNESCO UIS,Education · GER.1,1163,generic_v15_rejected_only,True,ready_for_source_family_validation,implemented_fail_closed_source_family_importer
family:unesco:highest-secondary-enrollment,new_source_family_candidate,Highest secondary-school enrollment,UNESCO Institute for Statistics,source-family rule highest-secondary-enrollment; exact official indicator/series resolved and snapshotted by importer discovery,UNESCO UIS,Education · GER.2T3,1357,generic_v15_rejected_only,True,ready_for_source_family_validation,implemented_fail_closed_source_family_importer
family:unesco:highest-tertiary-enrollment,new_source_family_candidate,Highest tertiary enrollment,UNESCO Institute for Statistics,source-family rule highest-tertiary-enrollment; exact official indicator/series resolved and snapshotted by importer discovery,UNESCO UIS,Education · GER.5T8,1443,generic_v15_rejected_only,True,ready_for_source_family_validation,implemented_fail_closed_source_family_importer
family:unesco:lowest-primary-out-of-school,new_source_family_candidate,Lowest primary out-of-school rate,UNESCO Institute for Statistics,source-family rule lowest-primary-out-of-school; exact official indicator/series resolved and snapshotted by importer discovery,UNESCO UIS,Education · ROFST.1.CP,1324,generic_v15_rejected_only,True,ready_for_source_family_validation,implemented_fail_closed_source_family_importer
family:unesco:lowest-lower-secondary-out-of-school,new_source_family_candidate,Lowest lower-secondary out-of-school rate,UNESCO Institute for Statistics,source-family rule lowest-lower-secondary-out-of-school; exact official indicator/series resolved and snapshotted by importer discovery,UNESCO UIS,Education · ROFST.MOD.2,601,generic_v15_rejected_only,True,ready_for_source_family_validation,implemented_fail_closed_source_family_importer
family:unesco:lowest-upper-secondary-out-of-school,new_source_family_candidate,Lowest upper-secondary out-of-school rate,UNESCO Institute for Statistics,source-family rule lowest-upper-secondary-out-of-school; exact official indicator/series resolved and snapshotted by importer discovery,UNESCO UIS,Education · ROFST.MOD.3,600,generic_v15_rejected_only,True,ready_for_source_family_validation,implemented_fail_closed_source_family_importer
family:unesco:highest-primary-survival,new_source_family_candidate,Highest survival to the last grade of primary school,UNESCO Institute for Statistics,source-family rule highest-primary-survival; exact official indicator/series resolved and snapshotted by importer discovery,UNESCO UIS,Education · SR.1.GLAST.CP,1817,generic_v15_rejected_only,True,ready_for_source_family_validation,implemented_fail_closed_source_family_importer
family:unesco:lowest-primary-repetition,new_source_family_candidate,Lowest primary-school repetition rate,UNESCO Institute for Statistics,source-family rule lowest-primary-repetition; exact official indicator/series resolved and snapshotted by importer discovery,UNESCO UIS,Education · REPR.1.G1.CP,1636,generic_v15_rejected_only,True,ready_for_source_family_validation,implemented_fail_closed_source_family_importer
family:unesco:highest-reading-proficiency-primary,new_source_family_candidate,Highest primary reading proficiency,UNESCO Institute for Statistics,source-family rule highest-reading-proficiency-primary; exact official indicator/series resolved and snapshotted by importer discovery,UNESCO UIS,Education · READ.PRIMARY,1898,generic_v15_rejected_only,True,ready_for_source_family_validation,implemented_fail_closed_source_family_importer
family:unesco:highest-math-proficiency-primary,new_source_family_candidate,Highest primary mathematics proficiency,UNESCO Institute for Statistics,source-family rule highest-math-proficiency-primary; exact official indicator/series resolved and snapshotted by importer discovery,UNESCO UIS,Education · MATH.PRIMARY,1830,generic_v15_rejected_only,True,ready_for_source_family_validation,implemented_fail_closed_source_family_importer
family:unesco:highest-reading-proficiency-lower-secondary,new_source_family_candidate,Highest lower-secondary reading proficiency,UNESCO Institute for Statistics,source-family rule highest-reading-proficiency-lower-secondary; exact official indicator/series resolved and snapshotted by importer discovery,UNESCO UIS,Education · READ.LOWERSEC,1819,generic_v15_rejected_only,True,ready_for_source_family_validation,implemented_fail_closed_source_family_importer
family:unesco:highest-math-proficiency-lower-secondary,new_source_family_candidate,Highest lower-secondary mathematics proficiency,UNESCO Institute for Statistics,source-family rule highest-math-proficiency-lower-secondary; exact official indicator/series resolved and snapshotted by importer discovery,UNESCO UIS,Education · MATH.LOWERSEC,1832,generic_v15_rejected_only,True,ready_for_source_family_validation,implemented_fail_closed_source_family_importer
family:unesco:highest-school-electricity,new_source_family_candidate,Highest school electricity access,UNESCO Institute for Statistics,source-family rule highest-school-electricity; exact official indicator/series resolved and snapshotted by importer discovery,UNESCO UIS,Infrastructure · SCHBSP.1.WELEC,1701,generic_v15_rejected_only,True,ready_for_source_family_validation,implemented_fail_closed_source_family_importer
family:unesco:highest-school-internet,new_source_family_candidate,Highest school internet access,UNESCO Institute for Statistics,source-family rule highest-school-internet; exact official indicator/series resolved and snapshotted by importer discovery,UNESCO UIS,Technology · SCHBSP.1.WINTERN,1638,generic_v15_rejected_only,True,ready_for_source_family_validation,implemented_fail_closed_source_family_importer
family:unesco:highest-school-computers,new_source_family_candidate,Highest school computer access,UNESCO Institute for Statistics,source-family rule highest-school-computers; exact official indicator/series resolved and snapshotted by importer discovery,UNESCO UIS,Technology · SCHBSP.1.WCOMPUT,1671,generic_v15_rejected_only,True,ready_for_source_family_validation,implemented_fail_closed_source_family_importer
family:unesco:highest-school-drinking-water,new_source_family_candidate,Highest school drinking-water access,UNESCO Institute for Statistics,source-family rule highest-school-drinking-water; exact official indicator/series resolved and snapshotted by importer discovery,UNESCO UIS,Infrastructure · SCHBSP.1.WWATA,1720,generic_v15_rejected_only,True,ready_for_source_family_validation,implemented_fail_closed_source_family_importer
family:unesco:highest-school-sanitation,new_source_family_candidate,Highest school sanitation access,UNESCO Institute for Statistics,source-family rule highest-school-sanitation; exact official indicator/series resolved and snapshotted by importer discovery,UNESCO UIS,Infrastructure · SCHBSP.1.WTOILA,1783,generic_v15_rejected_only,True,ready_for_source_family_validation,implemented_fail_closed_source_family_importer
family:unesco:highest-school-handwashing,new_source_family_candidate,Highest school handwashing access,UNESCO Institute for Statistics,source-family rule highest-school-handwashing; exact official indicator/series resolved and snapshotted by importer discovery,UNESCO UIS,Infrastructure · SCHBSP.1.WWASH,1721,generic_v15_rejected_only,True,ready_for_source_family_validation,implemented_fail_closed_source_family_importer
family:unesco:highest-education-spending-gdp,new_source_family_candidate,Highest education spending share of GDP,UNESCO Institute for Statistics,source-family rule highest-education-spending-gdp; exact official indicator/series resolved and snapshotted by importer discovery,UNESCO UIS,Government · XGDP.FSGOV,1442,generic_v15_rejected_only,True,ready_for_source_family_validation,implemented_fail_closed_source_family_importer
family:unesco:most-researchers,new_source_family_candidate,Most researchers per million people,UNESCO Institute for Statistics,source-family rule most-researchers; exact official indicator/series resolved and snapshotted by importer discovery,UNESCO UIS,Science · RESDEN.INHAB.TFTE,1688,generic_v15_rejected_only,True,ready_for_source_family_validation,implemented_fail_closed_source_family_importer
family:unesco:highest-outbound-student-mobility,new_source_family_candidate,Highest outbound student mobility,UNESCO Institute for Statistics,source-family rule highest-outbound-student-mobility; exact official indicator/series resolved and snapshotted by importer discovery,UNESCO UIS,Education · MOR.5T8.40505,1548,generic_v15_rejected_only,True,ready_for_source_family_validation,implemented_fail_closed_source_family_importer
family:faostatfbs:dairy-products,new_source_family_candidate,Highest estimated dairy consumption per person,FAOSTAT Food Balances,source-family rule dairy-products; exact official indicator/series resolved and snapshotted by importer discovery,FAOSTAT Food Balances,Food consumption · FBS:dairy-products,1080,duplicate_explicit,True,ready_for_source_family_validation,implemented_fail_closed_source_family_importer
family:worldbankinfra:rail-passengers,new_source_family_candidate,Most rail passenger travel,World Bank WDI Infrastructure & Connectivity,source-family rule rail-passengers; exact official indicator/series resolved and snapshotted by importer discovery,World Bank,Transport · IS.RRS.PASG.KM,1932,category_specific_or_product_decision,True,ready_for_source_family_validation,implemented_fail_closed_source_family_importer
family:naturalearthcountry:largest-geodesic-land-area,new_source_family_candidate,Largest mapped land area,Natural Earth 1:10m sovereign country geometry,source-family rule largest-geodesic-land-area; exact official indicator/series resolved and snapshotted by importer discovery,Natural Earth,Geography · largest-geodesic-land-area,1483,duplicate_explicit,True,ready_for_source_family_validation,implemented_fail_closed_source_family_importer
family:unhcr:most-asylum-seekers-hosted,new_source_family_candidate,Most asylum seekers hosted,UNHCR Refugee Data Finder,source-family rule most-asylum-seekers-hosted; exact official indicator/series resolved and snapshotted by importer discovery,UNHCR,Displacement · population:coa:asylum_seekers,609,generic_v15_rejected_only,True,ready_for_source_family_validation,implemented_fail_closed_source_family_importer
family:unhcr:most-asylum-seekers-originating,new_source_family_candidate,Most asylum seekers originating,UNHCR Refugee Data Finder,source-family rule most-asylum-seekers-originating; exact official indicator/series resolved and snapshotted by importer discovery,UNHCR,Displacement · population:coo:asylum_seekers,589,generic_v15_rejected_only,True,ready_for_source_family_validation,implemented_fail_closed_source_family_importer
family:unhcr:most-internally-displaced-people,new_source_family_candidate,Most internally displaced people,UNHCR Refugee Data Finder,source-family rule most-internally-displaced-people; exact official indicator/series resolved and snapshotted by importer discovery,UNHCR,Displacement · population:coa:idps,1682,generic_v15_rejected_only,True,ready_for_source_family_validation,implemented_fail_closed_source_family_importer
family:unhcr:most-other-people-needing-protection,new_source_family_candidate,Most other people needing international protection,UNHCR Refugee Data Finder,source-family rule most-other-people-needing-protection; exact official indicator/series resolved and snapshotted by importer discovery,UNHCR,Displacement · population:coa:oip,1816,generic_v15_rejected_only,True,ready_for_source_family_validation,implemented_fail_closed_source_family_importer
family:unhcr:most-refugees-returned-home,new_source_family_candidate,Most refugees returned home,UNHCR Refugee Data Finder,source-family rule most-refugees-returned-home; exact official indicator/series resolved and snapshotted by importer discovery,UNHCR,Displacement · solutions:coo:returned_refugees,1775,generic_v15_rejected_only,True,ready_for_source_family_validation,implemented_fail_closed_source_family_importer
family:unhcr:most-returned-idps,new_source_family_candidate,Most internally displaced people returned,UNHCR Refugee Data Finder,source-family rule most-returned-idps; exact official indicator/series resolved and snapshotted by importer discovery,UNHCR,Displacement · solutions:coa:returned_idps,1826,generic_v15_rejected_only,True,ready_for_source_family_validation,implemented_fail_closed_source_family_importer
